ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,16,2,16,0.44418593054516886,0.21025339878639437,16,0.49910000000000004,5.759467124938965,0.05491406945483118
1,400,16,2,32,0.027021667631001833,0.24585288567358887,16,0.29100000000000004,7.844113349914551,0.2639783323689982
1,400,16,2,64,0.05917991210299223,0.33923516991956104,16,0.0333,11.995476961135864,0.025879912102992224
1,400,16,2,128,0.3307063476799453,0.24196732611104366,16,0.3327,20.37260603904724,0.0019936523200547174
1,400,16,2,256,0.29881738528750745,0.11674132036179075,16,0.29560000000000003,37.05377149581909,0.003217385287507424
1,400,16,4,16,0.14232578895323916,0.03769186950012521,16,0.18780000000000002,5.776696443557739,0.04547421104676086
1,400,16,4,32,0.02569562191298974,0.1445585901567112,16,0.4304,7.844803094863892,0.40470437808701026
1,400,16,4,64,0.36562101189820373,0.21882135731770203,16,0.34590000000000004,11.979543209075928,0.01972101189820369
1,400,16,4,128,0.2997687882016745,0.009281752577226354,16,0.24480000000000002,20.2830069065094,0.0549687882016745
1,400,16,4,256,0.07829555201984173,0.1933480060008948,16,0.0795,36.89886450767517,0.0012044479801582714
1,400,16,8,16,0.3494413360963737,0.3348775007664677,16,0.38070000000000004,5.776987314224243,0.03125866390362636
1,400,16,8,32,0.33242406638560495,0.3720642546034912,16,0.15810000000000002,7.863968372344971,0.17432406638560494
1,400,16,8,64,0.27451501975257925,0.3811210239728021,16,0.24930000000000002,12.017120599746704,0.025215019752579226
1,400,16,8,128,0.34038264622450454,0.17284679326570251,16,0.3015,20.371516704559326,0.03888264622450455
1,400,16,8,256,0.3721186240553868,0.07346037391029425,16,0.3775,36.946683168411255,0.005381375944613187
1,400,16,16,16,0.05683337017602352,0.17813425836424474,16,0.23720000000000002,5.796085596084595,0.1803666298239765
1,400,16,16,32,0.05453656773765603,0.43632178425421514,16,0.277,7.836629152297974,0.222463432262344
1,400,16,16,64,0.009276922132438192,0.1999174893532773,16,0.1501,11.983082294464111,0.14082307786756182
1,400,16,16,128,0.16636909234791397,0.15471070821858268,16,0.1831,20.285462856292725,0.01673090765208604
1,400,16,16,256,0.13550047586235142,0.3574403548170223,16,0.1282,36.921568155288696,0.007300475862351413
1,400,64,2,16,0.424748730912066,0.006633888645473929,16,0.2134,5.765913486480713,0.211348730912066
1,400,64,2,32,0.28889145111710274,0.34568678775683886,16,0.2614,7.863149166107178,0.027491451117102716
1,400,64,2,64,0.028877124406280763,0.33847684560431374,16,0.0724,12.041180849075317,0.04352287559371924
1,400,64,2,128,0.324868523515446,0.00048092316313053107,16,0.3952,20.388986825942993,0.07033147648455401
1,400,64,2,256,0.013174269343751377,0.19902889238520488,16,0.019700000000000002,37.376126527786255,0.006525730656248625
1,400,64,4,16,0.36206971129469706,0.401258020100332,16,0.2632,5.849647760391235,0.09886971129469707
1,400,64,4,32,0.08868090559284397,0.4081303485751967,16,0.2594,7.957087278366089,0.17071909440715605
1,400,64,4,64,0.48020905959910193,0.08186267096073907,16,0.4712,12.0857572555542,0.00900905959910192
1,400,64,4,128,0.3743386928388225,0.32629271375072844,16,0.3497,20.34394598007202,0.024638692838822474
1,400,64,4,256,0.1888811956538065,0.14237642508371673,16,0.1637,37.037944316864014,0.0251811956538065
1,400,64,8,16,0.47822341500502985,0.1868014810706427,16,0.2786,5.779340744018555,0.19962341500502984
1,400,64,8,32,0.495616368289805,0.37498228914676324,16,0.4829,7.859131574630737,0.012716368289804991
1,400,64,8,64,0.3823955973865473,0.39131252806763145,16,0.39990000000000003,12.016443490982056,0.017504402613452708
1,400,64,8,128,0.21708530726110103,0.0016953141355515733,16,0.3655,20.356669187545776,0.14841469273889896
