N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_estimated,time,real_epsilon,mu,rho,distance_epsilon,X0_r2,last_iteration,early_stopping
100,64,16,8,adam,201,0.0001,simple_BC,0,0.25375339216264087,0.07727336883544922,0.46898092920674284,0.38992312924447,16,0.21522753704410197,,,201
100,64,16,8,adam,201,0.0001,simple_BC,16,0.25358206380872067,0.07778525352478027,0.46898092920674284,0.38992312924447,16,0.21539886539802217,,,201
100,64,16,8,adam,201,0.0001,simple_BC,32,0.25371764551458165,0.07801365852355957,0.46898092920674284,0.38992312924447,16,0.2152632836921612,,,201
100,64,16,8,adam,200,0.0001,BC_with_evidence,0,0.25367232805756434,4.542686223983765,0.46898092920674284,0.38992312924447,16,0.2153086011491785,-1.4373297691345215,201.0,200
100,64,16,8,adam,200,0.0001,BC_with_evidence,16,0.2524283929751225,4.5488364696502686,0.46898092920674284,0.38992312924447,16,0.21655253623162035,-1.2086327075958252,201.0,200
100,64,16,8,adam,200,0.0001,BC_with_evidence,32,0.2534999562838934,4.549163579940796,0.46898092920674284,0.38992312924447,16,0.21548097292284946,-1.3620316982269287,201.0,200
100,64,16,8,adam,201,0.0001,BC_observed_positive,0,0.2537505890941911,1.132493257522583,0.46898092920674284,0.38992312924447,16,0.2152303401125517,,,201
100,64,16,8,adam,201,0.0001,BC_observed_positive,16,0.2537451484644591,1.1648614406585693,0.46898092920674284,0.38992312924447,16,0.21523578074228372,,,201
100,64,16,8,adam,201,0.0001,BC_observed_positive,32,0.2537293864791384,1.1794605255126953,0.46898092920674284,0.38992312924447,16,0.21525154272760444,,,201
100,64,16,8,adam,201,0.0005,simple_BC,0,0.2687999429480414,0.07069945335388184,0.46898092920674284,0.38992312924447,16,0.20018098625870145,,,201
100,64,16,8,adam,201,0.0005,simple_BC,16,0.2679991802692062,0.07789206504821777,0.46898092920674284,0.38992312924447,16,0.20098174893753662,,,201
100,64,16,8,adam,201,0.0005,simple_BC,32,0.26850043317442196,0.07773947715759277,0.46898092920674284,0.38992312924447,16,0.20048049603232088,,,201
100,64,16,8,adam,200,0.0005,BC_with_evidence,0,0.2675341628550183,4.542373895645142,0.46898092920674284,0.38992312924447,16,0.20144676635172454,-0.8867528438568115,201.0,200
100,64,16,8,adam,200,0.0005,BC_with_evidence,16,0.2660884768548136,4.546751499176025,0.46898092920674284,0.38992312924447,16,0.2028924523519292,-1.3580400943756104,201.0,200
100,64,16,8,adam,200,0.0005,BC_with_evidence,32,0.26713843314670815,4.553663015365601,0.46898092920674284,0.38992312924447,16,0.20184249606003468,-1.763197898864746,201.0,200
100,64,16,8,adam,201,0.0005,BC_observed_positive,0,0.26872471232171447,1.132908582687378,0.46898092920674284,0.38992312924447,16,0.20025621688502837,,,201
100,64,16,8,adam,201,0.0005,BC_observed_positive,16,0.26833145298316047,1.165126085281372,0.46898092920674284,0.38992312924447,16,0.20064947622358237,,,201
100,64,16,8,adam,201,0.0005,BC_observed_positive,32,0.26855794209532435,1.1793458461761475,0.46898092920674284,0.38992312924447,16,0.20042298711141848,,,201
100,64,16,8,adam,201,0.001,simple_BC,0,0.2875226914355773,0.07085680961608887,0.46898092920674284,0.38992312924447,16,0.18145823777116554,,,201
100,64,16,8,adam,201,0.001,simple_BC,16,0.28678477544830955,0.07766079902648926,0.46898092920674284,0.38992312924447,16,0.1821961537584333,,,201
100,64,16,8,adam,201,0.001,simple_BC,32,0.28811282117372566,0.07751607894897461,0.46898092920674284,0.38992312924447,16,0.18086810803301717,,,201
100,64,16,8,adam,200,0.001,BC_with_evidence,0,0.2769955801518437,4.543236494064331,0.46898092920674284,0.38992312924447,16,0.1919853490548991,-2.5699260234832764,201.0,200
100,64,16,8,adam,200,0.001,BC_with_evidence,16,0.2734364766834891,4.543885946273804,0.46898092920674284,0.38992312924447,16,0.19554445252325375,-1.1537730693817139,201.0,200
100,64,16,8,adam,200,0.001,BC_with_evidence,32,0.2796759009457264,4.537271738052368,0.46898092920674284,0.38992312924447,16,0.18930502826101642,-1.1915168762207031,201.0,200
100,64,16,8,adam,201,0.001,BC_observed_positive,0,0.2872483656529868,1.133120059967041,0.46898092920674284,0.38992312924447,16,0.18173256355375605,,,201
100,64,16,8,adam,201,0.001,BC_observed_positive,16,0.28695480045039473,1.1645796298980713,0.46898092920674284,0.38992312924447,16,0.1820261287563481,,,201
100,64,16,8,adam,201,0.001,BC_observed_positive,32,0.2869781114116147,1.1786046028137207,0.46898092920674284,0.38992312924447,16,0.1820028177951281,,,201
100,64,16,8,adam,201,0.005,simple_BC,0,0.4074323088714322,0.07004904747009277,0.46898092920674284,0.38992312924447,16,0.06154862033531061,,,201
100,64,16,8,adam,201,0.005,simple_BC,16,0.4060983539189906,0.07650876045227051,0.46898092920674284,0.38992312924447,16,0.06288257528775226,,,201
100,64,16,8,adam,201,0.005,simple_BC,32,0.41317348644342844,0.07662796974182129,0.46898092920674284,0.38992312924447,16,0.0558074427633144,,,201
100,64,16,8,adam,200,0.005,BC_with_evidence,0,0.2934964332362596,4.538800239562988,0.46898092920674284,0.38992312924447,16,0.1754844959704832,-2.741457939147949,201.0,200
100,64,16,8,adam,200,0.005,BC_with_evidence,16,0.30414095954169085,4.551146507263184,0.46898092920674284,0.38992312924447,16,0.164839969665052,-0.4288829565048218,201.0,200
100,64,16,8,adam,200,0.005,BC_with_evidence,32,0.2685480350129613,4.541502237319946,0.46898092920674284,0.38992312924447,16,0.20043289419378152,-1.2464771270751953,201.0,200
