N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_estimated,time,distance_epsilon,method
10000,10000,1,10000,0.4258359374681835,0.25,0.0260671561908708,0.4174,144.01457357406616,0.0084359374681834,msm_20_batches
100,100,2,200,0.2079243591337636,0.25,0.0229151313223817,0.2268,1.0035080909729004,0.0188756408662363,msm_20_batches
100,464,2,928,0.3083425335776181,0.25,0.5190823222119895,0.3123,1.7744436264038086,0.0039574664223819,msm_20_batches
100,2154,2,4308,0.116833069619625,0.25,0.376039327141326,0.1207,11.327468872070312,0.0038669303803749,msm_20_batches
100,10000,2,20000,0.0509836297128987,0.25,0.0012603767029876,0.0334,199.0963122844696,0.0175836297128987,msm_20_batches
464,100,2,200,0.2579285084842649,0.25,0.6724698446537339,0.2468,0.9584102630615234,0.0111285084842648,msm_20_batches
464,464,2,928,0.2385704935248911,0.25,0.6868082266569918,0.2415,3.0758612155914307,0.0029295064751088,msm_20_batches
464,2154,2,4308,0.0763358220465816,0.25,0.2085639524543349,0.0778,14.191986083984377,0.0014641779534183,msm_20_batches
464,10000,2,20000,0.3109031158702077,0.25,0.0914788686741934,0.3298,227.8413569927216,0.0188968841297922,msm_20_batches
2154,100,2,200,0.272005059406969,0.25,0.6443610847569929,0.2968,0.7245047092437744,0.0247949405930309,msm_20_batches
2154,464,2,928,0.3270686734853721,0.25,0.0052398376514658,0.3154,2.360671281814575,0.0116686734853721,msm_20_batches
2154,2154,2,4308,0.0722727700623299,0.25,0.224897142764334,0.0758,9.85364055633545,0.0035272299376701,msm_20_batches
2154,10000,2,20000,0.3757639085676219,0.25,0.08593178060976,0.387,225.02298283576965,0.011236091432378,msm_20_batches
10000,100,2,200,0.1110245698999613,0.25,0.8303995700373394,0.1293,1.2080979347229004,0.0182754301000386,msm_20_batches
10000,464,2,928,0.2596759121830165,0.25,0.6491541971124779,0.2628,2.469179153442383,0.0031240878169835,msm_20_batches
10000,2154,2,4308,0.3926480141108094,0.25,0.312766213509114,0.4034,14.807519435882568,0.0107519858891905,msm_20_batches
10000,10000,2,20000,0.011165213995903,0.25,0.05784995797892,0.0028,213.49305081367493,0.008365213995903,msm_20_batches
100,100,4,400,0.1621812298630932,0.25,0.2741197751668521,0.1983,0.8593285083770752,0.0361187701369067,msm_20_batches
100,464,4,1856,0.4364611882000555,0.25,0.5605299905360588,0.453,2.5167598724365234,0.0165388117999444,msm_20_batches
100,2154,4,8616,0.4223548038010348,0.25,0.1559261338944801,0.3809,26.480811595916748,0.0414548038010347,msm_20_batches
100,10000,4,40000,0.2692202962972718,0.25,0.0176214815108204,0.2793,393.80952501297,0.0100797037027281,msm_20_batches
464,100,4,400,0.4333041370832565,0.25,0.8558283672539277,0.4378,1.3896875381469729,0.0044958629167435,msm_20_batches
464,464,4,1856,0.4749029956768132,0.25,0.1950374860087073,0.4464,3.3933799266815186,0.0285029956768132,msm_20_batches
464,2154,4,8616,0.4132034988146706,0.25,0.1734727971986822,0.4183,29.140538454055783,0.0050965011853293,msm_20_batches
464,10000,4,40000,0.4270577219182693,0.25,0.0144801373093438,0.4235,426.7237498760224,0.0035577219182693,msm_20_batches
2154,100,4,400,0.0493717009101741,0.25,0.773799287244182,0.0776,1.0361013412475586,0.0282282990898258,msm_20_batches
2154,464,4,1856,0.3256521661704955,0.25,0.4277373293360762,0.3145,3.32913875579834,0.0111521661704955,msm_20_batches
2154,2154,4,8616,0.3517584940763265,0.25,0.1874880243993058,0.337,28.64943051338196,0.0147584940763264,msm_20_batches
2154,10000,4,40000,0.3051204063233148,0.25,0.0176767431333995,0.3327,425.5195574760437,0.0275795936766851,msm_20_batches
10000,100,4,400,0.399807630868014,0.25,0.2136932376295811,0.447,1.2604827880859375,0.0471923691319859,msm_20_batches
10000,464,4,1856,0.0172856099358171,0.25,0.7672845084217665,0.0216,4.803245544433594,0.0043143900641828,msm_20_batches
10000,2154,4,8616,0.3851193672774899,0.25,0.0716439061352486,0.3729,22.409188985824585,0.0122193672774899,msm_20_batches
10000,10000,4,40000,0.3658643003697635,0.25,0.0366622533863213,0.3709,381.2412781715393,0.0050356996302365,msm_20_batches
100,100,1,100,0.1298491966491765,0.25,0.7444731530777321,0.1353,1.1623334884643557,0.0054508033508234,msm_20_batches
100,464,1,464,0.1285346494110733,0.25,0.221396700908201,0.1248,1.3014194965362549,0.0037346494110733,msm_20_batches
100,2154,1,2154,0.3161516587150639,0.25,0.1988042124611406,0.3046,6.976763010025024,0.0115516587150638,msm_20_batches
100,10000,1,10000,0.1726487307955407,0.25,0.0397895846854133,0.1658,142.6862771511078,0.0068487307955407,msm_20_batches
464,100,1,100,0.3982943390036437,0.25,0.1425183377658446,0.4207,0.8251833915710449,0.0224056609963562,msm_20_batches
464,464,1,464,0.2230731160017286,0.25,0.3770825992073341,0.2206,2.2070798873901367,0.0024731160017286,msm_20_batches
464,2154,1,2154,0.3913747073920859,0.25,0.0247241269188685,0.3816,7.094211101531982,0.0097747073920859,msm_20_batches
464,10000,1,10000,0.4952358918119203,0.25,0.0221840738068481,0.4999,153.70130610466003,0.0046641081880796,msm_20_batches
2154,100,1,100,0.15012416976695,0.25,0.6745640237634105,0.1644,1.091156005859375,0.0142758302330499,msm_20_batches
2154,464,1,464,0.0715029141290496,0.25,0.7997765368973863,0.0666,1.7069368362426758,0.0049029141290496,msm_20_batches
2154,2154,1,2154,0.4506542181746369,0.25,0.0747720771851308,0.4744,8.08747911453247,0.0237457818253631,msm_20_batches
2154,10000,1,10000,0.2707796894436866,0.25,0.0463404620971584,0.2641,137.85308241844177,0.0066796894436866,msm_20_batches
10000,100,1,100,0.4873701854275411,0.25,0.2076256618038143,0.4918,1.2131271362304688,0.0044298145724588,msm_20_batches
10000,464,1,464,0.3183022000009486,0.25,0.9173335630816306,0.3225,2.235102653503418,0.0041977999990513,msm_20_batches
10000,2154,1,2154,0.4969565123052394,0.25,0.6604591626151223,0.4848,8.624372482299805,0.0121565123052394,msm_20_batches
10000,10000,1,10000,0.2730354020714758,0.25,0.1107769222102828,0.2669,194.4049253463745,0.0061354020714757,msm_20_batches
100,100,2,200,0.2632129669527606,0.25,0.3045179879206202,0.2686,1.1848974227905271,0.0053870330472393,msm_20_batches
100,464,2,928,0.0677139515360849,0.25,0.8348540476317985,0.07,3.0902349948883057,0.002286048463915,msm_20_batches
100,2154,2,4308,0.1778525854919405,0.25,0.2020919023349675,0.1662,11.647860050201416,0.0116525854919405,msm_20_batches
100,10000,2,20000,0.0131092836481866,0.25,0.0923456215118775,0.0091,272.84172534942627,0.0040092836481866,msm_20_batches
464,100,2,200,0.0801975897598245,0.25,0.7060518043359332,0.0961,1.0089292526245115,0.0159024102401754,msm_20_batches
464,464,2,928,0.372818596353748,0.25,0.4780313079652833,0.3505,2.929935932159424,0.022318596353748,msm_20_batches
464,2154,2,4308,0.0151998449643944,0.25,0.0585933629291358,0.008,14.921107530593872,0.0071998449643944,msm_20_batches
464,10000,2,20000,0.1832715486218721,0.25,0.0976043550467747,0.1868,249.3364872932434,0.0035284513781278,msm_20_batches
2154,100,2,200,0.431173126419022,0.25,0.1598336503440933,0.4413,1.0263142585754397,0.0101268735809779,msm_20_batches
2154,464,2,928,0.3463388587536771,0.25,0.2026021252196626,0.3677,3.697859525680542,0.0213611412463228,msm_20_batches
2154,2154,2,4308,0.3454710710330843,0.25,0.2001772308079716,0.3582,17.75840711593628,0.0127289289669157,msm_20_batches
2154,10000,2,20000,0.0943184004776554,0.25,0.0404201905775147,0.1013,208.65600895881653,0.0069815995223445,msm_20_batches
10000,100,2,200,0.2209521403742116,0.25,0.1467514807642941,0.2365,0.7312324047088623,0.0155478596257883,msm_20_batches
10000,464,2,928,0.2907887036721456,0.25,0.7293189193611234,0.2984,2.5229976177215576,0.0076112963278544,msm_20_batches
10000,2154,2,4308,0.4948758538318526,0.25,0.0876253792373193,0.4882,13.146313667297363,0.0066758538318525,msm_20_batches
10000,10000,2,20000,0.1019531126165609,0.25,0.0643895644311662,0.1107,196.2658278942108,0.008746887383439,msm_20_batches
100,100,4,400,0.1238664508811774,0.25,0.7543059505762987,0.1096,1.6806247234344482,0.0142664508811774,msm_20_batches
100,464,4,1856,0.1310865418864559,0.25,0.2107323920833207,0.165,3.81217885017395,0.033913458113544,msm_20_batches
100,2154,4,8616,0.3750862066489964,0.25,0.1394972720769823,0.3917,27.1174864768982,0.0166137933510036,msm_20_batches
100,10000,4,40000,0.2284876637178464,0.25,0.0374464187622918,0.2182,399.8730971813202,0.0102876637178463,msm_20_batches
464,100,4,400,0.0284647192055474,0.25,0.6382187106203334,0.0221,1.310260772705078,0.0063647192055474,msm_20_batches
464,464,4,1856,0.2542581203051198,0.25,0.5971273029466491,0.2776,2.0345447063446045,0.0233418796948802,msm_20_batches
464,2154,4,8616,0.1059800823218379,0.25,0.0685892027983976,0.1151,22.73506212234497,0.009119917678162,msm_20_batches
464,10000,4,40000,0.3993021223801051,0.25,0.0365803235620754,0.3881,339.88210105896,0.011202122380105,msm_20_batches
2154,100,4,400,0.1486656907536361,0.25,0.9453084399999496,0.1478,1.6405000686645508,0.0008656907536361,msm_20_batches
2154,464,4,1856,0.0138030059772518,0.25,0.4255613902615469,0.0217,3.389014720916748,0.0078969940227481,msm_20_batches
2154,2154,4,8616,0.2967162247323105,0.25,0.1815649528392305,0.2819,21.76568555831909,0.0148162247323104,msm_20_batches
2154,10000,4,40000,0.4219202144655944,0.25,0.0028070519830957,0.4141,359.14478516578674,0.0078202144655943,msm_20_batches
10000,100,4,400,0.1905080620311071,0.25,0.8352716024899659,0.1873,1.3365483283996582,0.003208062031107,msm_20_batches
10000,464,4,1856,0.3749291553630717,0.25,0.1922500168221477,0.3388,3.818293809890747,0.0361291553630717,msm_20_batches
10000,2154,4,8616,0.2555707391485641,0.25,0.0917123651090931,0.246,22.06580662727356,0.009570739148564,msm_20_batches
10000,10000,4,40000,0.2704759024810943,0.25,0.0150040522962678,0.255,365.65021276474,0.0154759024810943,msm_20_batches
100,100,1,100,0.4797171605308762,0.25,0.0801036438060492,0.4416,1.018955945968628,0.0381171605308761,msm_20_batches
100,464,1,464,0.4019804457493234,0.25,0.9046310029362428,0.3792,1.2148220539093018,0.0227804457493233,msm_20_batches
100,2154,1,2154,0.0161615333117869,0.25,0.3436900441538888,0.0169,5.079550504684448,0.000738466688213,msm_20_batches
100,10000,1,10000,0.3546936256156475,0.25,0.1061394876952279,0.3457,151.8356900215149,0.0089936256156475,msm_20_batches
464,100,1,100,0.232500740781753,0.25,0.494116265896325,0.2566,1.2695326805114746,0.0240992592182469,msm_20_batches
464,464,1,464,0.4737744706975499,0.25,0.1321611419429381,0.4472,2.19827938079834,0.0265744706975498,msm_20_batches
464,2154,1,2154,0.1107163671617441,0.25,0.1916936479939025,0.1229,6.885133504867554,0.0121836328382558,msm_20_batches
464,10000,1,10000,0.1335360098421829,0.25,0.0152377618064642,0.1373,145.39899373054504,0.0037639901578171,msm_20_batches
2154,100,1,100,0.040736982438631,0.25,0.5079216999452875,0.0515,1.0303947925567627,0.010763017561369,msm_20_batches
2154,464,1,464,0.2143094143318932,0.25,0.2615495518329871,0.2213,1.5144667625427246,0.0069905856681067,msm_20_batches
2154,2154,1,2154,0.0545093820095341,0.25,0.3315335272820723,0.0653,8.32829761505127,0.0107906179904658,msm_20_batches
2154,10000,1,10000,0.3168933803059589,0.25,0.0216130657394473,0.317,155.40288257598877,0.000106619694041,msm_20_batches
10000,100,1,100,0.4014816186868689,0.25,0.7875518396525072,0.4068,1.0747780799865725,0.005318381313131,msm_20_batches
10000,464,1,464,0.3484002480600892,0.25,0.1065838767888011,0.3235,1.2012546062469482,0.0249002480600892,msm_20_batches
10000,2154,1,2154,0.3831056905378852,0.25,0.9152356766139162,0.377,7.92107367515564,0.0061056905378852,msm_20_batches
10000,10000,1,10000,0.1712270599217599,0.25,0.0354322328876834,0.1569,150.7154097557068,0.0143270599217598,msm_20_batches
100,100,2,200,0.4229257415138388,0.25,0.5724051124346493,0.4389,1.25858736038208,0.0159742584861611,msm_20_batches
100,464,2,928,0.2143843874997212,0.25,0.0448453345890881,0.2221,2.162451982498169,0.0077156125002787,msm_20_batches
100,2154,2,4308,0.4120049352061594,0.25,0.365420747286831,0.4337,13.766282320022585,0.0216950647938406,msm_20_batches
100,10000,2,20000,0.3132480793121469,0.25,0.0189605947818296,0.3241,176.15876746177673,0.0108519206878531,msm_20_batches
464,100,2,200,0.0717115243351224,0.25,0.5279039784081266,0.0736,1.191648244857788,0.0018884756648775,msm_20_batches
464,464,2,928,0.0391934499274739,0.25,0.7400775431590716,0.0432,1.791351318359375,0.004006550072526,msm_20_batches
464,2154,2,4308,0.0091663214565036,0.25,0.0696060747062469,0.0079,10.197940111160278,0.0012663214565036,msm_20_batches
464,10000,2,20000,0.0333624988196782,0.25,0.0551087174186971,0.0421,184.3925278186798,0.0087375011803217,msm_20_batches
2154,100,2,200,0.2292919068542159,0.25,0.2166172083287794,0.2206,0.8614394664764404,0.0086919068542158,msm_20_batches
2154,464,2,928,0.0566709613837952,0.25,0.7591960493171447,0.0574,1.4595158100128174,0.0007290386162047,msm_20_batches
2154,2154,2,4308,0.0138916744243349,0.25,0.3356152244922069,0.0117,13.773993492126465,0.0021916744243349,msm_20_batches
2154,10000,2,20000,0.3774307406952337,0.25,0.0176549034277083,0.3893,182.63601303100583,0.0118692593047663,msm_20_batches
10000,100,2,200,0.1974252402303197,0.25,0.8619665576670734,0.194,0.883056640625,0.0034252402303197,msm_20_batches
10000,464,2,928,0.3734692478037625,0.25,0.0197750995163442,0.3687,1.865616798400879,0.0047692478037625,msm_20_batches
10000,2154,2,4308,0.2262024133732257,0.25,0.3993672225734054,0.2227,10.925688743591309,0.0035024133732257,msm_20_batches
10000,10000,2,20000,0.2250433735003805,0.25,0.0558903811160938,0.2134,197.7629656791687,0.0116433735003805,msm_20_batches
