ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,X0_r2
1,400,1,4,16,0.3301843700266344,0.1,16,0.28217000000000003,7.147709846496582,0.04801437002663439,0.14541684702628807,0.47905402491002885,1.4545228481292725,0.14886965488339443,0.4508682675421184,-0.1658937931060791
1,400,1,4,32,0.14879295586778357,0.1,16,0.12285000000000001,9.375252485275269,0.025942955867783557,0.17435607563866326,0.22151751100741435,2.7760164737701416,0.07272455513963078,0.48876342778117354,0.36605018377304077
1,400,1,4,64,0.2650105889010537,0.1,16,0.17422,14.033802509307861,0.09079058890105371,0.34259230650950306,0.27809100999961245,5.62233567237854,0.013080421098558725,0.04935810736016487,0.367689311504364
1,400,1,4,128,0.2880454565671791,0.1,16,0.22680000000000003,23.2022807598114,0.061245456567179085,0.21262427568578982,0.2720711359263014,11.415971279144287,0.015974320640877726,0.05545763794108702,0.6959278583526611
1,400,1,4,256,0.17163655798575944,0.1,16,0.13275,41.113391160964966,0.038886557985759435,0.22656337578725985,0.17257486033992753,24.34372878074646,0.0009383023541680857,0.005466797780027352,0.8373415470123291
1,400,1,4,512,0.18167890831568206,0.1,16,0.24264000000000002,77.1657862663269,0.06096109168431796,0.33554303165666893,0.17935073276525165,201.65636372566223,0.0023281755504304114,0.012814781704792142,0.9265156984329224
1,400,1,8,16,0.0022918602698466795,0.1,16,0.020360000000000003,7.014216899871826,0.018068139730153324,7.8836131363986,0.10212774310545067,1.4132859706878662,0.09983588283560399,43.561068774180896,0.39889413118362427
1,400,1,8,32,0.437942252657293,0.1,16,0.41891000000000006,9.189420223236084,0.019032252657292914,0.04345836132917369,0.4505833251379152,2.832862138748169,0.01264107248062224,0.0288647016905089,0.34251075983047485
1,400,1,8,64,0.017894336112750153,0.1,16,0.08725000000000001,13.84920048713684,0.06935566388724985,3.875844482312604,0.1341948034610221,5.693245887756348,0.11630046734827196,6.499289306710017,0.6811981797218323
1,400,1,8,128,0.04447254161622749,0.1,16,0.04148,23.62490940093994,0.002992541616227487,0.06728964676791814,0.0482715502248763,13.14546537399292,0.0037990086086488115,0.08542369000252055,0.734102189540863
1,400,1,8,256,0.0004926791844374057,0.1,16,0.009430000000000001,47.78089141845703,0.008937320815562595,18.140244398123283,0.03656656673126142,28.000593900680542,0.036073887546824016,73.21983287769115,0.869325578212738
1,400,1,8,512,0.08411390177748546,0.1,16,0.09688000000000001,87.45703959465027,0.012766098222514552,0.15177156156999982,0.0891365207276805,765.0223107337952,0.00502261895019504,0.0597121146927871,0.9406645894050598
1,400,1,16,16,0.3184257468652454,0.1,16,0.46655,8.538990259170532,0.14812425313475464,0.46517674714739493,0.36181876501797067,1.6892633438110352,0.04339301815272528,0.1362735852232727,0.5438979864120483
1,400,1,16,32,0.35547437310111923,0.1,16,0.49464,9.46121883392334,0.1391656268988808,0.39149271348259285,0.4877700352933097,2.8996710777282715,0.13229566219219047,0.37216652508043746,0.6786929368972778
1,400,1,16,64,0.009865273076149594,0.1,16,0.00021,14.237838745117188,0.009655273076149594,0.9787132096213638,0.05021446314152734,5.767342805862427,0.040349190065377745,4.090022623187841,0.7861944437026978
1,400,1,16,128,0.4320167348934181,0.1,16,0.48830000000000007,23.177010774612427,0.05628326510658199,0.13028028907368025,0.4844842290552035,11.56632947921753,0.05246749416178542,0.12144782811418073,0.8934499621391296
1,400,1,16,256,0.42593054199583974,0.1,16,0.44981000000000004,41.21825122833252,0.023879458004160303,0.056064206835849645,0.44741458965215114,25.400757789611816,0.0214840476563114,0.050440260883008584,0.8972492218017578
1,400,1,16,512,0.30427997862696765,0.1,16,0.37145000000000006,78.61417055130005,0.06717002137303241,0.22075071017202733,0.32177261336518065,264.53809213638306,0.017492634738212998,0.057488615639933745,0.9381688237190247
1,400,4,4,16,0.3203316235741025,0.1,16,0.033780000000000004,8.455413103103638,0.28655162357410247,0.8945467836640684,0.30266964581492495,48.89505672454834,0.01766197775917755,0.055136541194759046,-0.10121488571166992
1,400,4,4,32,0.0031899508965842482,0.1,16,0.00288,11.78717565536499,0.00030995089658424806,0.09716478611509,0.028243293469570347,16.47997546195984,0.0250533425729861,7.8538332987548,0.04885983467102051
1,400,4,4,64,0.4944177784813599,0.1,16,0.44937000000000005,17.48646640777588,0.04504777848135988,0.09111278040957062,0.4812192564977787,86.46304154396057,0.013198521983581235,0.026695079663440608,0.5576514005661011
1,400,4,4,128,0.06235847509993658,0.1,16,0.07414000000000001,29.748269081115723,0.011781524900063428,0.18893221620929934,0.08064534390614246,125.99183225631714,0.018286868806205878,0.29325394466267946,0.7637741565704346
1,400,4,4,256,0.39953296895238527,0.1,16,0.38558000000000003,54.18877100944519,0.013952968952385236,0.0349231979252458,0.4397996046409091,324.9912180900574,0.040266635688523844,0.10078426267075512,0.9087622761726379
1,400,4,4,512,0.025683755128948438,0.1,16,0.07082000000000001,97.6202826499939,0.04513624487105157,1.7573849557605392,0.026413184040064954,283.8829345703125,0.0007294289111165163,0.028400399686662994,0.9346566796302795
1,400,4,8,16,0.23413408193345775,0.1,16,0.19112,7.421740770339966,0.04301408193345774,0.18371559398038678,0.23529620559183576,8.306338787078857,0.001162123658378006,0.004963496338428372,0.37859272956848145
1,400,4,8,32,0.16178968420570217,0.1,16,0.49735,10.042665481567383,0.33556031579429785,2.0740526037967952,0.18207016987005123,11.969765186309814,0.020280485664349063,0.12535091939832274,0.5921272039413452
1,400,4,8,64,0.09608725669328078,0.1,16,0.19532000000000002,15.277185678482056,0.09923274330671925,1.0327357312684984,0.14062919112405795,53.067506074905396,0.04454193443077717,0.4635571454907809,0.6263527274131775
1,400,4,8,128,0.25591035825585384,0.1,16,0.20967000000000002,30.056730270385742,0.04624035825585382,0.18068967028534139,0.28698658752437023,152.5275046825409,0.031076229268516387,0.12143404229635371,0.9128541946411133
1,400,4,8,256,0.4970329844790155,0.1,16,0.48290000000000005,54.07280349731445,0.014132984479015454,0.02843470135856173,0.48410835410639713,397.3082721233368,0.012924630372618373,0.02600356671733935,0.8864584565162659
1,400,4,8,512,0.26310372253498304,0.1,16,0.19564,102.4995698928833,0.06746372253498303,0.2564149297660084,0.2640466738623653,932.6846950054169,0.0009429513273822576,0.003583952816391186,0.9373944997787476
1,400,4,16,16,0.2974740171428199,0.1,16,0.31371000000000004,8.146328926086426,0.016235982857180142,0.05457949912104459,0.25740016130212895,41.007338523864746,0.04007385584069095,0.13471380198375826,0.21751415729522705
1,400,4,16,32,0.3505706903092371,0.1,16,0.22948000000000002,10.211725234985352,0.12109069030923708,0.345410194453003,0.36307861572202726,12.720471143722534,0.012507925412790166,0.035678753981848776,0.6764824390411377
1,400,4,16,64,0.437608104815152,0.1,16,0.32624000000000003,15.35411548614502,0.11136810481515197,0.2544927838166856,0.45945686287875764,17.520289421081543,0.021848758063605644,0.049927681464754126,0.850150465965271
1,400,4,16,128,0.11802966194525616,0.1,16,0.32474000000000003,26.420341968536377,0.20671033805474387,1.7513422867433024,0.13136472163700538,100.27635073661804,0.013335059691749224,0.11298058023697649,0.9098584055900574
1,400,4,16,256,0.3050970887440324,0.1,16,0.28944000000000003,51.80027532577515,0.015657088744032377,0.05131838133391112,0.3315351354518869,52.72476100921631,0.02643804670785449,0.08665453615663715,0.9442313313484192
1,400,4,16,512,0.13296868941716278,0.1,16,0.20457000000000003,90.44633078575134,0.07160131058283725,0.5384824870929005,0.13288008421124922,1512.505732536316,8.860520591355558e-05,0.0006663614291600213,0.957115888595581
1,400,16,4,16,0.006011419383415761,0.1,16,0.49615000000000004,9.040118217468262,0.4901385806165843,81.53458432275966,0.06676958383753419,39.120890855789185,0.06075816445411843,10.107124553934366,-0.1760634183883667
1,400,16,4,32,0.47972287902311417,0.1,16,0.43085,12.887604475021362,0.04887287902311416,0.10187731534221729,0.4397087472399409,91.50109648704529,0.04001413178317326,0.08341093062865006,0.5797106027603149
1,400,16,4,64,0.49244987405659274,0.1,16,0.43273000000000006,13.245059490203857,0.05971987405659268,0.12127097031144661,0.4721232930139722,71.52297472953796,0.02032658104262053,0.04127644682935706,0.660081148147583
1,400,16,4,128,0.14790899171970168,0.1,16,0.22243000000000002,21.130288124084473,0.07452100828029834,0.5038301418585902,0.15901798058499736,15.564610719680786,0.011108988865295683,0.07510692038485413,0.9246895909309387
1,400,16,4,256,0.08161971051044153,0.1,16,0.004920000000000001,38.227903604507446,0.07669971051044153,0.9397204429024457,0.08243249138534267,22.405619382858276,0.0008127808749011367,0.009958144543984365,0.9423718452453613
1,400,16,4,512,0.38048788307114534,0.1,16,0.39596000000000003,74.18458890914917,0.015472116928854696,0.04066388869987129,0.328939066215248,89.24326515197754,0.05154881685589735,0.13548083697124863,0.01352846622467041
1,400,16,8,16,0.20672785996035659,0.1,16,0.32936000000000004,5.937855243682861,0.12263214003964346,0.5932056765989846,0.212057099117426,1.2622902393341064,0.005329239157069426,0.025779008006426393,0.29759109020233154
1,400,16,8,32,0.160207215437497,0.1,16,0.47508000000000006,8.079737901687622,0.31487278456250306,1.965409508570774,0.17265061473857055,2.3001482486724854,0.012443399301073549,0.07767065463994784,0.7193570733070374
1,400,16,8,64,0.2766502071568841,0.1,16,0.14053000000000002,12.393038511276245,0.13612020715688408,0.49203002071020463,0.28981559555455266,4.639472484588623,0.013165388397668565,0.047588572345448034,0.8194583058357239
1,400,16,8,128,0.04863220647422317,0.1,16,0.13167,21.06402087211609,0.08303779352577684,1.707465063708139,0.06049626273910753,9.445599555969238,0.011864056264884355,0.24395471900237004,0.9328172206878662
1,400,16,8,256,0.059678083978838836,0.1,16,0.10071000000000001,38.42903232574463,0.04103191602116117,0.6875541787787728,0.06414501802576762,34.313640117645264,0.004466934046928786,0.07485049366720134,0.9527284502983093
1,400,16,8,512,0.3331788202709457,0.1,16,0.32599,76.03595924377441,0.007188820270945695,0.021576462348656032,0.3469635540745763,66.99675703048706,0.0137847338036306,0.04137337959363882,0.9100725054740906
1,400,16,16,16,0.2618113869181009,0.1,16,0.32033,5.9950361251831055,0.058518613081899096,0.22351439244391888,0.2785113456903002,2.5064127445220947,0.01669995877219932,0.06378622018233054,0.3957318067550659
1,400,16,16,32,0.37135142294692075,0.1,16,0.34834000000000004,8.195006132125854,0.023011422946920712,0.06196670195662576,0.45929587547552275,2.2834231853485107,0.087944452528602,0.2368227158811032,0.7840895652770996
1,400,16,16,64,0.4310063750072308,0.1,16,0.30981000000000003,12.305213689804077,0.1211963750072308,0.2811939266680163,0.4767792825328975,4.62962532043457,0.04577290752566665,0.10620007076437961,0.89255690574646
1,400,16,16,128,0.13415445901422368,0.1,16,0.28158,21.033382415771484,0.14742554098577632,1.0989238976405964,0.13109796054062864,11.221800565719604,0.003056498473595043,0.022783428117517723,0.9426140785217285
1,400,16,16,256,0.1973019259462946,0.1,16,0.23667000000000002,38.118282318115234,0.03936807405370543,0.199532132618013,0.20284643480148049,21.255037307739258,0.005544508855185898,0.028101645884060496,0.8421579003334045
1,400,16,16,512,0.3956767398084923,0.1,16,0.47791000000000006,72.92463541030884,0.08223326019150778,0.20782940192872779,0.4356022355982263,51.78352665901184,0.03992549578973403,0.10090432864225982,0.8947786092758179
1,400,64,4,16,0.4495260860171711,0.1,16,0.44018,5.8874123096466064,0.009346086017171074,0.02079097589191758,0.4016931076773183,1.2430365085601807,0.04783297833985278,0.10640756972227336,0.15159273147583008
1,400,64,4,32,0.4249501762331611,0.1,16,0.40752000000000005,8.045143365859985,0.017430176233161065,0.04101698789176993,0.3650828057620072,2.2867541313171387,0.059867370471153925,0.14088091691555382,0.1097642183303833
1,400,64,4,64,0.18238591507218171,0.1,16,0.17448000000000002,12.333892107009888,0.00790591507218169,0.043347179901763885,0.20163738408573784,10.635932922363281,0.01925146901355612,0.10555348534417852,0.9438223838806152
1,400,64,4,128,0.28873947701234054,0.1,16,0.23295000000000002,22.162734031677246,0.05578947701234052,0.19321735146717092,0.30586209819858967,19.882928609848022,0.017122621186249132,0.05930128212262891,0.9250164031982422
1,400,64,4,256,0.40071705281616227,0.1,16,0.23738,40.76494789123535,0.16333705281616226,0.4076119338277743,0.42720979359828243,39.824981689453125,0.02649274078212016,0.06611333507255127,0.740500807762146
1,400,64,4,512,0.3153077453483326,0.1,16,0.2691,74.46417355537415,0.04620774534833261,0.14654808208813624,0.3023116238822517,68.30823945999146,0.012996121466080923,0.04121726046318211,0.848915159702301
1,400,64,8,16,0.12503922277859225,0.1,16,0.08096,5.925377607345581,0.04407922277859225,0.35252316672380163,0.14401074548883866,1.2568409442901611,0.018971522710246408,0.15172457320723598,0.5213649272918701
1,400,64,8,32,0.23211679255939643,0.1,16,0.26080000000000003,8.059462070465088,0.028683207440603598,0.12357230652867927,0.1548103219349715,2.2947134971618652,0.07730647062442494,0.3330498830869506,-0.15556573867797852
