ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,epsilon_plus_msm,epsilon_minus_msm,time_msm,abs_error_msm_plus,abs_error_msm_minus,rel_error_msm_plus,rel_error_msm_minus,epsilon_plus_pgabm,epsilon_minus_pgabm,time_pgabm,abs_error_pgabm_plus,abs_error_pgabm_minus,rel_error_pgabm_plus,rel_error_pgabm_minus,X0_r2
1,400,1,4,16,0.3830461105313161,0.9747054671900486,0.4356820332271372,0.4356820332271372,16,0.2338,0.9238999999999533,7.689160346984863,0.1492461105313161,0.050805467190095266,0.38962962011100855,0.05212391732710902,0.16811870125149575,0.998280583554094,7.815220832824707,0.21492740927982035,0.023575116364045412,0.5611006178386685,0.024186913029234834,0.01371854543685913
1,400,1,4,32,0.3524622566802865,0.5461042963232632,0.4232893980340185,0.4232893980340185,16,0.31470000000000004,0.5433999999999952,10.444847106933594,0.03776225668028649,0.002704296323267963,0.10713844096657445,0.004951977747611733,0.25053279193327566,0.5191017246638645,15.793949127197266,0.10192946474701087,0.027002571659398678,0.28919256690644646,0.04944581436402885,-0.049828290939331055
1,400,1,4,64,0.021334020118854713,0.8643976146058593,0.25757011334671237,0.25757011334671237,16,0.0013000000000000002,0.727099999999975,15.957662582397461,0.020034020118854714,0.1372976146058843,0.9390644617021301,0.15883617942246187,0.0034128962441079885,0.9973518447579406,32.53354096412659,0.017921123874746724,0.1329542301520813,0.8400256386234624,0.15381142648421658,0.18126362562179565
1,400,1,4,128,0.368643243117668,0.7140660605503057,0.09281244017024237,0.09281244017024237,16,0.48260000000000003,0.8661999999999597,27.00751829147339,0.11395675688233203,0.15213393944965392,0.3091247676712684,0.21305303228164857,0.3884192918811285,0.8130668974713693,68.27450656890869,0.019776048763460508,0.09900083692106354,0.053645493665397656,0.13864380677155705,0.4126420021057129
1,400,1,4,256,0.3002038349759582,0.9251002510390072,0.3018319649423102,0.3018319649423102,16,0.32220000000000004,0.972299999999948,49.096811294555664,0.021996165024041836,0.04719974896094081,0.07327076626387333,0.05102122597840547,0.2986295149818975,0.9983424704209481,146.2857050895691,0.0015743199940607133,0.07324221938194098,0.005244170162539038,0.07917219706694545,0.7752720713615417
1,400,1,4,512,0.24572474865981453,0.72235555100105,0.49580982361019366,0.49580982361019366,16,0.20500000000000002,0.7483999999999726,93.36226201057434,0.040724748659814514,0.026044448998922665,0.1657331989631803,0.036054888707963716,0.23443770596290583,0.7569274999332392,332.62737107276917,0.011287042696908695,0.03457194893218918,0.045933682945931774,0.047860016974021875,0.8655443787574768
1,400,1,8,16,0.46824336575751196,0.679413390040025,0.10571932859120797,0.10571932859120797,16,0.22890000000000002,0.5534999999999941,7.65153431892395,0.23934336575751194,0.12591339004003088,0.5111516430570425,0.185326624240675,0.3991100818473374,0.8378682093712161,7.795171737670898,0.06913328391017459,0.1584548193311911,0.14764391546334577,0.23322298567276742,0.036216795444488525
1,400,1,8,32,0.28946402166527785,0.6562293351449937,0.12566133492529852,0.12566133492529852,16,0.1066,0.6298999999999857,10.42657208442688,0.18286402166527785,0.026329335145008015,0.6317331619082283,0.04012215506822863,0.30867948894281033,0.663892030830351,15.675429344177246,0.019215467277532483,0.007662695685357268,0.06638292098267161,0.011676856359467986,0.2744198441505432
1,400,1,8,64,0.3087508752488472,0.7321775182810439,0.32505571700934077,0.32505571700934077,16,0.42650000000000005,0.7209999999999757,15.93388295173645,0.11774912475115284,0.011177518281068277,0.38137260228412095,0.015266131507711526,0.35862094434853997,0.8974506690434988,32.491109132766724,0.04987006909969277,0.16527315076245486,0.16152203312621694,0.22572825119032855,0.6068193912506104
1,400,1,8,128,0.02793844046846472,0.6504233873048024,0.17134855253168346,0.17134855253168346,16,0.031400000000000004,0.6067999999999882,26.87049412727356,0.003461559531535284,0.04362338730481419,0.12389952601121348,0.06706921699968228,0.03342431520133932,0.6493918467122524,68.07773041725159,0.005485874732874603,0.001031540592550062,0.1963557965616133,0.00158595249292083,0.519644021987915
1,400,1,8,256,0.41587933976655833,0.5617806628987045,0.2963993005612952,0.2963993005612952,16,0.49460000000000004,0.5425999999999953,49.02226424217224,0.07872066023344171,0.019180662898709233,0.1892872588420219,0.03414261857953577,0.3839280661020857,0.5255051840708442,145.4212257862091,0.031951273664472646,0.03627547882786031,0.07682823023237355,0.06457231660606515,0.7311697006225586
1,400,1,8,512,0.085846593986939,0.768773806525084,0.3956475672099923,0.3956475672099923,16,0.0763,0.8210999999999646,93.2576379776001,0.009546593986938995,0.052326193474880656,0.11120527377465257,0.06806448532813446,0.11027591559336064,0.8399126134021927,327.49670672416687,0.02442932160642164,0.07113880687710872,0.28456949159961314,0.09253541974675429,0.9208457469940186
1,400,1,16,16,0.42553181832272213,0.5690519815885268,0.25049887238392804,0.25049887238392804,16,0.36660000000000004,0.7472999999999728,7.633810758590698,0.058931818322722096,0.178248018411446,0.13848980448749515,0.3132367941393701,0.6907721114834274,0.99963871936203,7.7922914028167725,0.2652402931607053,0.4305867377735032,0.6233148303837243,0.75667382190904,0.5079504251480103
1,400,1,16,32,0.11849255327147318,0.7530243004431019,0.38531822876816696,0.38531822876816696,16,0.2131,0.9556999999999498,10.391753673553467,0.09460744672852683,0.20267569955684794,0.7984252521909608,0.26914894969204517,0.15532310604447117,0.9824391865238613,15.565207481384277,0.03683055277299799,0.22941488608075944,0.3108258853078902,0.3046580116282634,0.618707001209259
