N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,minibatch_size,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,X0_r2
100,64,16,8,adam,5e-05,simple_BC,0,0.24961622684195725,0.014807701110839844,42,0.2213241156053367,0.11508343479071909,16,0.028292111236620537,
100,64,16,8,adam,5e-05,simple_BC,16,0.24967287250751263,0.015816450119018555,42,0.2213241156053367,0.11508343479071909,16,0.02834875690217592,
100,64,16,8,adam,5e-05,simple_BC,32,0.24965721972201244,0.01582026481628418,42,0.2213241156053367,0.11508343479071909,16,0.028333104116675722,
100,64,16,8,adam,5e-05,simple_BC,64,0.24961610763319755,0.015982389450073242,42,0.2213241156053367,0.11508343479071909,16,0.02829199202786084,
100,64,16,8,adam,5e-05,BC_with_evidence,0,0.24961600726816222,1.1154441833496094,42,0.2213241156053367,0.11508343479071909,16,0.028291891662825502,-1.0368149280548096
100,64,16,8,adam,5e-05,BC_with_evidence,16,0.24976614029808977,1.1112568378448486,42,0.2213241156053367,0.11508343479071909,16,0.02844202469275306,-1.0680503845214844
100,64,16,8,adam,5e-05,BC_with_evidence,32,0.24968345722744786,1.1143503189086914,42,0.2213241156053367,0.11508343479071909,16,0.02835934162211115,-1.1471989154815674
100,64,16,8,adam,5e-05,BC_with_evidence,64,0.24961665849081704,1.1137962341308594,42,0.2213241156053367,0.11508343479071909,16,0.028292542885480332,-1.089418649673462
100,64,16,8,adam,5e-05,BC_observed_positive,0,0.24961670691669027,0.23235726356506348,42,0.2213241156053367,0.11508343479071909,16,0.02829259131135356,
100,64,16,8,adam,5e-05,BC_observed_positive,16,0.24964652985668218,0.23812508583068848,42,0.2213241156053367,0.11508343479071909,16,0.028322414251345462,
100,64,16,8,adam,5e-05,BC_observed_positive,32,0.24963890956615234,0.24006438255310059,42,0.2213241156053367,0.11508343479071909,16,0.028314793960815626,
100,64,16,8,adam,5e-05,BC_observed_positive,64,0.24961608204693891,0.2438218593597412,42,0.2213241156053367,0.11508343479071909,16,0.0282919664416022,
100,64,16,8,adam,0.0001,simple_BC,0,0.2365806068339383,0.2780616283416748,801,0.2213241156053367,0.11508343479071909,16,0.015256491228601593,
100,64,16,8,adam,0.0001,simple_BC,16,0.23893389935834528,0.30482935905456543,801,0.2213241156053367,0.11508343479071909,16,0.017609783753008562,
100,64,16,8,adam,0.0001,simple_BC,32,0.2374643368261842,0.3048093318939209,801,0.2213241156053367,0.11508343479071909,16,0.01614022122084749,
100,64,16,8,adam,0.0001,simple_BC,64,0.23618349229334631,0.30359458923339844,801,0.2213241156053367,0.11508343479071909,16,0.014859376688009601,
100,64,16,8,adam,0.0001,BC_with_evidence,0,0.2358123607955048,19.284135341644287,801,0.2213241156053367,0.11508343479071909,16,0.014488245190168086,-1.0466160774230957
100,64,16,8,adam,0.0001,BC_with_evidence,16,0.2499181940894882,0.9694902896881104,42,0.2213241156053367,0.11508343479071909,16,0.02859407848415149,-0.7198150157928467
100,64,16,8,adam,0.0001,BC_with_evidence,32,0.2369777605445084,18.880168914794922,801,0.2213241156053367,0.11508343479071909,16,0.01565364493917168,-0.7894117832183838
100,64,16,8,adam,0.0001,BC_with_evidence,64,0.24105930502501766,67.60105037689209,618,0.2213241156053367,0.11508343479071909,16,0.019735189419680943,-1.0874059200286865
100,64,16,8,adam,0.0001,BC_observed_positive,0,0.23643177009047173,5.06787109375,801,0.2213241156053367,0.11508343479071909,16,0.015107654485135014,
100,64,16,8,adam,0.0001,BC_observed_positive,16,0.2372389914320037,5.27556300163269,801,0.2213241156053367,0.11508343479071909,16,0.01591487582666698,
100,64,16,8,adam,0.0001,BC_observed_positive,32,0.23682597477933007,4.81930136680603,801,0.2213241156053367,0.11508343479071909,16,0.015501859173993354,
100,64,16,8,adam,0.0001,BC_observed_positive,64,0.2364616601344642,4.741346597671509,801,0.2213241156053367,0.11508343479071909,16,0.015137544529127495,
100,64,16,8,adam,0.0005,simple_BC,0,0.21132408677225464,0.27258896827697754,801,0.2213241156053367,0.11508343479071909,16,0.01000002883308207,
100,64,16,8,adam,0.0005,simple_BC,16,0.2106113671646097,0.2991929054260254,801,0.2213241156053367,0.11508343479071909,16,0.010712748440727005,
100,64,16,8,adam,0.0005,simple_BC,32,0.20565972713341005,0.298753023147583,801,0.2213241156053367,0.11508343479071909,16,0.015664388471926666,
100,64,16,8,adam,0.0005,simple_BC,64,0.20213239772634703,0.2981142997741699,801,0.2213241156053367,0.11508343479071909,16,0.019191717878989684,
100,64,16,8,adam,0.0005,BC_with_evidence,0,0.19513340413347022,20.933472156524658,801,0.2213241156053367,0.11508343479071909,16,0.026190711471866496,-0.7877016067504883
100,64,16,8,adam,0.0005,BC_with_evidence,16,0.22577386923504864,20.92366886138916,801,0.2213241156053367,0.11508343479071909,16,0.004449753629711922,-1.009918451309204
100,64,16,8,adam,0.0005,BC_with_evidence,32,0.20358601254677633,19.346243619918823,801,0.2213241156053367,0.11508343479071909,16,0.017738103058560384,-1.1148054599761963
100,64,16,8,adam,0.0005,BC_with_evidence,64,0.23067293688450302,8.6061532497406,366,0.2213241156053367,0.11508343479071909,16,0.009348821279166308,-1.2359812259674072
100,64,16,8,adam,0.0005,BC_observed_positive,0,0.20929328019695884,4.527178049087524,801,0.2213241156053367,0.11508343479071909,16,0.012030835408377877,
100,64,16,8,adam,0.0005,BC_observed_positive,16,0.2104549305176878,4.632138729095459,801,0.2213241156053367,0.11508343479071909,16,0.01086918508764892,
100,64,16,8,adam,0.0005,BC_observed_positive,32,0.20990376323635093,4.6690826416015625,801,0.2213241156053367,0.11508343479071909,16,0.011420352368985781,
100,64,16,8,adam,0.0005,BC_observed_positive,64,0.20925898848660304,4.742837429046631,801,0.2213241156053367,0.11508343479071909,16,0.01206512711873367,
100,64,16,8,adam,0.001,simple_BC,0,0.20918305291891684,0.18290448188781738,532,0.2213241156053367,0.11508343479071909,16,0.012141062686419873,
100,64,16,8,adam,0.001,simple_BC,16,0.19441445860535123,0.30193424224853516,801,0.2213241156053367,0.11508343479071909,16,0.026909656999985487,
100,64,16,8,adam,0.001,simple_BC,32,0.1937522699502509,0.3008875846862793,801,0.2213241156053367,0.11508343479071909,16,0.027571845655085803,
100,64,16,8,adam,0.001,simple_BC,64,0.19007821667603086,0.30173158645629883,801,0.2213241156053367,0.11508343479071909,16,0.03124589892930585,
100,64,16,8,adam,0.001,BC_with_evidence,0,0.15936549046400372,18.835209131240845,801,0.2213241156053367,0.11508343479071909,16,0.06195862514133299,-0.9923104047775269
100,64,16,8,adam,0.001,BC_with_evidence,16,0.2072874669202786,18.88057589530945,801,0.2213241156053367,0.11508343479071909,16,0.014036648685058106,-0.8724857568740845
100,64,16,8,adam,0.001,BC_with_evidence,32,0.20554022738351105,18.853890419006348,801,0.2213241156053367,0.11508343479071909,16,0.015783888221825665,-1.1706855297088623
