,real_epsilon,epsilon0,epsilon_torch,epsilon_scipy,batch_size,mu,rho,steepness,N,T,edge_per_t,epochs,time,distance_torch_real,distance_scipy_real
0,0.9246576254103963,0.7688293590571207,0.7789835966818928,0.8159244405344935,10,0.3692409168107176,10,10,100,100,1,17,0.009876489639282227,0.14567402872850355,0.10873318487590278
1,0.09376458450026892,0.5293424910918136,0.4652609903737129,0.09727987689008855,10,0.2186436554379988,10,10,100,500,1,28,0.024535179138183594,0.37149640587344396,0.0035152923898196242
2,0.3506241044018349,0.7764290702605134,0.7503297349962148,0.3445638980422818,10,0.3039278067217247,10,10,100,1000,1,17,0.02850651741027832,0.3997056305943799,0.006060206359553066
3,0.15390376527390248,0.6686032309210511,0.528057136127319,0.07577551884652158,10,0.554537339182271,10,10,500,100,1,60,0.07909464836120605,0.3741533708534165,0.0781282464273809
4,0.7345517247659072,0.06289759866926126,0.07299598933321981,0.7606481698598808,10,0.805814936931488,10,10,500,500,1,17,0.30852580070495605,0.6615557354326874,0.026096445093973575
5,0.4724741004833578,0.2673050027643058,0.29505299051861633,0.46673627842016857,10,0.3722057451584986,10,10,500,1000,1,17,0.5715718269348145,0.17742110996474147,0.005737822063189235
6,0.10511414021724919,0.28216241522279073,0.2535570448130531,0.11866912686163707,10,0.2552580823058693,10,10,1000,100,1,17,0.25176525115966797,0.1484429045958039,0.013554986644387881
7,0.5084988733750656,0.9700117356069352,0.965513189675805,0.4956241220614602,10,0.24065151396876105,10,10,1000,500,1,17,1.0539734363555908,0.4570143163007394,0.012874751313605381
8,0.40139342154620183,0.5612116624234276,0.5269111966097277,0.4243416073089307,10,0.7244717310050501,10,10,1000,1000,1,17,2.0211472511291504,0.1255177750635259,0.02294818576272889
9,0.9345316279214605,0.9783829565834474,0.9807144037847364,1.0,10,0.32461137046360145,10,10,100,100,5,17,0.005713224411010742,0.046182775863275904,0.0654683720785395
10,0.8477118234051904,0.04898858242581716,0.05683359268035169,0.8482928352331986,10,0.3094276529016189,10,10,100,500,5,17,0.020519018173217773,0.7908782307248386,0.0005810118280082932
11,0.4218074724127667,0.06723025473019917,0.07790585589159178,0.4158798372212547,10,0.9999199281075847,10,10,100,1000,5,17,0.027907371520996094,0.34390161652117496,0.005927635191512015
12,0.013202046712586069,0.7128616294215633,0.416947296524954,0.021255313421447403,10,0.5370074474967464,10,10,500,100,5,131,0.1050722599029541,0.4037452498123679,0.008053266708861334
13,0.11264590645298012,0.1116911126963237,0.1076375872521106,0.11065205385986233,10,0.13222891997693453,10,10,500,500,5,17,0.3100161552429199,0.005008319200869513,0.0019938525931177814
14,0.9995451709097992,0.7483739688422371,0.7693019801959139,1.0,10,0.8026638240472548,10,10,500,1000,5,17,0.5725314617156982,0.23024319071388533,0.0004548290902007812
15,0.8668806708369953,0.5674376615828641,0.6015734032984948,0.9737152198432433,10,0.930255733073086,10,10,1000,100,5,17,0.2529623508453369,0.2653072675385004,0.106834549006248
16,0.07407747003787546,0.25757543560482055,0.23126149225924497,0.06927022746677149,10,0.7357249972314511,10,10,1000,500,5,17,1.056668996810913,0.1571840222213695,0.004807242571103973
17,0.29980115427506904,0.7184886472798955,0.6881986204057468,0.3011831182006162,10,0.4599995393345915,10,10,1000,1000,5,17,2.020228624343872,0.3883974661306777,0.0013819639255471805
18,0.09604082715040518,0.944315123984035,0.9354899249056217,0.09118533844012516,10,0.39133191278006507,10,10,100,100,10,17,0.005745887756347656,0.8394490977552165,0.00485548871028002
19,0.163464665678704,0.6922593840774596,0.6124398434816207,0.1646931413185123,10,0.9859789093068794,10,10,100,500,10,37,0.027508974075317383,0.44897517780291674,0.0012284756398082963
20,0.24664252931159336,0.6276650184651746,0.5917862430805346,0.2516248040114958,10,0.8011492504276874,10,10,100,1000,10,17,0.028491497039794922,0.34514371376894126,0.0049822746999024226
21,0.797132671732648,0.7459585442780506,0.7576376843516598,0.826536770332181,10,0.5833233082383065,10,10,500,100,10,17,0.06866884231567383,0.03949498738098822,0.02940409859953297
22,0.9537175170407552,0.5284520918998418,0.551746423556659,0.9743120412046616,10,0.4630660995819812,10,10,500,500,10,17,0.307875394821167,0.4019710934840962,0.02059452416390639
23,0.4411542559198588,0.6600992694833058,0.6280836889182874,0.44363844018024307,10,0.022238260756907047,10,10,500,1000,10,17,0.5730204582214355,0.18692943299842857,0.00248418426038427
24,0.02301500077384977,0.5693291150234634,0.4429590074542557,0.025299284585623676,10,0.44971930351335676,10,10,1000,100,10,53,0.26375770568847656,0.41994400668040593,0.0022842838117739066
25,0.7298933561595846,0.3466058525768826,0.3809995042313364,0.7342896413880163,10,0.8521791889868744,10,10,1000,500,10,17,1.0515649318695068,0.34889385192824823,0.004396285228431718
26,0.8135038362883307,0.9956975243252584,0.9958698210221667,0.7759107089621052,10,0.29536085626520214,10,10,1000,1000,10,17,2.019190788269043,0.18236598473383603,0.03759312732622544
27,0.18393792666748832,0.33228755598322335,0.2616152106380515,0.19654864586566725,10,0.8590372260309639,100,10,100,100,1,43,0.013475656509399414,0.07767728397056317,0.012610719198178938
28,0.18114062775867112,0.2964740381803932,0.2646187085517023,0.1691518227112857,10,0.07831535501376574,100,10,100,500,1,20,0.021203041076660156,0.08347808079303115,0.01198880504738542
29,0.2776453522070498,0.8477118234051904,0.8315170771112755,0.23959014494501188,10,0.5594486251704118,100,10,100,1000,1,22,0.030536413192749023,0.5538717249042258,0.0380552072620379
30,0.5275548655729081,0.8670225814672532,0.843916006316299,0.3987017114605885,10,0.6526087104325234,100,10,500,100,1,27,0.08435249328613281,0.31636114074339095,0.12885315411231957
31,0.002099272601515101,0.0809318039251844,0.07609788811171155,0.05370646395304873,10,0.61768296467078,100,10,500,500,1,21,0.3090932369232178,0.07399861551019644,0.05160719135153363
32,0.9759878643289707,0.46977792589565703,0.5170998795309857,0.8005549455750638,10,0.28664214806541755,100,10,500,1000,1,27,0.5747280120849609,0.458887984797985,0.17543291875390687
33,0.5523009344091238,0.8824794380837676,0.870641028429244,0.4707700091666098,10,0.5683564339441616,100,10,1000,100,1,22,0.25274062156677246,0.3183400940201202,0.08153092524251393
34,0.8309416569420339,0.9346730614217191,0.9290032951554632,0.7603027701797282,10,0.1323036865712255,100,10,1000,500,1,17,1.0514302253723145,0.09806163821342928,0.07063888676230567
35,0.40139342154620183,0.5612116624234276,0.49649588682395757,0.3781898573669368,10,0.7244717310050501,100,10,1000,1000,1,34,2.027198553085327,0.09510246527775573,0.023203564179265057
36,0.071080171777399,0.5220607297273092,0.2597516665326654,0.10208118554571995,10,0.0684853728203596,100,10,100,100,5,139,0.04317736625671387,0.1886714947552664,0.031001013768320942
37,0.4079570172851591,0.2991561223571868,0.2969798640754731,0.29916074665380643,10,0.7482304794495906,100,10,100,500,5,21,0.0210878849029541,0.11097715320968599,0.10879627063135267
38,0.8747337160821341,0.5834293380706622,0.5921648280591321,1.0,10,0.21841322947352437,100,10,100,1000,5,17,0.02761054039001465,0.28256888802300206,0.12526628391786587
39,0.013202046712586069,0.7128616294215633,0.4138070054365671,0.0776781663079799,10,0.5370074474967464,100,10,500,100,5,131,0.09954595565795898,0.40060495872398105,0.06447611959539383
40,0.11264590645298012,0.1116911126963237,0.11983634349632917,0.12365695624582901,10,0.13222891997693453,100,10,500,500,5,23,0.307847261428833,0.007190437043349054,0.011011049792848893
41,0.7909848264223985,0.3311268116669416,0.3659025697487652,0.6965851468576376,10,0.7544189075349551,100,10,500,1000,5,20,0.570582389831543,0.4250822566736333,0.09439967956476092
42,0.30426930496314886,0.5303010421494063,0.4648531283442897,0.26405513719995316,10,0.5953549244022943,100,10,1000,100,5,35,0.2571723461151123,0.16058382338114086,0.040214167763195696
43,0.11264590645298012,0.1116911126963237,0.10831315185105357,0.13475399136617972,10,0.13222891997693453,100,10,1000,500,5,18,1.051004409790039,0.0043327546019265445,0.0221080849131996
44,0.5428146831561661,0.08408285287378825,0.19588141864250308,0.4225834275778931,10,0.5401379216217139,100,10,1000,1000,5,105,2.048224925994873,0.346933264513663,0.12023125557827302
45,0.551836686397068,0.4840146767131164,0.49423244155570306,0.40110422441697496,10,0.19028358979918547,100,10,100,100,10,19,0.006378889083862305,0.05760424484136489,0.150732461980093
46,0.2501314466584539,0.5849447846309594,0.5516359927165827,0.14378698207371549,10,0.8220188119554702,100,10,100,500,10,21,0.02090311050415039,0.3015045460581288,0.1063444645847384
47,0.5764833096687697,0.90967260087093,0.9066659710895066,0.36718879145777406,10,0.12103976809758721,100,10,100,1000,10,17,0.04449915885925293,0.33018266142073693,0.20929451821099565
48,0.797132671732648,0.7459585442780506,0.7454526849671427,0.7115550378245126,10,0.5833233082383065,100,10,500,100,10,17,0.07061910629272461,0.05167998676550534,0.08557763390813544
49,0.9537175170407552,0.5284520918998418,0.541159144509946,0.801325756914194,10,0.4630660995819812,100,10,500,500,10,17,0.30660080909729004,0.4125583725308093,0.1523917601265612
50,0.4411542559198588,0.6600992694833058,0.6093030062362204,0.3919372915264902,10,0.022238260756907047,100,10,500,1000,10,31,0.5765886306762695,0.16814875031636156,0.04921696439336859
51,0.9433149137951329,0.6231732689532262,0.6634783437316146,0.8485766126600289,10,0.7522856325229903,100,10,1000,100,10,25,0.25414419174194336,0.27983657006351825,0.09473830113510395
52,0.36293516537533244,0.45787260762430537,0.3955971724037888,0.3154182276799926,10,0.6854143174200734,100,10,1000,500,10,44,1.0609300136566162,0.03266200702845634,0.04751693769533982
53,0.9831684146892884,0.6018286082356741,0.6106896957439312,0.8204065123421006,10,0.2922061273006282,100,10,1000,1000,10,17,2.0211689472198486,0.3724787189453572,0.1627619023471878
54,0.18393792666748832,0.33228755598322335,0.3251119771485084,0.2770971215115156,10,0.8590372260309639,1000,10,100,100,1,18,0.00596165657043457,0.1411740504810201,0.0931591948440273
55,0.11607183111321373,0.43371910851205553,0.40680631879951423,0.19200462384134104,10,0.18725161549871727,1000,10,100,500,1,21,0.019359350204467773,0.2907344876863005,0.07593279272812731
56,0.8162729602274451,0.8576087660270112,0.8576087660270112,0.8576087660270112,10,0.5510652050741094,1000,10,100,1000,1,17,0.02784872055053711,0.04133580579956608,0.04133580579956608
