N,T,edge_per_t,evidences_per_t,model,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_plus_estimated,epsilon_minus_estimated,X0_r2,time,last_iteration,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,distance_epsilon_plus,distance_epsilon,distance_minus
100,64,16,8,backfire,adam,200,0.0001,BC_backfire,0,0.2532610684003691,0.7465963713366496,-1.255035638809204,9.71907925605774,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.6038544700956907,0.11863950943144502,0.6038544700956907
100,64,16,8,backfire,adam,200,0.0001,BC_backfire,16,0.24744868917097965,0.7462914212085621,-1.513481616973877,9.589860439300537,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.6035495199676031,0.11282713020205556,0.6035495199676031
100,64,16,8,backfire,adam,200,0.0001,BC_backfire,32,0.24668953639715024,0.7462916205661045,-0.7577143907546997,9.59201169013977,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.6035497193251456,0.11206797742822616,0.6035497193251456
100,64,16,8,backfire,adam,200,0.0005,BC_backfire,0,0.26402627443761817,0.7322423374710098,-1.072472095489502,9.557095050811768,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5895004362300509,0.1294047154686941,0.5895004362300509
100,64,16,8,backfire,adam,200,0.0005,BC_backfire,16,0.23648344124247136,0.7309441371606783,-0.9884616136550903,9.58555555343628,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5882022359197194,0.10186188227354728,0.5882022359197194
100,64,16,8,backfire,adam,200,0.0005,BC_backfire,32,0.24500566876246585,0.7310018777332611,-0.6420787572860718,9.579329490661621,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5882599764923022,0.11038410979354177,0.5882599764923022
100,64,16,8,backfire,adam,200,0.001,BC_backfire,0,0.26367335484326504,0.710587433742682,-0.8334825038909912,9.574103355407715,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5678455325017231,0.12905179587434096,0.5678455325017231
100,64,16,8,backfire,adam,200,0.001,BC_backfire,16,0.2425006711219625,0.712708731513509,-0.9127228260040283,9.591749668121338,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.56996683027255,0.10787911215303841,0.56996683027255
100,64,16,8,backfire,adam,200,0.001,BC_backfire,32,0.23911628199319956,0.7163524323037508,-1.164132833480835,9.588189363479614,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5736105310627919,0.10449472302427548,0.5736105310627919
100,64,16,8,backfire,adam,200,0.005,BC_backfire,0,0.2804362910324487,0.5384500313433295,-0.8413819074630737,9.582621097564697,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.39570813010237055,0.14581473206352463,0.39570813010237055
100,64,16,8,backfire,adam,200,0.005,BC_backfire,16,0.25782249941323776,0.6626072227343945,-0.17765283584594727,9.704471111297607,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5198653214934357,0.12320094044431368,0.5198653214934357
100,64,16,8,backfire,adam,200,0.005,BC_backfire,32,0.21999419550205845,0.5522214781096647,-0.4312959909439087,9.582281351089478,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.4094795768687058,0.08537263653313437,0.4094795768687058
100,64,16,8,backfire,adam,200,0.01,BC_backfire,0,0.3599150734975679,0.360471651537145,-0.770179271697998,9.544822216033936,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.21772975029618608,0.22529351452864382,0.21772975029618608
100,64,16,8,backfire,adam,200,0.01,BC_backfire,16,0.3081059331443712,0.5360001423908095,0.002007722854614258,9.583402633666992,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.3932582411498506,0.1734843741754471,0.3932582411498506
100,64,16,8,backfire,adam,200,0.01,BC_backfire,32,0.24055070368705755,0.369437272763081,-0.5168732404708862,9.574546813964844,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.2266953715221221,0.10592914471813347,0.2266953715221221
100,64,16,8,backfire,adam,200,0.05,BC_backfire,0,0.4093296261147794,0.21183421140686226,0.062238335609436035,9.582190990447998,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.06909231016590334,0.27470806714585533,0.06909231016590334
100,64,16,8,backfire,adam,200,0.05,BC_backfire,16,0.10344210661972666,0.16777015006630533,-0.12128818035125732,9.58649468421936,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.025028248825346405,0.031179452349197417,0.025028248825346405
100,64,16,8,backfire,adam,200,0.05,BC_backfire,32,0.1528345779660382,0.21714222207130704,-0.0814594030380249,9.560960531234741,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.07440032083034812,0.01821301899711411,0.07440032083034812
100,64,16,8,backfire,adam,200,0.1,BC_backfire,0,0.3719912156676554,0.2237044565567911,0.24303680658340454,9.544899463653564,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.08096255531583219,0.23736965669873133,0.08096255531583219
100,64,16,8,backfire,adam,200,0.1,BC_backfire,16,0.08326517312462225,0.12152785856147254,0.20611310005187988,9.607295036315918,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.021214042679486386,0.05135638584430183,0.021214042679486386
100,64,16,8,backfire,adam,200,0.1,BC_backfire,32,0.09799839613150944,0.17143498737725935,0.1424567699432373,9.578393459320068,201,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.028693086136300422,0.03662316283741464,0.028693086136300422
100,64,16,8,backfire,adam,400,0.0001,BC_backfire,0,0.25549052418965607,0.7424610721317091,-0.7161295413970947,19.23067617416382,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5997191708907501,0.12086896522073198,0.5997191708907501
100,64,16,8,backfire,adam,400,0.0001,BC_backfire,16,0.2442647997959113,0.7434618070761961,-0.9307644367218018,19.146748304367065,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.6007199058352373,0.10964324082698723,0.6007199058352373
100,64,16,8,backfire,adam,400,0.0001,BC_backfire,32,0.24473936468323293,0.742600846638776,-0.7052885293960571,19.164754629135132,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5998589453978171,0.11011780571430885,0.5998589453978171
100,64,16,8,backfire,adam,400,0.0005,BC_backfire,0,0.2637920457626135,0.7109408478613095,-0.7351610660552979,19.16765284538269,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5681989466203505,0.12917048679368942,0.5681989466203505
100,64,16,8,backfire,adam,400,0.0005,BC_backfire,16,0.2369592101772054,0.7110177074950972,-0.10200190544128418,19.136996030807495,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5682758062541382,0.10233765120828131,0.5682758062541382
100,64,16,8,backfire,adam,400,0.0005,BC_backfire,32,0.22980131075274132,0.7186896529320972,-0.694487452507019,19.257589101791382,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5759477516911382,0.09517975178381724,0.5759477516911382
100,64,16,8,backfire,adam,400,0.001,BC_backfire,0,0.27523745682576223,0.6835636886966454,-1.0558366775512695,19.168537616729736,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5408217874556864,0.14061589785683815,0.5408217874556864
100,64,16,8,backfire,adam,400,0.001,BC_backfire,16,0.23456009435091818,0.6713924609430251,-0.6323882341384888,19.138648748397827,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5286505597020661,0.0999385353819941,0.5286505597020661
100,64,16,8,backfire,adam,400,0.001,BC_backfire,32,0.22463380754483586,0.6711534195689393,-0.7565346956253052,19.189013957977295,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5284115183279803,0.09001224857591178,0.5284115183279803
100,64,16,8,backfire,adam,400,0.005,BC_backfire,0,0.34251725184921045,0.4321436538945367,-0.07169580459594727,19.135276317596436,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.28940175265357776,0.20789569288028636,0.28940175265357776
100,64,16,8,backfire,adam,400,0.005,BC_backfire,16,0.27020089139257175,0.4141714023695866,-0.4482349157333374,19.335731506347656,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.2714295011286277,0.13557933242364767,0.2714295011286277
100,64,16,8,backfire,adam,400,0.005,BC_backfire,32,0.2455672102810748,0.3945209323181527,-0.08819913864135742,19.223533153533936,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.2517790310771938,0.11094565131215073,0.2517790310771938
100,64,16,8,backfire,adam,400,0.01,BC_backfire,0,0.279124612100743,0.2862994417296175,0.3132263422012329,19.11797523498535,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.1435575404886586,0.14450305313181894,0.1435575404886586
100,64,16,8,backfire,adam,400,0.01,BC_backfire,16,0.2558562957785563,0.32436786714053906,-0.5400619506835938,19.25859785079956,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.18162596589958013,0.1212347368096322,0.18162596589958013
100,64,16,8,backfire,adam,400,0.01,BC_backfire,32,0.16032566544380408,0.26353243085791395,-0.26177406311035156,19.153716802597046,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.12079052961695502,0.02570410647488,0.12079052961695502
