ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,1,16,0.43087194268831164,0.27342951092503054,16,0.36250000000000004,4.924453973770142,0.0683719426883116
1,400,1,32,0.18618399502596344,0.45605829217498145,16,0.132,7.770758628845215,0.05418399502596344
1,400,1,64,0.14034295686859544,0.45399380544804935,16,0.055,13.824545621871948,0.08534295686859544
1,400,1,128,0.026035529757929055,0.3205473526268904,16,0.034,25.644754886627197,0.007964470242070948
1,400,1,256,0.4423904321878352,0.12108964461907984,16,0.34340000000000004,48.266119718551636,0.09899043218783515
1,400,4,16,0.18636917312640922,0.40846746321698807,16,0.3503,5.4110307693481445,0.16393082687359078
1,400,4,32,0.18909714251197074,0.23567361881184523,16,0.26380000000000003,8.783025741577148,0.0747028574880293
1,400,4,64,0.40220631270326174,0.20309786691630877,16,0.31930000000000003,15.612808227539062,0.08290631270326171
1,400,4,128,0.2381929014631965,0.28983976192149924,16,0.19740000000000002,30.06233525276184,0.040792901463196474
1,400,4,256,0.4659619781877588,0.09541441675203377,16,0.4098,60.58442521095276,0.05616197818775881
1,400,16,16,0.27109953065877396,0.3099269552705429,16,0.0176,5.526699781417847,0.25349953065877395
1,400,16,32,0.445528931481044,0.43579654935656864,16,0.46180000000000004,8.996498823165894,0.016271068518956044
1,400,16,64,0.384386562349234,0.1722597426904297,16,0.38830000000000003,16.719810247421265,0.003913437650766016
1,400,16,128,0.09687597087897593,0.04852651641492428,16,0.16290000000000002,33.75688099861145,0.06602402912102409
1,400,16,256,0.11876286041193396,0.07898573514074059,16,0.07200000000000001,72.83337187767029,0.04676286041193395
1,400,64,16,0.1618278151145519,0.12625226123628636,16,0.0985,5.312992095947266,0.0633278151145519
1,400,64,32,0.4392106403319349,0.16010700374570624,16,0.48050000000000004,9.769434690475464,0.04128935966806513
1,400,64,64,0.27244950519590705,0.21302663814040262,16,0.2721,20.31582021713257,0.00034950519590704054
1,400,64,128,0.40669791432941443,0.2584118357596544,16,0.4072,47.92468523979187,0.0005020856705855725
1,400,64,256,0.42978116671211575,0.3365833721898796,16,0.4353,757.8436098098755,0.005518833287884273
1,400,1,16,0.43304519124662155,0.17806002263156862,16,0.31520000000000004,4.874955177307129,0.11784519124662152
1,400,1,32,0.1961384784066833,0.03237544218478983,16,0.1948,7.827178716659546,0.0013384784066833022
1,400,1,64,0.23644540993928875,0.34330087487281635,16,0.171,13.538090705871582,0.06544540993928874
1,400,1,128,0.3263057153671074,0.21233968749320037,16,0.2848,24.96008014678955,0.0415057153671074
1,400,1,256,0.14691978270807127,0.027735221536010435,16,0.0819,48.99251198768616,0.06501978270807127
1,400,4,16,0.19596553149383095,0.0053826889480512174,16,0.077,5.375221490859985,0.11896553149383095
1,400,4,32,0.2674976005800223,0.24700547501769854,16,0.2096,8.82436490058899,0.0578976005800223
1,400,4,64,0.4687827542962311,0.11510485921157881,16,0.4736,15.722459554672241,0.004817245703768902
1,400,4,128,0.2764779468676979,0.39910502907497175,16,0.1504,30.465007543563843,0.12607794686769788
1,400,4,256,0.1186119916040072,0.021478307458134893,16,0.0648,60.61919808387756,0.05381199160400721
1,400,16,16,0.263462243339046,0.3301290443796695,16,0.13820000000000002,5.452375411987305,0.12526224333904598
1,400,16,32,0.1084360629064634,0.22818389927321264,16,0.1361,9.151875734329224,0.027663937093536595
1,400,16,64,0.2557714747923635,0.011912994068476068,16,0.2296,16.830533742904663,0.02617147479236351
1,400,16,128,0.311275454126756,0.027282373062513354,16,0.3583,34.075342893600464,0.047024545873244006
1,400,16,256,0.4697231182171371,0.0016996551574527397,16,0.3028,73.38576054573059,0.16692311821713707
1,400,64,16,0.4514593242988609,0.20751312721174253,16,0.4824,5.515329837799072,0.03094067570113912
1,400,64,32,0.3478356704128918,0.06001420175370814,16,0.3594,10.047062397003174,0.01156432958710818
1,400,64,64,0.3960864132097326,0.47843619573701557,16,0.3907,20.177308320999146,0.005386413209732599
1,400,64,128,0.4875457238474527,0.33791775509173716,16,0.47900000000000004,47.5219931602478,0.008545723847452669
1,400,64,256,0.14370153680925157,0.12151299163377921,16,0.06280000000000001,791.3571727275848,0.08090153680925156
1,400,1,16,0.04527859139542684,0.0721269511574274,16,0.007200000000000001,5.002358913421631,0.03807859139542684
1,400,1,32,0.18460310822961185,0.39845374336101586,16,0.1155,7.964524507522583,0.06910310822961184
1,400,1,64,0.1461460120564036,0.2578638790804048,16,0.0358,13.5639808177948,0.1103460120564036
1,400,1,128,0.23898749214832793,0.207808934855851,16,0.1965,25.355298280715942,0.04248749214832792
1,400,1,256,0.2531782773176521,0.21230813869070925,16,0.1842,48.58150243759155,0.06897827731765208
1,400,4,16,0.23826441444485397,0.018481226868778067,16,0.4691,5.319541931152344,0.23083558555514605
1,400,4,32,0.3300547606739295,0.39199453725438943,16,0.389,8.55384373664856,0.05894523932607049
1,400,4,64,0.1406995017346674,0.38658008660426674,16,0.1529,15.734065055847168,0.012200498265332621
1,400,4,128,0.38307887150408604,0.19941558572799833,16,0.277,29.948847770690918,0.10607887150408601
1,400,4,256,0.3466239558139793,0.4345773572692206,16,0.3587,60.769593238830566,0.012076044186020707
1,400,16,16,0.15558275631293217,0.4863242929690931,16,0.202,5.500880718231201,0.046417243687067844
1,400,16,32,0.24025972083146535,0.12696614958338026,16,0.271,8.95932412147522,0.030740279168534668
1,400,16,64,0.4619461176800869,0.12740478717972797,16,0.48700000000000004,16.817573308944702,0.025053882319913123
