N,T,edge_per_t,evidences_per_t,model,optimizer_name,num_epochs,lr,model_name,minibatch_size,X0_lr_scale,epsilon_plus_estimated,epsilon_minus_estimated,X0_r2,time,last_iteration,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,distance_epsilon_plus,distance_epsilon_minus
100,64,16,8,backfire,adam,200,0.005,BC_backfire,0,10,0.31989718783971327,0.5619644282841526,0.25973695516586304,17.50508141517639,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.20080547159056467,0.2545767386468001
100,64,16,8,backfire,adam,200,0.005,BC_backfire,0,20,0.30942643094185307,0.5361672133126293,-1.1792528629302979,21.047351360321045,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.19033471469270447,0.22877952367527676
100,64,16,8,backfire,adam,200,0.005,BC_backfire,0,40,0.28037880592526965,0.5625467964531887,0.3721114993095398,20.65036153793335,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.16128708967612104,0.2551591068158362
100,64,16,8,backfire,adam,200,0.01,BC_backfire,0,10,0.30472407151258474,0.5713368014723907,0.07941299676895142,13.253862380981445,124,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.18563235526343613,0.2639491118350382
100,64,16,8,backfire,adam,200,0.01,BC_backfire,0,20,0.35478440797100763,0.36378512945596786,-0.8410989046096802,21.40740656852722,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.23569269172185903,0.056397439818615336
100,64,16,8,backfire,adam,200,0.01,BC_backfire,0,40,0.3519046586130984,0.3616651142896848,-0.9002641439437866,20.26718544960022,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.23281294236394978,0.05427742465233226
100,64,16,8,backfire,adam,200,0.05,BC_backfire,0,10,0.31498723970794684,0.24250568099117578,-1.4308781623840332,17.408995151519775,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.19589552345879824,0.06488200864617674
100,64,16,8,backfire,adam,200,0.05,BC_backfire,0,20,0.11140359828648362,0.36382050142895495,0.670634388923645,21.39593005180359,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.007688117962664984,0.05643281179160242
100,64,16,8,backfire,adam,200,0.05,BC_backfire,0,40,0.35883927033936874,0.41126567442594114,0.24808341264724731,21.445727825164795,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.23974755409022014,0.10387798478858862
100,64,16,8,backfire,adam,200,0.1,BC_backfire,0,10,0.3275674187170313,0.09131221439769507,-0.7742292881011963,21.5329852104187,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.20847570246788272,0.21607547523965745
100,64,16,8,backfire,adam,200,0.1,BC_backfire,0,20,0.36762079128678504,0.08385970564554457,-0.5601980686187744,21.053208589553833,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.24852907503763644,0.22352798399180795
100,64,16,8,backfire,adam,200,0.1,BC_backfire,0,40,0.33684809705728513,0.07731693585478501,-0.32707667350769043,17.8537654876709,201,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.21775638080813653,0.23007075378256753
100,64,16,8,backfire,adam,400,0.005,BC_backfire,0,10,0.3133798667680584,0.44013248391793885,0.20672637224197388,39.37005686759949,401,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.1942881505189098,0.13274479428058633
100,64,16,8,backfire,adam,400,0.005,BC_backfire,0,20,0.20934308894286072,0.42649013547800485,0.5893197655677795,41.53638958930969,401,0.1190917162491486,0.3073876896373525,0.1230678462230842,0.46917874083759664,16,0.09025137269371211,0.11910244584065233
