,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.3317,0.0016999999999999793,1.0,5,42.736013889312744,0.33,0.6799999999999999,200,400,32,1,400
1,0.2441,0.15410000000000001,1.0,40,7.0608203411102295,0.09,0.04,50,400,16,1,200
2,0.46640000000000004,0.056400000000000006,0.1,20,11.040511131286621,0.41000000000000003,0.6,200,400,16,1,100
3,0.24730000000000002,0.0373,1.0,40,3.829483985900879,0.21000000000000002,0.8399999999999999,50,50,2,1,100
4,0.3275,0.1225,0.1,40,3.3970837593078613,0.45,0.27999999999999997,50,400,2,1,100
5,0.0031000000000000003,0.0069,0.1,10,164.39053297042847,0.01,0.4399999999999999,400,200,8,1,800
6,0.15990000000000001,0.010099999999999998,10.0,40,41.92231225967407,0.17,0.8399999999999999,100,100,1,1,800
7,0.38,0.04999999999999999,0.1,40,17.868075132369995,0.33,0.27999999999999997,400,200,1,1,100
8,0.0889,0.0811,0.1,20,3.091611623764038,0.17,0.9199999999999999,50,400,2,1,100
9,0.2333,0.023299999999999987,10.0,5,10.897951126098633,0.21000000000000002,0.5199999999999999,200,100,1,1,100
10,0.0449,0.0051,1.0,20,12.795129776000977,0.05,0.35999999999999993,50,50,8,1,400
11,0.0004,0.009600000000000001,0.1,10,18.673651933670044,0.01,0.7599999999999999,200,100,32,1,200
12,0.20470000000000002,0.08530000000000001,0.1,10,5.169995307922363,0.29000000000000004,0.5199999999999999,100,50,8,1,100
13,0.0941,0.11590000000000002,10.0,5,10.587941646575928,0.21000000000000002,0.9199999999999999,100,100,32,1,200
14,0.3351,0.04509999999999997,0.1,40,21.28874373435974,0.29000000000000004,0.12,400,100,4,1,100
15,0.2112,0.0011999999999999789,1.0,20,11.173879146575928,0.21000000000000002,0.6,100,200,1,1,200
16,0.0906,0.0006000000000000033,10.0,10,20.83871579170227,0.09,0.9199999999999999,100,50,1,1,400
17,0.24050000000000002,0.00949999999999998,0.1,5,71.22302341461182,0.25,0.6799999999999999,400,200,32,1,400
18,0.1731,0.036900000000000016,1.0,10,17.818066358566284,0.21000000000000002,0.27999999999999997,400,50,2,1,100
19,0.2331,0.056900000000000034,1.0,10,43.4679000377655,0.29000000000000004,0.9199999999999999,100,50,32,1,800
20,0.046,0.084,1.0,20,10.8802170753479,0.13,0.6799999999999999,100,100,4,1,200
21,0.0269,0.0169,10.0,10,148.65018367767334,0.01,0.19999999999999998,400,200,4,1,800
22,0.36360000000000003,0.006399999999999961,10.0,10,85.05177521705627,0.37,0.27999999999999997,200,50,2,1,800
23,0.4048,0.11479999999999996,1.0,5,3.6027798652648926,0.29000000000000004,0.19999999999999998,50,50,8,1,100
24,0.2132,0.04319999999999999,0.1,40,7.3016791343688965,0.17,0.27999999999999997,50,200,2,1,200
25,0.1762,0.033800000000000024,1.0,20,10.350239753723145,0.21000000000000002,0.6,200,100,1,1,100
26,0.4919,0.08189999999999997,10.0,10,6.799749135971069,0.41000000000000003,0.8399999999999999,50,50,8,1,200
27,0.1786,0.03140000000000001,1.0,40,40.67359471321106,0.21000000000000002,0.6,400,100,4,1,200
28,0.382,0.028000000000000025,0.1,40,20.43036460876465,0.41000000000000003,0.04,400,200,16,1,100
29,0.4657,0.015699999999999992,0.1,10,77.82211589813232,0.45,0.8399999999999999,200,400,2,1,800
30,0.2619,0.0681,0.1,10,11.547117233276367,0.33,0.9199999999999999,200,200,4,1,100
31,0.3064,0.01639999999999997,10.0,40,20.887373447418213,0.29000000000000004,0.6799999999999999,400,100,8,1,100
32,0.0663,0.14370000000000002,10.0,40,32.06148862838745,0.21000000000000002,0.4399999999999999,50,400,4,1,800
33,0.0318,0.0218,1.0,20,89.49192833900452,0.01,0.6799999999999999,200,200,4,1,800
34,0.43820000000000003,0.06820000000000004,0.1,20,23.688451290130615,0.37,0.35999999999999993,200,400,2,1,200
35,0.0292,0.020800000000000003,10.0,20,3.5772297382354736,0.05,0.6799999999999999,50,50,8,1,100
36,0.4505,0.04049999999999998,10.0,10,12.534878253936768,0.41000000000000003,0.8399999999999999,100,400,1,1,200
37,0.1774,0.00739999999999999,0.1,40,40.835368156433105,0.17,0.9199999999999999,400,400,16,1,200
38,0.3267,0.043300000000000005,1.0,5,6.17044734954834,0.37,0.5199999999999999,100,200,1,1,100
39,0.1428,0.012800000000000006,10.0,5,21.228110313415527,0.13,0.35999999999999993,400,100,4,1,100
40,0.46990000000000004,0.05990000000000001,10.0,40,172.50919580459595,0.41000000000000003,0.19999999999999998,400,50,8,1,800
41,0.4309,0.019100000000000006,1.0,10,173.30486488342285,0.45,0.9199999999999999,400,100,1,1,800
42,0.4627,0.012699999999999989,10.0,20,171.82839441299438,0.45,0.5199999999999999,400,200,8,1,800
43,0.3436,0.05359999999999998,0.1,40,11.018813133239746,0.29000000000000004,0.04,200,400,1,1,100
44,0.40340000000000004,0.07340000000000002,10.0,10,11.000511407852173,0.33,0.4399999999999999,200,100,2,1,100
45,0.20720000000000002,0.03720000000000001,0.1,40,23.23522973060608,0.17,0.27999999999999997,200,50,32,1,200
46,0.1236,0.006400000000000003,1.0,5,7.94482421875,0.13,0.6799999999999999,50,50,16,1,200
47,0.4384,0.0116,0.1,10,43.76446771621704,0.45,0.5199999999999999,200,100,8,1,400
48,0.3028,0.10720000000000002,10.0,10,7.410015106201172,0.41000000000000003,0.35999999999999993,50,50,2,1,200
49,0.2912,0.041200000000000014,10.0,5,44.98689913749695,0.25,0.9199999999999999,400,200,16,1,200
