,epsilon,mu,distance_epsilon,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches,sampler,msm_loss
0,0.0223,0.89,0.2277,0.050000000000000155,0.9056167602539062,0.25,0.8399999999999999,50,100,32,1,25,halton,all_moments
1,0.09190000000000001,1.0,0.1581,0.16000000000000014,1.2791576385498047,0.25,0.8399999999999999,50,100,32,1,25,halton,4_moments
2,0.021,0.86,0.229,0.02000000000000013,1.0728797912597656,0.25,0.8399999999999999,50,100,32,1,25,halton,9_moments
3,0.1323,0.98,0.1177,0.14000000000000012,0.8077075481414795,0.25,0.8399999999999999,50,100,32,1,25,random,all_moments
4,0.24050000000000002,0.98,0.00949999999999998,0.14000000000000012,0.6263840198516846,0.25,0.8399999999999999,50,100,32,1,25,random,4_moments
5,0.0695,0.0,0.1805,0.8399999999999999,0.4262728691101074,0.25,0.8399999999999999,50,100,32,1,25,random,9_moments
6,0.11080000000000001,0.04,0.1392,0.7999999999999998,0.7922501564025879,0.25,0.8399999999999999,50,50,8,1,50,halton,all_moments
7,0.3241,0.9400000000000001,0.0741,0.1000000000000002,1.4696459770202637,0.25,0.8399999999999999,50,50,8,1,50,halton,4_moments
8,0.11520000000000001,0.99,0.13479999999999998,0.15000000000000013,1.4756855964660645,0.25,0.8399999999999999,50,50,8,1,50,halton,9_moments
9,0.3415,0.97,0.09150000000000003,0.13000000000000012,1.8928139209747314,0.25,0.8399999999999999,50,50,8,1,50,random,all_moments
10,0.3317,0.99,0.0817,0.15000000000000013,1.2619328498840332,0.25,0.8399999999999999,50,50,8,1,50,random,4_moments
11,0.3224,0.96,0.07240000000000002,0.1200000000000001,1.5013210773468018,0.25,0.8399999999999999,50,50,8,1,50,random,9_moments
12,0.12610000000000002,0.42,0.03610000000000002,0.14,1.4453070163726807,0.09,0.27999999999999997,50,200,1,2,25,halton,all_moments
13,0.1087,0.19,0.01870000000000001,0.08999999999999997,1.2922780513763428,0.09,0.27999999999999997,50,200,1,2,25,halton,4_moments
14,0.10550000000000001,0.25,0.015500000000000014,0.02999999999999997,1.2348434925079346,0.09,0.27999999999999997,50,200,1,2,25,halton,9_moments
15,0.095,0.4,0.0050000000000000044,0.12000000000000005,1.329056739807129,0.09,0.27999999999999997,50,200,1,2,25,random,all_moments
16,0.0966,0.4,0.006600000000000009,0.12000000000000005,1.867171287536621,0.09,0.27999999999999997,50,200,1,2,25,random,4_moments
17,0.08420000000000001,0.16,0.005799999999999986,0.11999999999999997,1.5038766860961914,0.09,0.27999999999999997,50,200,1,2,25,random,9_moments
18,0.019,0.18,0.15100000000000002,0.49999999999999994,1.7348427772521973,0.17,0.6799999999999999,50,50,8,1,50,halton,all_moments
19,0.1114,0.06,0.05860000000000001,0.6199999999999999,1.6555016040802002,0.17,0.6799999999999999,50,50,8,1,50,halton,4_moments
20,0.0567,0.04,0.11330000000000001,0.6399999999999999,1.4484870433807373,0.17,0.6799999999999999,50,50,8,1,50,halton,9_moments
21,0.137,0.04,0.033,0.6399999999999999,1.592602014541626,0.17,0.6799999999999999,50,50,8,1,50,random,all_moments
22,0.0206,0.14,0.1494,0.5399999999999999,1.100327730178833,0.17,0.6799999999999999,50,50,8,1,50,random,4_moments
23,0.038700000000000005,0.98,0.1313,0.30000000000000004,1.3728718757629395,0.17,0.6799999999999999,50,50,8,1,50,random,9_moments
24,0.2938,0.13,0.00379999999999997,0.3099999999999999,32.226561069488525,0.29000000000000004,0.4399999999999999,50,400,1,8,200,halton,all_moments
25,0.2931,0.17,0.0030999999999999917,0.2699999999999999,38.24176526069641,0.29000000000000004,0.4399999999999999,50,400,1,8,200,halton,4_moments
26,0.281,0.41000000000000003,0.009000000000000008,0.02999999999999986,39.6499297618866,0.29000000000000004,0.4399999999999999,50,400,1,8,200,halton,9_moments
27,0.2891,0.35000000000000003,0.0009000000000000119,0.08999999999999986,39.712366580963135,0.29000000000000004,0.4399999999999999,50,400,1,8,200,random,all_moments
28,0.28290000000000004,0.37,0.007099999999999995,0.0699999999999999,33.54670810699463,0.29000000000000004,0.4399999999999999,50,400,1,8,200,random,4_moments
29,0.31620000000000004,0.06,0.0262,0.3799999999999999,32.93759775161743,0.29000000000000004,0.4399999999999999,50,400,1,8,200,random,9_moments
30,0.2544,0.03,0.004400000000000015,0.8099999999999998,5.049862861633301,0.25,0.8399999999999999,50,100,32,2,100,halton,all_moments
31,0.30210000000000004,0.0,0.052100000000000035,0.8399999999999999,5.834519147872925,0.25,0.8399999999999999,50,100,32,2,100,halton,4_moments
32,0.3047,0.01,0.054700000000000026,0.8299999999999998,5.891331434249878,0.25,0.8399999999999999,50,100,32,2,100,halton,9_moments
33,0.4582,0.98,0.2082,0.14000000000000012,5.112540006637573,0.25,0.8399999999999999,50,100,32,2,100,random,all_moments
34,0.0659,0.05,0.18409999999999999,0.7899999999999998,4.135989427566528,0.25,0.8399999999999999,50,100,32,2,100,random,4_moments
35,0.1746,0.01,0.0754,0.8299999999999998,4.2188966274261475,0.25,0.8399999999999999,50,100,32,2,100,random,9_moments
36,0.0678,0.92,0.10220000000000001,0.6400000000000001,5.784685850143433,0.17,0.27999999999999997,50,400,16,1,200,halton,all_moments
37,0.22160000000000002,0.04,0.05160000000000001,0.23999999999999996,6.517823219299316,0.17,0.27999999999999997,50,400,16,1,200,halton,4_moments
38,0.27030000000000004,0.9,0.10030000000000003,0.6200000000000001,5.169466972351074,0.17,0.27999999999999997,50,400,16,1,200,halton,9_moments
39,0.0236,0.58,0.1464,0.3,6.288852691650391,0.17,0.27999999999999997,50,400,16,1,200,random,all_moments
40,0.07,0.96,0.1,0.6799999999999999,7.393367290496826,0.17,0.27999999999999997,50,400,16,1,200,random,4_moments
41,0.2368,0.05,0.0668,0.22999999999999998,5.933840990066528,0.17,0.27999999999999997,50,400,16,1,200,random,9_moments
42,0.1363,0.39,0.0063,0.1299999999999999,9.454905033111572,0.13,0.5199999999999999,50,50,4,8,50,halton,all_moments
43,0.1419,0.66,0.011899999999999994,0.14000000000000012,7.603940963745117,0.13,0.5199999999999999,50,50,4,8,50,halton,4_moments
44,0.1062,0.04,0.0238,0.4799999999999999,9.1614830493927,0.13,0.5199999999999999,50,50,4,8,50,halton,9_moments
45,0.18910000000000002,0.27,0.059100000000000014,0.2499999999999999,12.221546173095703,0.13,0.5199999999999999,50,50,4,8,50,random,all_moments
46,0.2,0.11,0.07,0.4099999999999999,6.989731311798096,0.13,0.5199999999999999,50,50,4,8,50,random,4_moments
47,0.079,0.06,0.051000000000000004,0.4599999999999999,8.583541870117188,0.13,0.5199999999999999,50,50,4,8,50,random,9_moments
48,0.0823,0.84,0.047700000000000006,0.4000000000000001,5.040085077285767,0.13,0.4399999999999999,50,50,2,2,100,halton,all_moments
49,0.1022,0.9,0.027800000000000005,0.46000000000000013,4.625040292739868,0.13,0.4399999999999999,50,50,2,2,100,halton,4_moments
50,0.1125,0.96,0.0175,0.52,5.1107401847839355,0.13,0.4399999999999999,50,50,2,2,100,halton,9_moments
51,0.1153,0.86,0.014700000000000005,0.4200000000000001,5.698270559310913,0.13,0.4399999999999999,50,50,2,2,100,random,all_moments
52,0.0981,0.74,0.0319,0.3000000000000001,3.921247959136963,0.13,0.4399999999999999,50,50,2,2,100,random,4_moments
53,0.06470000000000001,0.18,0.0653,0.2599999999999999,4.690032005310059,0.13,0.4399999999999999,50,50,2,2,100,random,9_moments
