ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,num_epochs
1,400,1,16,0.2524596210536722,0.1,16,0.25177,4.913862943649292,0.0006896210536722069,0.0027316093195180525,0.18052588769397904,0.1733088493347168,0.07193373335969316,0.28493163801588794,88.0
1,400,1,32,0.04583205504436988,0.1,16,0.11755000000000002,8.140394449234009,0.07171794495563014,1.5647988048146697,0.10987737007124798,0.3179757595062256,0.0640453150268781,1.397391301020127,90.0
1,400,1,64,0.14373149502813737,0.1,16,0.00659,14.684759855270386,0.13714149502813736,0.9541506195374234,0.08533832560168199,0.4509899616241455,0.05839316942645538,0.4062656512062588,69.0
1,400,1,128,0.10555917946924226,0.1,16,0.07085000000000001,27.240607738494873,0.03470917946924225,0.3288125167679593,0.07407107110828147,1.1525554656982422,0.03148810836096079,0.29829815388187786,79.0
1,400,1,256,0.06990744256123771,0.1,16,0.13599,52.56352758407593,0.06608255743876229,0.9452864390064779,0.07266392736094819,2.234733819961548,0.002756484799710482,0.03943049121409139,80.0
1,400,1,512,0.3840520912840939,0.1,16,0.37850000000000006,102.61865234375,0.005552091284093841,0.01445660994978623,0.3843854528169541,5.518876791000366,0.0003333615328601769,0.0008680112422915573,93.0
1,400,4,16,0.11232665114253476,0.1,16,0.11823000000000002,5.04089617729187,0.005903348857465254,0.05255519324594047,0.12641046350236845,0.16659045219421387,0.014083812359833692,0.1253826426460654,82.0
1,400,4,32,0.08397718739627025,0.1,16,0.14468,8.130142450332642,0.060702812603729756,0.7228488412845535,0.08292167419555703,0.24154233932495117,0.0010555132007132179,0.01256904682616338,71.0
1,400,4,64,0.28865825041223925,0.1,16,0.36250000000000004,14.6104257106781,0.0738417495877608,0.25581028597764227,0.30392072135112413,0.6054723262786865,0.015262470938884887,0.05287384274341098,89.0
1,400,4,128,0.08696309021316478,0.1,16,0.07561000000000001,27.59483766555786,0.011353090213164774,0.13055067598605302,0.07318075851492413,1.0044620037078857,0.013782331698240655,0.15848484298864343,79.0
1,400,4,256,0.24606894913326882,0.1,16,0.22469000000000003,52.705679416656494,0.021378949133268793,0.08688194592845658,0.23619826255777848,1.9168877601623535,0.00987068657549034,0.04011349912395676,81.0
1,400,4,512,0.07791988572928937,0.1,16,0.052320000000000005,102.88618803024292,0.025599885729289368,0.32854110975250833,0.08161872182207716,4.492442607879639,0.0036988360927877884,0.047469731996763305,72.0
1,400,16,16,0.2876435660804938,0.1,16,0.38999000000000006,5.055185556411743,0.10234643391950626,0.3558099189010394,0.2917251870125266,0.14705419540405273,0.004081620932032792,0.014189856521562513,73.0
1,400,16,32,0.258712624801616,0.1,16,0.40932,8.46706509590149,0.15060737519838402,0.5821415762523054,0.26479173333482625,0.4610438346862793,0.0060791085332102535,0.023497533364951896,124.0
1,400,16,64,0.49790656212801293,0.1,16,0.33014000000000004,14.686125993728638,0.16776656212801289,0.3369438663571574,0.46460005822728095,1.3778505325317383,0.033306503900731976,0.06689308081898467,201.0
1,400,16,128,0.26595558914613054,0.1,16,0.25320000000000004,27.796252965927124,0.012755589146130508,0.04796135019039547,0.2539523489827304,1.1780054569244385,0.012003240163400153,0.0451324982563345,96.0
1,400,16,256,0.24470990351938932,0.1,16,0.25858000000000003,53.7341411113739,0.013870096480610716,0.05667975133467263,0.24043622387841515,1.3633685111999512,0.004273679640974165,0.01746426924088728,56.0
1,400,16,512,0.3272818278601211,0.1,16,0.31309000000000003,103.42185044288635,0.014191827860121076,0.04336271265933715,0.31145049398521124,5.401638507843018,0.01583133387490987,0.048372175071315346,89.0
1,400,64,16,0.1424003026548567,0.1,16,0.14114000000000002,5.0426623821258545,0.0012603026548566876,0.008850421181416665,0.1435480121361342,0.16960883140563965,0.0011477094812774868,0.008059740463187443,80.0
1,400,64,32,0.45831029516229504,0.1,16,0.47002000000000005,8.277488470077515,0.011709704837705004,0.02554973117843318,0.4517617731525717,0.6392078399658203,0.006548522009723334,0.01428840259284247,177.0
1,400,64,64,0.3617019800585704,0.1,16,0.4071,14.838941097259521,0.04539801994142961,0.12551222399744208,0.36665463768200884,0.56368088722229,0.004952657623438439,0.01369264725240502,88.0
1,400,64,128,0.0765329656048091,0.1,16,0.02695,27.590739488601685,0.0495829656048091,0.647864161710904,0.07754424124500235,0.9844107627868652,0.0010112756401932516,0.013213595372942219,76.0
1,400,64,256,0.1515687779359306,0.1,16,0.14925000000000002,53.39081573486328,0.002318777935930577,0.015298519705098792,0.15343701086057623,2.555492639541626,0.0018682329246456353,0.012325974716477249,101.0
1,400,64,512,0.41691139280822864,0.1,16,0.36360000000000003,103.20741415023804,0.05331139280822861,0.12787223790919727,0.4107764981505942,6.645464658737183,0.006134894657634449,0.01471510436860713,111.0
1,400,1,16,0.14943571697970437,0.1,16,0.09277,5.082516193389893,0.056665716979704364,0.37919794628081066,0.09840195186764726,0.22876477241516113,0.05103376511205711,0.3415098220393205,111.0
1,400,1,32,0.06323432501943815,0.1,16,0.11042,8.208811521530151,0.04718567498056185,0.7462035052332263,0.13259598366555278,0.28032636642456055,0.06936165864611463,1.0968988539814877,76.0
1,400,1,64,0.34432788592280283,0.1,16,0.40886000000000006,14.24414587020874,0.06453211407719722,0.18741471927041398,0.4008677057654312,0.4692356586456299,0.05653981984262835,0.16420342979512378,69.0
1,400,1,128,0.2683425777853875,0.1,16,0.29596,26.937867164611816,0.027617422214612497,0.1029185246804184,0.27342617478505804,0.6514546871185303,0.005083596999670537,0.018944429324727764,51.0
1,400,1,256,0.4117224836366258,0.1,16,0.45162,52.105392932891846,0.03989751636337424,0.09690390481221964,0.423851902136932,2.58729887008667,0.012129418500306244,0.02946018005422146,104.0
1,400,1,512,0.3032575289532855,0.1,16,0.30636,102.78208565711975,0.0031024710467145167,0.010230483171919628,0.3209164236596799,4.807704448699951,0.017658894706394368,0.05823068850869185,79.0
1,400,4,16,0.22870069506805435,0.1,16,0.050460000000000005,4.983988285064697,0.17824069506805434,0.7793622796599519,0.24857209407977743,0.2538893222808838,0.01987139901172308,0.08688823182548683,123.0
1,400,4,32,0.3976968860159875,0.1,16,0.46691000000000005,8.220511436462402,0.06921311398401253,0.17403484014514045,0.38831638983487154,0.3273966312408447,0.009380496181115971,0.023587049612299134,90.0
1,400,4,64,0.4396574344713504,0.1,16,0.39622,15.027547597885132,0.0434374344713504,0.09879836223759099,0.4285553322942206,0.7527060508728027,0.011102102177129813,0.02525171032415071,111.0
1,400,4,128,0.4625737135681177,0.1,16,0.46487000000000006,26.936599731445312,0.002296286431882344,0.004964152446470993,0.44297579252159697,1.8539676666259766,0.01959792104652075,0.0423671308413741,147.0
1,400,4,256,0.04841310193786824,0.1,16,0.05822000000000001,52.86174535751343,0.009806898062131766,0.2025670256518083,0.06342450519825733,2.2497148513793945,0.015011403260389092,0.31006902386990665,93.0
1,400,4,512,0.2069536059979583,0.1,16,0.20425000000000001,103.78320717811584,0.002703605997958297,0.013063826478988579,0.2034360146478191,5.360629558563232,0.0035175913501392098,0.016997004392249694,87.0
1,400,16,16,0.36614629989279684,0.1,16,0.21280000000000002,5.0450568199157715,0.15334629989279683,0.4188115513872317,0.36973857709049474,0.20388078689575195,0.0035922771976978907,0.009811043287204228,96.0
1,400,16,32,0.45879739652443413,0.1,16,0.34583,8.196243047714233,0.1129673965244341,0.24622501648920714,0.45620693019159275,0.688011646270752,0.002590466332841379,0.0056462097484971645,183.0
1,400,16,64,0.3117879738272111,0.1,16,0.41343,14.631670475006104,0.10164202617278895,0.3259972632206708,0.31196159284684627,0.5897812843322754,0.0001736190196351961,0.0005568496356803471,86.0
1,400,16,128,0.25137639272570794,0.1,16,0.35812000000000005,27.51788640022278,0.10674360727429211,0.42463656239496816,0.2423313209822589,1.051436185836792,0.00904507174344904,0.03598218450576092,83.0
1,400,16,256,0.190027189296324,0.1,16,0.21479,53.6843318939209,0.024762810703676003,0.13031193480982053,0.18884791169202272,2.1016621589660645,0.001179277604301282,0.006205836168330332,84.0
1,400,16,512,0.30148965990679644,0.1,16,0.29958,103.36484813690186,0.0019096599067964237,0.006334080934605793,0.30006982548682026,4.620556116104126,0.0014198344199761737,0.004709396734916568,76.0
1,400,64,16,0.4797209211446307,0.1,16,0.48221,5.05009651184082,0.002489078855369309,0.005188597673477072,0.45487313703023147,0.3670065402984619,0.02484778411439925,0.051796332032198175,176.0
1,400,64,32,0.024594583746738063,0.1,16,0.02952,8.175008058547974,0.004925416253261938,0.20026426566032804,0.03263626106426378,0.6201117038726807,0.008041677317525718,0.3269694417411017,166.0
1,400,64,64,0.03554274443601102,0.1,16,0.054470000000000005,14.84079647064209,0.018927255563988984,0.5325209368135445,0.04497984455513476,0.9103055000305176,0.009437100119123742,0.26551410896571925,133.0
1,400,64,128,0.10077924915795872,0.1,16,0.08688000000000001,27.430001974105835,0.013899249157958704,0.13791776852964432,0.10009190293423667,1.200664758682251,0.0006873462237220462,0.006820314990090053,92.0
1,400,64,256,0.3834846653833945,0.1,16,0.34157000000000004,53.63685655593872,0.041914665383394445,0.10929945618944016,0.39123051136656983,1.6921772956848145,0.007745845983175348,0.020198580757932846,67.0
1,400,64,512,0.17547303312922746,0.1,16,0.17416,104.19925785064697,0.0013130331292274533,0.00748282004255587,0.17482005423838867,5.175707817077637,0.0006529788908387901,0.0037212492380974717,83.0
1,400,1,16,0.36830951245330623,0.1,16,0.16879000000000002,5.075512647628784,0.1995195124533062,0.5417169682213978,0.11866798555529741,0.1944897174835205,0.24964152689800884,0.6778036364989569,95.0
1,400,1,32,0.043463223099011905,0.1,16,0.00127,8.421637058258057,0.042193223099011905,0.9707798936791489,0.037264675987033126,0.5130641460418701,0.006198547111978779,0.14261590995812956,146.0
1,400,1,64,0.26575199873257327,0.1,16,0.29294000000000003,14.564760208129883,0.027188001267426765,0.10230591452591896,0.2689998620608263,0.7994043827056885,0.0032478633282530533,0.012221406964925161,116.0
1,400,1,128,0.30839414390661735,0.1,16,0.36939000000000005,26.967974185943604,0.060995856093382705,0.1977853902175666,0.300121796654585,0.926142692565918,0.008272347252032353,0.026823944019304217,74.0
1,400,1,256,0.45373555741782345,0.1,16,0.44576000000000005,52.12818741798401,0.007975557417823409,0.017577545527204735,0.4569153749487107,4.555965185165405,0.0031798175308872523,0.007008085390052669,182.0
