N,T,edge_per_t,evidences_per_t,calibration_batches,epsilon_msm,real_epsilon,time_calibration,distance_epsilon
100,64,16,8,200,0.1464,0.2316330968419178,39.27123165130615,0.0852330968419178
100,64,16,8,400,0.14673,0.2316330968419178,77.51350426673889,0.0849030968419178
100,64,16,8,800,0.14655,0.2316330968419178,78.01672649383545,0.08508309684191778
100,64,16,8,50,0.22077000000000002,0.14168775108182358,7.462064743041992,0.07908224891817645
100,64,16,8,100,0.22229000000000002,0.14168775108182358,17.903687238693237,0.08060224891817644
100,64,16,8,200,0.22055000000000002,0.14168775108182358,15.676649570465088,0.07886224891817645
100,64,16,8,400,0.22025000000000003,0.14168775108182358,25.466352224349976,0.07856224891817645
100,64,16,8,800,0.22062,0.14168775108182358,47.622079849243164,0.07893224891817643
100,64,16,8,50,0.21899000000000002,0.20462688512394983,2.953227996826172,0.014363114876050187
100,64,16,8,100,0.22067,0.20462688512394983,5.936116933822632,0.016043114876050174
100,64,16,8,200,0.22037,0.20462688512394983,31.123928785324097,0.01574311487605018
100,64,16,8,400,0.21905000000000002,0.20462688512394983,69.29952931404114,0.014423114876050191
100,64,16,8,800,0.21897000000000003,0.20462688512394983,53.77068591117859,0.014343114876050195
100,64,16,8,50,0.36126,0.4353222545636133,2.985393762588501,0.07406225456361326
100,64,16,8,100,0.35908,0.4353222545636133,6.016283750534058,0.07624225456361328
100,64,16,8,200,0.36022000000000004,0.4353222545636133,12.594511032104492,0.07510225456361325
100,64,16,8,400,0.36040000000000005,0.4353222545636133,31.646308183670044,0.07492225456361323
100,64,16,8,800,0.36026,0.4353222545636133,47.65751791000366,0.07506225456361326
100,64,16,8,50,0.08817000000000001,0.06682279178559913,2.9557080268859863,0.02134720821440088
100,64,16,8,100,0.33105,0.06682279178559913,5.909710168838501,0.2642272082144009
100,64,16,8,200,0.33224000000000004,0.06682279178559913,11.805915594100952,0.2654172082144009
100,64,16,8,400,0.08710000000000001,0.06682279178559913,23.638680934906006,0.020277208214400877
100,64,16,8,800,0.08704,0.06682279178559913,71.62035965919495,0.020217208214400872
100,64,16,8,50,0.44606,0.45490808651931636,11.570412397384644,0.008848086519316345
100,64,16,8,100,0.4524,0.45490808651931636,21.20796012878418,0.0025080865193163326
100,64,16,8,200,0.45414000000000004,0.45490808651931636,44.29608726501465,0.0007680865193163133
100,64,16,8,400,0.45428,0.45490808651931636,88.70411515235901,0.0006280865193163399
100,64,16,8,800,0.45479,0.45490808651931636,169.4115653038025,0.00011808651931632941
100,64,16,8,50,0.05124,0.02500416721814125,11.402408599853516,0.026235832781858752
100,64,16,8,100,0.04562,0.02500416721814125,22.27038836479187,0.020615832781858752
100,64,16,8,200,0.05138,0.02500416721814125,42.35647439956665,0.026375832781858753
