,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.4873,0.0373,0.81,0.21000000000000008,13.153937578201294,0.45,0.6,100,100,8,1,200
1,0.11170000000000001,0.018299999999999997,0.03,0.16999999999999998,9.652598857879639,0.13,0.19999999999999998,100,100,1,1,200
2,0.059000000000000004,0.07100000000000001,0.9500000000000001,0.11000000000000021,12.47362470626831,0.13,0.8399999999999999,100,100,8,1,200
3,0.1159,0.10590000000000001,0.71,0.59,9.979711294174194,0.01,0.12,100,100,1,1,200
4,0.15330000000000002,0.023300000000000015,0.53,0.41000000000000003,10.8029305934906,0.13,0.12,100,100,1,1,200
5,0.1293,0.0007000000000000062,0.86,0.82,15.328952550888062,0.13,0.04,100,100,16,1,200
6,0.26280000000000003,0.052800000000000014,0.77,0.09000000000000008,12.063024044036865,0.21000000000000002,0.6799999999999999,100,100,4,1,200
7,0.228,0.021999999999999992,0.32,0.27999999999999997,13.010383605957031,0.25,0.6,100,100,16,1,200
8,0.14980000000000002,0.019800000000000012,0.54,0.42000000000000004,8.763451099395752,0.13,0.12,100,100,1,1,200
9,0.3205,0.009500000000000008,0.38,0.05999999999999989,11.383498430252075,0.33,0.4399999999999999,100,100,8,1,200
10,0.0079,0.0020999999999999994,0.73,0.18999999999999995,9.35393214225769,0.01,0.9199999999999999,100,100,1,1,200
11,0.3267,0.043300000000000005,0.5700000000000001,0.13000000000000017,11.208548784255981,0.37,0.4399999999999999,100,100,8,1,200
12,0.49050000000000005,0.040500000000000036,0.33,0.26999999999999996,13.046729326248169,0.45,0.6,100,100,4,1,200
13,0.1719,0.03810000000000002,0.01,0.4299999999999999,16.948928356170654,0.21000000000000002,0.4399999999999999,100,100,4,1,200
14,0.2411,0.03109999999999999,0.38,0.18000000000000002,16.038222551345825,0.21000000000000002,0.19999999999999998,100,100,16,1,200
15,0.4626,0.05259999999999998,0.85,0.25,16.552953004837036,0.41000000000000003,0.6,100,100,4,1,200
16,0.1459,0.02410000000000001,0.89,0.85,16.92460560798645,0.17,0.04,100,100,4,1,200
17,0.4354,0.1854,0.9400000000000001,0.5000000000000002,17.146499156951904,0.25,0.4399999999999999,100,100,16,1,200
18,0.019100000000000002,0.009100000000000002,0.04,0.5599999999999999,17.407912254333496,0.01,0.6,100,100,16,1,200
19,0.3355,0.045499999999999985,0.21,0.71,14.340588092803955,0.29000000000000004,0.9199999999999999,100,100,4,1,200
20,0.0274,0.022600000000000002,0.99,0.4700000000000001,18.668561935424805,0.05,0.5199999999999999,100,100,4,1,200
21,0.1308,0.0408,0.78,0.5800000000000001,16.044631958007812,0.09,0.19999999999999998,100,100,16,1,200
22,0.2677,0.06230000000000002,0.88,0.76,16.480910539627075,0.33,0.12,100,100,8,1,200
23,0.1555,0.014500000000000013,0.71,0.20999999999999996,11.970321893692017,0.17,0.9199999999999999,100,100,1,1,200
24,0.2378,0.012199999999999989,0.66,0.06000000000000005,11.142159461975098,0.25,0.6,100,100,1,1,200
25,0.16540000000000002,0.0446,0.16,0.5199999999999999,15.934689044952393,0.21000000000000002,0.6799999999999999,100,100,8,1,200
26,0.30910000000000004,0.019100000000000006,0.18,0.09999999999999998,10.538305759429932,0.29000000000000004,0.27999999999999997,100,100,1,1,200
27,0.22820000000000001,0.018199999999999994,0.34,0.49999999999999983,17.54558277130127,0.21000000000000002,0.8399999999999999,100,100,16,1,200
28,0.0777,0.012299999999999991,0.71,0.10999999999999999,16.239405870437622,0.09,0.6,100,100,16,1,200
29,0.4627,0.012699999999999989,0.35000000000000003,0.40999999999999986,17.1408429145813,0.45,0.7599999999999999,100,100,8,1,200
30,0.2192,0.030799999999999994,0.93,0.7300000000000001,18.218976497650146,0.25,0.19999999999999998,100,100,8,1,200
31,0.40650000000000003,0.04349999999999998,0.37,0.22999999999999998,18.443748950958252,0.45,0.6,100,100,16,1,200
32,0.2174,0.0874,0.96,0.1200000000000001,8.498650550842285,0.13,0.8399999999999999,100,100,1,1,200
33,0.2088,0.11880000000000002,0.49,0.34999999999999987,12.43236255645752,0.09,0.8399999999999999,100,100,8,1,200
34,0.4248,0.0252,0.25,0.5099999999999999,13.994566917419434,0.45,0.7599999999999999,100,100,8,1,200
35,0.0089,0.0011000000000000003,0.46,0.18000000000000005,10.19243049621582,0.01,0.27999999999999997,100,100,1,1,200
36,0.2585,0.03150000000000003,0.7000000000000001,0.10000000000000009,12.270100831985474,0.29000000000000004,0.6,100,100,4,1,200
37,0.1665,0.003500000000000003,0.58,0.22000000000000003,15.330874919891357,0.17,0.35999999999999993,100,100,16,1,200
38,0.2992,0.04920000000000002,0.91,0.31000000000000005,16.592357397079468,0.25,0.6,100,100,4,1,200
39,0.37410000000000004,0.03589999999999999,0.41000000000000003,0.13000000000000006,16.046124935150146,0.41000000000000003,0.27999999999999997,100,100,16,1,200
40,0.271,0.02100000000000002,0.54,0.26000000000000006,15.89495062828064,0.25,0.27999999999999997,100,100,16,1,200
41,0.0592,0.0092,0.56,0.11999999999999988,15.512317657470703,0.05,0.6799999999999999,100,100,16,1,200
42,0.0731,0.0169,0.33,0.050000000000000044,15.134541749954224,0.09,0.27999999999999997,100,100,16,1,200
43,0.3166,0.026599999999999957,0.17,0.5099999999999999,13.884580135345459,0.29000000000000004,0.6799999999999999,100,100,8,1,200
44,0.050800000000000005,0.0008000000000000021,0.61,0.1499999999999999,14.47886347770691,0.05,0.7599999999999999,100,100,8,1,200
45,0.0079,0.0020999999999999994,0.84,0.48000000000000004,15.421757221221924,0.01,0.35999999999999993,100,100,8,1,200
46,0.0014,0.0086,0.12,0.15999999999999998,9.16072130203247,0.01,0.27999999999999997,100,100,1,1,200
47,0.44930000000000003,0.0006999999999999784,0.1,0.82,16.747922897338867,0.45,0.9199999999999999,100,100,8,1,200
48,0.0118,0.0017999999999999995,0.3,0.18,12.100688695907593,0.01,0.12,100,100,1,1,200
49,0.1879,0.0179,0.6900000000000001,0.17000000000000015,11.86868143081665,0.17,0.5199999999999999,100,100,16,1,200
50,0.112,0.022000000000000006,0.77,0.49000000000000005,13.520045757293701,0.09,0.27999999999999997,100,100,16,1,200
51,0.3895,0.020500000000000018,0.34,0.14000000000000004,15.128889799118042,0.41000000000000003,0.19999999999999998,100,100,8,1,200
52,0.44680000000000003,0.0368,0.13,0.14999999999999997,15.242893934249878,0.41000000000000003,0.27999999999999997,100,100,8,1,200
53,0.43060000000000004,0.019399999999999973,0.75,0.39000000000000007,15.120461225509644,0.45,0.35999999999999993,100,100,4,1,200
54,0.0456,0.044399999999999995,0.05,0.010000000000000002,14.0558180809021,0.09,0.04,100,100,16,1,200
55,0.4042,0.03420000000000001,0.84,0.56,12.816761493682861,0.37,0.27999999999999997,100,100,8,1,200
56,0.36200000000000004,0.04799999999999999,0.09,0.42999999999999994,9.51232385635376,0.41000000000000003,0.5199999999999999,100,100,1,1,200
57,0.0649,0.0651,0.37,0.3899999999999999,16.220666885375977,0.13,0.7599999999999999,100,100,8,1,200
58,0.3975,0.012500000000000011,0.48,0.12000000000000005,12.64919638633728,0.41000000000000003,0.35999999999999993,100,100,8,1,200
59,0.1714,0.04139999999999999,0.36,0.3999999999999999,13.119928359985352,0.13,0.7599999999999999,100,100,4,1,200
60,0.3708,0.0408,0.17,0.10999999999999996,10.359206199645996,0.33,0.27999999999999997,100,100,1,1,200
61,0.4575,0.007500000000000007,0.75,0.63,13.671782970428467,0.45,0.12,100,100,16,1,200
62,0.1589,0.02890000000000001,0.19,0.009999999999999981,13.275920867919922,0.13,0.19999999999999998,100,100,1,1,200
63,0.4038,0.0338,0.8200000000000001,0.54,15.39131784439087,0.37,0.27999999999999997,100,100,16,1,200
64,0.0748,0.024800000000000003,0.55,0.20999999999999985,16.063179969787598,0.05,0.7599999999999999,100,100,4,1,200
65,0.2306,0.02059999999999998,0.25,0.2699999999999999,11.698037385940552,0.21000000000000002,0.5199999999999999,100,100,1,1,200
66,0.44470000000000004,0.03470000000000001,0.07,0.53,12.469608306884766,0.41000000000000003,0.6,100,100,8,1,200
67,0.0313,0.0213,0.07,0.69,15.99415135383606,0.01,0.7599999999999999,100,100,8,1,200
68,0.4932,0.2032,0.97,0.85,25.674858808517456,0.29000000000000004,0.12,100,100,16,1,200
