,epsilon,mu,distance_epsilon,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
200,0.2853,0.0,0.1553,0.19999999999999998,50.684486627578735,0.13,0.19999999999999998,400,50,16,2,200
201,0.0611,0.5,0.22890000000000005,0.14000000000000007,1.24843430519104,0.29000000000000004,0.35999999999999993,100,100,16,2,25
202,0.2513,0.98,0.0413,0.22000000000000008,4.440853834152222,0.21000000000000002,0.7599999999999999,50,50,8,1,200
203,0.069,0.19,0.02099999999999999,0.41,19.806386947631836,0.09,0.6,400,200,1,4,50
204,0.3582,0.1,0.05180000000000001,0.7399999999999999,1.097999095916748,0.41000000000000003,0.8399999999999999,100,200,2,1,25
205,0.2301,0.02,0.0199,0.8999999999999999,12.597198247909546,0.25,0.9199999999999999,200,200,1,1,200
206,0.0114,0.6900000000000001,0.0014000000000000002,0.5700000000000001,24.42480492591858,0.01,0.12,400,400,1,2,100
207,0.1158,0.1,0.2142,0.41999999999999993,45.07100462913513,0.33,0.5199999999999999,400,50,32,4,100
208,0.0171,0.07,0.0329,0.69,3.228673219680786,0.05,0.7599999999999999,100,400,32,4,25
209,0.1577,0.21,0.012300000000000005,0.6299999999999999,11.369956493377686,0.17,0.8399999999999999,200,400,2,8,25
210,0.022500000000000003,0.02,0.012500000000000002,0.4999999999999999,6.561732769012451,0.01,0.5199999999999999,50,50,8,4,100
211,0.2457,0.93,0.044300000000000034,0.5700000000000001,43.5590934753418,0.29000000000000004,0.35999999999999993,400,50,1,8,50
212,0.1715,0.01,0.12150000000000001,0.26999999999999996,49.8768675327301,0.05,0.27999999999999997,200,100,32,4,200
213,0.3393,0.0,0.049299999999999955,0.6799999999999999,167.0705704689026,0.29000000000000004,0.6799999999999999,400,50,16,8,200
214,0.2013,0.02,0.08870000000000003,0.8199999999999998,23.444027423858643,0.29000000000000004,0.8399999999999999,100,50,8,8,100
215,0.1666,0.99,0.1166,0.79,7.120783090591431,0.05,0.19999999999999998,100,200,8,4,50
