N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epochs_pgabm,distance_epsilon_pgabm
100,100,1,100,0.06781923461276124,0.25,0.14759946388448208,0.08072872930798403,0.25232648849487305,255,0.01290949469522279
100,464,1,464,0.2800543903433407,0.25,0.6134465943169227,0.29534996552183845,0.21926665306091309,123,0.015295575178497778
100,2154,1,2154,0.07597531190151385,0.25,0.45799341520428777,0.07536791285401942,4.617296457290649,277,0.0006073990474944335
100,10000,1,10000,0.3152920687619161,0.25,0.08847746434078095,0.3123165146812251,5.542279958724976,131,0.002975554080691001
464,100,1,100,0.3028084970262064,0.25,0.5097673701416489,0.3035486619899927,0.14657163619995117,125,0.0007401649637863161
464,464,1,464,0.4882618896931597,0.25,0.1880887354117502,0.4897647027632466,0.4511418342590332,277,0.0015028130700868725
464,2154,1,2154,0.38453876204582826,0.25,0.6258934569665144,0.38552110503882364,2.3677735328674316,176,0.0009823429929953775
464,10000,1,10000,0.12596742322049626,0.25,0.11394088103040795,0.12434624047009547,6.106783390045166,181,0.001621182750400782
2154,100,1,100,0.494827319011046,0.25,0.9773784703084363,0.4979090709219993,0.28613924980163574,291,0.0030817519109533342
2154,464,1,464,0.47229598179327054,0.25,0.48400804995684166,0.4704897108173291,0.35015034675598145,249,0.0018062709759414375
2154,2154,1,2154,0.04583678729001234,0.25,0.048232683085589236,0.04958689830163363,5.284128665924072,363,0.0037501110116212946
2154,10000,1,10000,0.09063769153835022,0.25,0.1543292521410723,0.08920683112550366,10.262454509735107,249,0.0014308604128465546
10000,100,1,100,0.09195670991909616,0.25,0.7833790603930227,0.09253028213841416,0.27759623527526855,229,0.0005735722193180026
10000,464,1,464,0.49088177182419657,0.25,0.2371813100699428,0.4984757660163167,0.5996761322021484,299,0.007593994192120146
10000,2154,1,2154,0.2950980225325749,0.25,0.6499494945845097,0.2936444961862856,2.3441414833068848,119,0.0014535263462893133
10000,10000,1,10000,0.29186261403939934,0.25,0.15934640741789544,0.2909620107293486,5.054466724395752,116,0.0009006033100507627
