N,evidences_per_t,edge_per_t,T,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,early_stopping
100,8,1,16,0.39466673853582024,0.02668309211730957,77,0.2988198234786075,0.32896974144961255,16,0.09584691505721271,77
100,8,1,32,0.37034878243788794,0.031136751174926758,73,0.2988198234786075,0.32896974144961255,16,0.07152895895928041,73
100,8,1,64,0.30589417921893913,0.028275251388549805,59,0.2988198234786075,0.32896974144961255,16,0.007074355740331606,59
100,8,1,128,0.3050604695678688,0.022492170333862305,59,0.2988198234786075,0.32896974144961255,16,0.006240646089261281,59
100,8,1,256,0.3315020093463631,0.022111177444458008,62,0.2988198234786075,0.32896974144961255,16,0.032682185867755564,62
100,8,4,16,0.29526033524904877,0.025879859924316406,57,0.2988198234786075,0.32896974144961255,16,0.0035594882295587604,57
100,8,4,32,0.32603282146958174,0.02846240997314453,62,0.2988198234786075,0.32896974144961255,16,0.027212997990974208,62
100,8,4,64,0.30485839614183025,0.024588346481323242,59,0.2988198234786075,0.32896974144961255,16,0.006038572663222719,59
100,8,4,128,0.297096493007558,0.02040696144104004,57,0.2988198234786075,0.32896974144961255,16,0.0017233304710495,57
100,8,4,256,0.29951154865657337,0.026794910430908203,58,0.2988198234786075,0.32896974144961255,16,0.0006917251779658407,58
100,8,16,16,0.31825025464925416,0.027832984924316406,61,0.2988198234786075,0.32896974144961255,16,0.019430431170646634,61
100,8,16,32,0.305648431438158,0.022104740142822266,59,0.2988198234786075,0.32896974144961255,16,0.006828607959550481,59
100,8,16,64,0.2998195128070177,0.02144336700439453,58,0.2988198234786075,0.32896974144961255,16,0.0009996893284101582,58
100,8,16,128,0.30230324676350323,0.02516770362854004,59,0.2988198234786075,0.32896974144961255,16,0.0034834232848957036,59
100,8,16,256,0.2899412817272151,0.029647111892700195,56,0.2988198234786075,0.32896974144961255,16,0.00887854175139241,56
100,8,64,16,0.3042123879048711,0.02146148681640625,59,0.2988198234786075,0.32896974144961255,16,0.005392564426263569,59
100,8,64,32,0.2960933822627199,0.027573823928833008,57,0.2988198234786075,0.32896974144961255,16,0.0027264412158876095,57
100,8,64,64,0.3021829881074143,0.029557228088378906,59,0.2988198234786075,0.32896974144961255,16,0.0033631646288067585,59
100,8,64,128,0.2973456232918807,0.03154611587524414,58,0.2988198234786075,0.32896974144961255,16,0.0014742001867268373,58
100,8,64,256,0.3019005767381418,0.04375767707824707,59,0.2988198234786075,0.32896974144961255,16,0.0030807532595342746,59
100,8,1,16,0.3786542169319751,0.025657176971435547,69,0.36091838810028715,0.11404159574304218,16,0.01773582883168795,69
100,8,1,32,0.4238495767269295,0.03803253173828125,81,0.36091838810028715,0.11404159574304218,16,0.06293118862664238,81
100,8,1,64,0.3241084874060477,0.025499343872070312,62,0.36091838810028715,0.11404159574304218,16,0.03680990069423945,62
100,8,1,128,0.4032727120763189,0.026420116424560547,75,0.36091838810028715,0.11404159574304218,16,0.04235432397603173,75
100,8,1,256,0.34183515145424126,0.02871394157409668,63,0.36091838810028715,0.11404159574304218,16,0.019083236646045887,63
100,8,4,16,0.3495940285482947,0.02943110466003418,63,0.36091838810028715,0.11404159574304218,16,0.011324359551992458,63
100,8,4,32,0.3916903417272538,0.02596735954284668,74,0.36091838810028715,0.11404159574304218,16,0.030771953626966664,74
100,8,4,64,0.36123445558309253,0.023637056350708008,60,0.36091838810028715,0.11404159574304218,16,0.0003160674828053822,60
100,8,4,128,0.3630593086214214,0.0285031795501709,59,0.36091838810028715,0.11404159574304218,16,0.0021409205211342375,59
100,8,4,256,0.3633927830066009,0.02745795249938965,59,0.36091838810028715,0.11404159574304218,16,0.002474394906313737,59
100,8,16,16,0.3600716697879836,0.021010160446166992,60,0.36091838810028715,0.11404159574304218,16,0.0008467183123035404,60
100,8,16,32,0.36451796834423406,0.025393247604370117,60,0.36091838810028715,0.11404159574304218,16,0.0035995802439469093,60
100,8,16,64,0.3583121476315059,0.029605388641357422,60,0.36091838810028715,0.11404159574304218,16,0.0026062404687812735,60
100,8,16,128,0.35380797286934346,0.027607440948486328,60,0.36091838810028715,0.11404159574304218,16,0.00711041523094369,60
100,8,16,256,0.3596235952384986,0.030326366424560547,67,0.36091838810028715,0.11404159574304218,16,0.001294792861788574,67
100,8,64,16,0.36686955785744296,0.03033924102783203,60,0.36091838810028715,0.11404159574304218,16,0.005951169757155816,60
100,8,64,32,0.3631086359750404,0.031185388565063477,66,0.36091838810028715,0.11404159574304218,16,0.0021902478747532483,66
100,8,64,64,0.36204889713921107,0.02986907958984375,68,0.36091838810028715,0.11404159574304218,16,0.0011305090389239214,68
100,8,64,128,0.3581181963484202,0.04370832443237305,68,0.36091838810028715,0.11404159574304218,16,0.002800191751866965,68
100,8,64,256,0.3567922845839342,0.04988384246826172,72,0.36091838810028715,0.11404159574304218,16,0.0041261035163529525,72
100,8,1,16,0.2236174458314067,0.019526004791259766,52,0.2510325944340234,0.4680988652404302,16,0.027415148602616735,52
100,8,1,32,0.1981744362083679,0.027245283126831055,59,0.2510325944340234,0.4680988652404302,16,0.05285815822565554,59
100,8,1,64,0.2737244368366966,0.08071112632751465,201,0.2510325944340234,0.4680988652404302,16,0.02269184240267319,201
100,8,1,128,0.24877934826349438,0.0834648609161377,201,0.2510325944340234,0.4680988652404302,16,0.0022532461705290496,201
100,8,1,256,0.22162341341540706,0.025820493698120117,53,0.2510325944340234,0.4680988652404302,16,0.029409181018616365,53
100,8,4,16,0.21796159300467224,0.024290800094604492,54,0.2510325944340234,0.4680988652404302,16,0.03307100142935118,54
