ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,X0_r2,X0_mae,X0_mse,num_epochs
1,200,1,4,16,0.43363145249952595,0.1,16,0.32394,2.759150981903076,0.10969145249952594,0.25296009287897736,0.32262385039082,1.1294264793395996,0.11100760210870597,0.2559952731030905,-0.09763979911804199,0.3679235577583313,0.19923625886440277,201.0
1,200,1,4,32,0.4186527740754483,0.1,16,0.35828000000000004,3.664384126663208,0.06037277407544828,0.1442072710703407,0.48355560927944724,2.1407759189605713,0.06490283520399892,0.15502783983058555,-0.0033048391342163086,0.33053427934646606,0.16599363088607788,201.0
1,200,1,4,64,0.05845208037520139,0.1,16,0.06221000000000001,5.467124938964844,0.003757919624798621,0.06429060523897005,0.04379783367174148,3.5648703575134277,0.014654246703459904,0.2507053061139129,0.2966725826263428,0.2559627294540405,0.11847376078367233,168.0
1,200,1,4,128,0.2069446876317783,0.1,16,0.25002,9.06951379776001,0.04307531236822171,0.20814891583429604,0.20389791431243598,5.093078851699829,0.003046773319342333,0.01472264571856771,0.7275230884552002,0.12548933923244476,0.028180761262774467,115.0
1,200,1,4,256,0.08411391494862774,0.1,16,0.10023000000000001,16.351027488708496,0.01611608505137227,0.19159832307431068,0.11401637974596718,4.4438254833221436,0.029902464797339434,0.35549961995708146,0.8388897180557251,0.1036270260810852,0.01806723326444626,47.0
1,200,1,4,512,0.08093821934529083,0.1,16,0.06074,30.67071294784546,0.020198219345290827,0.24955107128219772,0.08374522376016004,11.915899753570557,0.0028070044148692103,0.034680827396192625,0.9101850986480713,0.07375827431678772,0.009169560857117176,54.0
1,200,1,8,16,0.1982606922041109,0.1,16,0.057350000000000005,2.762253999710083,0.1409106922041109,0.710734390350268,0.08767862773225564,0.6768317222595215,0.11058206447185527,0.5577609118705698,0.27389949560165405,0.2801635265350342,0.12917567789554596,122.0
1,200,1,8,32,0.12819682282557116,0.1,16,0.18227000000000002,3.6659929752349854,0.05407317717442886,0.42179810686886227,0.21170496101435446,1.341644525527954,0.0835081381887833,0.6514056772093896,0.4622243046760559,0.21138730645179749,0.0782228484749794,127.0
1,200,1,8,64,0.3517061198817676,0.1,16,0.379,5.466249227523804,0.027293880118232416,0.0776042228875851,0.3434128633342141,2.055992841720581,0.008293256547553474,0.02358007460985155,0.7096474170684814,0.12959083914756775,0.029305823147296906,97.0
1,200,1,8,128,0.47589863396184295,0.1,16,0.49256000000000005,9.07738709449768,0.0166613660381571,0.03501032541205611,0.48713567818568076,8.924536228179932,0.011237044223837811,0.02361226408718539,0.7817745208740234,0.11286097764968872,0.020813241600990295,201.0
1,200,1,8,256,0.012390365099825384,0.1,16,0.05675,16.276630640029907,0.04435963490017462,3.5801717336642302,0.04431166621672371,15.921984195709229,0.031921301116898324,2.5763002833022397,0.9114747643470764,0.07020041346549988,0.008466256782412529,168.0
1,200,1,8,512,0.29869839181454033,0.1,16,0.25638,30.916818380355835,0.042318391814540335,0.14167599483031537,0.3033568165589283,18.837164402008057,0.00465842474438799,0.015595747657323753,0.939054548740387,0.057160262018442154,0.00528721883893013,84.0
1,200,1,16,16,0.39695659453193805,0.1,16,0.36223000000000005,2.7624824047088623,0.03472659453193799,0.08748209504589546,0.47681794255661897,1.1362712383270264,0.07986134802468092,0.20118408189904877,0.5016018152236938,0.23262043297290802,0.09044262766838074,201.0
1,200,1,16,32,0.05684987663937546,0.1,16,0.0056300000000000005,3.665771484375,0.05121987663937546,0.900967243329064,0.1214296528835516,0.6084916591644287,0.06457977624417614,1.1359703848406733,0.6941518783569336,0.1480451226234436,0.03565705940127373,58.0
1,200,1,16,64,0.2929463021392412,0.1,16,0.26632,5.484894037246704,0.02662630213924122,0.09089140891966402,0.27915879788064,2.181511163711548,0.013787504258601202,0.04706495408174779,0.811542272567749,0.11095190048217773,0.020293807610869408,103.0
1,200,1,16,128,0.03504663323475832,0.1,16,0.05629000000000001,9.063610792160034,0.02124336676524169,0.606145720844109,0.07256020382080865,4.336008787155151,0.03751357058605033,1.0703901380417156,0.8899765014648438,0.08128609508275986,0.010625297203660011,99.0
1,200,1,16,256,0.1380359258247547,0.1,16,0.14356000000000002,16.25792360305786,0.005524074175245308,0.040019104752906626,0.1535877632953759,7.045389413833618,0.015551837470621194,0.11266514407535637,0.9108046293258667,0.06614992022514343,0.006868175230920315,75.0
1,200,1,16,512,0.18148959671752724,0.1,16,0.14880000000000002,30.915915489196777,0.03268959671752722,0.18011829498087284,0.17308587696074293,9.936156511306763,0.008403719756784306,0.04630414034069382,0.9435004591941833,0.056388091295957565,0.00517914118245244,45.0
1,200,4,4,16,0.25815429317001115,0.1,16,0.20639000000000002,2.8899269104003906,0.05176429317001113,0.20051687901204504,0.36270081096167955,0.7333681583404541,0.1045465177916684,0.40497687064540827,-0.1983247995376587,0.3255719244480133,0.16418103873729706,125.0
1,200,4,4,32,0.1623644538947845,0.1,16,0.23917000000000002,3.950056791305542,0.07680554610521553,0.47304409470675834,0.1550622233561482,0.7957212924957275,0.007302230538636295,0.04497431773686309,-0.045237064361572266,0.3160666525363922,0.14338409900665283,73.0
1,200,4,4,64,0.02941766603445528,0.1,16,0.19236,6.075528860092163,0.16294233396554472,5.538927995671016,0.07783261552790241,1.23732328414917,0.04841494949344713,1.645778065355062,0.5640898942947388,0.17668044567108154,0.05856584385037422,58.0
