,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.32220000000000004,0.007799999999999974,1.0,5,47.149792194366455,0.33,0.6799999999999999,200,400,32,1,400
1,0.11520000000000001,0.025200000000000014,1.0,40,8.34614109992981,0.09,0.04,50,400,16,1,200
2,0.4184,0.008399999999999963,0.1,20,11.894168138504028,0.41000000000000003,0.6,200,400,16,1,100
3,0.18280000000000002,0.027200000000000002,1.0,40,4.293789863586426,0.21000000000000002,0.8399999999999999,50,50,2,1,100
4,0.35400000000000004,0.09599999999999997,0.1,40,4.644614934921265,0.45,0.27999999999999997,50,400,2,1,100
5,0.0108,0.0008000000000000004,0.1,10,185.66706204414368,0.01,0.4399999999999999,400,200,8,1,800
6,0.23750000000000002,0.0675,10.0,40,55.26987266540527,0.17,0.8399999999999999,100,100,1,1,800
7,0.3431,0.0131,0.1,40,24.53736710548401,0.33,0.27999999999999997,400,200,1,1,100
8,0.1884,0.0184,0.1,20,4.221066474914551,0.17,0.9199999999999999,50,400,2,1,100
9,0.2812,0.07119999999999999,10.0,5,11.308771133422852,0.21000000000000002,0.5199999999999999,200,100,1,1,100
10,0.0463,0.003700000000000002,1.0,20,16.841317176818848,0.05,0.35999999999999993,50,50,8,1,400
11,0.0025,0.0075,0.1,10,24.30109429359436,0.01,0.7599999999999999,200,100,32,1,200
12,0.2722,0.017800000000000038,0.1,10,7.008194923400879,0.29000000000000004,0.5199999999999999,100,50,8,1,100
13,0.18510000000000001,0.024900000000000005,10.0,5,14.914863348007202,0.21000000000000002,0.9199999999999999,100,100,32,1,200
14,0.2938,0.00379999999999997,0.1,40,21.69095206260681,0.29000000000000004,0.12,400,100,4,1,100
15,0.1758,0.03420000000000001,1.0,20,13.089369297027588,0.21000000000000002,0.6,100,200,1,1,200
16,0.10830000000000001,0.01830000000000001,10.0,10,26.134218215942383,0.09,0.9199999999999999,100,50,1,1,400
17,0.3104,0.06040000000000001,0.1,5,83.6534481048584,0.25,0.6799999999999999,400,200,32,1,400
18,0.2311,0.02109999999999998,1.0,10,23.483773231506348,0.21000000000000002,0.27999999999999997,400,50,2,1,100
19,0.3793,0.08929999999999999,1.0,10,48.48278594017029,0.29000000000000004,0.9199999999999999,100,50,32,1,800
20,0.1032,0.026800000000000004,1.0,20,12.036776781082153,0.13,0.6799999999999999,100,100,4,1,200
21,0.0106,0.0005999999999999998,10.0,10,163.43812584877014,0.01,0.19999999999999998,400,200,4,1,800
22,0.4091,0.039100000000000024,10.0,10,89.25056290626526,0.37,0.27999999999999997,200,50,2,1,800
23,0.09390000000000001,0.19610000000000002,1.0,5,4.506943464279175,0.29000000000000004,0.19999999999999998,50,50,8,1,100
24,0.1454,0.02460000000000001,0.1,40,7.886318922042847,0.17,0.27999999999999997,50,200,2,1,200
25,0.2519,0.04189999999999999,1.0,20,11.798553705215454,0.21000000000000002,0.6,200,100,1,1,100
26,0.39630000000000004,0.01369999999999999,10.0,10,7.6592116355896,0.41000000000000003,0.8399999999999999,50,50,8,1,200
27,0.23600000000000002,0.025999999999999995,1.0,40,40.83751034736633,0.21000000000000002,0.6,400,100,4,1,200
28,0.45830000000000004,0.04830000000000001,0.1,40,20.353211164474487,0.41000000000000003,0.04,400,200,16,1,100
29,0.3824,0.0676,0.1,10,88.63018369674683,0.45,0.8399999999999999,200,400,2,1,800
30,0.23070000000000002,0.0993,0.1,10,11.487695455551147,0.33,0.9199999999999999,200,200,4,1,100
31,0.1956,0.09440000000000004,10.0,40,20.88893222808838,0.29000000000000004,0.6799999999999999,400,100,8,1,100
32,0.0666,0.14340000000000003,10.0,40,29.844149827957153,0.21000000000000002,0.4399999999999999,50,400,4,1,800
33,0.0218,0.0118,1.0,20,90.06080555915833,0.01,0.6799999999999999,200,200,4,1,800
34,0.3519,0.018100000000000005,0.1,20,23.00925302505493,0.37,0.35999999999999993,200,400,2,1,200
35,0.0762,0.0262,10.0,20,4.275428056716919,0.05,0.6799999999999999,50,50,8,1,100
36,0.4696,0.059599999999999986,10.0,10,11.62944746017456,0.41000000000000003,0.8399999999999999,100,400,1,1,200
37,0.1597,0.010300000000000004,0.1,40,39.7530951499939,0.17,0.9199999999999999,400,400,16,1,200
38,0.4567,0.0867,1.0,5,6.303951740264893,0.37,0.5199999999999999,100,200,1,1,100
39,0.14250000000000002,0.012500000000000011,10.0,5,19.46100401878357,0.13,0.35999999999999993,400,100,4,1,100
40,0.34090000000000004,0.0691,10.0,40,169.71511125564575,0.41000000000000003,0.19999999999999998,400,50,8,1,800
41,0.4,0.04999999999999999,1.0,10,173.3535282611847,0.45,0.9199999999999999,400,100,1,1,800
42,0.4597,0.009699999999999986,10.0,20,171.96235156059265,0.45,0.5199999999999999,400,200,8,1,800
43,0.3247,0.03469999999999995,0.1,40,10.321322917938232,0.29000000000000004,0.04,200,400,1,1,100
44,0.37120000000000003,0.041200000000000014,10.0,10,11.461790800094604,0.33,0.4399999999999999,200,100,2,1,100
45,0.1337,0.0363,0.1,40,23.762776613235474,0.17,0.27999999999999997,200,50,32,1,200
46,0.306,0.176,1.0,5,7.303806304931641,0.13,0.6799999999999999,50,50,16,1,200
47,0.3503,0.09970000000000001,0.1,10,44.67993211746216,0.45,0.5199999999999999,200,100,8,1,400
48,0.2333,0.17670000000000002,10.0,10,6.8643388748168945,0.41000000000000003,0.35999999999999993,50,50,2,1,200
49,0.24750000000000003,0.0024999999999999745,10.0,5,43.2184202671051,0.25,0.9199999999999999,400,200,16,1,200
