N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epsilon_msm,time_msm,calibration_batches,distance_pgabm,distance_msm
10000,10000,1,10000,0.19500385707062312,0.25,0.09540259888045265,0.22174736397558678,2.2096641063690186,0.19440000000000002,76.1439905166626,50,0.02674350690496366,0.0006038570706231039
10000,10000,1,10000,0.24299533354845487,0.25,0.08977576734135312,0.2648897379223739,1.3311731815338135,0.24130000000000001,151.28151750564575,100,0.02189440437391904,0.0016953335484548582
100,100,2,200,0.3021552414599866,0.25,0.8859979711653513,0.3076903440402467,0.08355855941772461,0.28500000000000003,0.27887487411499023,20,0.005535102580260076,0.017155241459986592
100,100,2,200,0.2747739607542813,0.25,0.5276187723115614,0.3119075609475445,0.09575319290161133,0.26880000000000004,0.6834464073181152,50,0.03713360019326323,0.005973960754281249
100,100,2,200,0.4630907133532268,0.25,0.4090908319168599,0.485611053801647,0.2549564838409424,0.4741,1.3743314743041992,100,0.022520340448420162,0.011009286646773198
100,464,2,928,0.45936671781680305,0.25,0.26889202221264585,0.46639095748505094,0.40634679794311523,0.46590000000000004,0.6895768642425537,20,0.007024239668247889,0.006533282183196987
100,464,2,928,0.19743780646177744,0.25,0.07201203516976995,0.224228469251949,0.5113184452056885,0.19060000000000002,1.7072443962097168,50,0.02679066279017156,0.006837806461777424
100,464,2,928,0.4816312642203559,0.25,0.4181361337253158,0.4782995073747874,0.3692035675048828,0.4867,3.3986239433288574,100,0.003331756845568523,0.005068735779644118
100,2154,2,4308,0.08697783334023218,0.25,0.011956119965916143,0.12527224227588402,0.45564770698547363,0.0664,4.023619174957275,20,0.038294408935651836,0.02057783334023218
100,2154,2,4308,0.06316475971981866,0.25,0.13516896033074655,0.11146255976308062,0.4340977668762207,0.0618,10.349112272262573,50,0.04829780004326195,0.0013647597198186631
100,2154,2,4308,0.06753957902336566,0.25,0.2337555756027839,0.11024852961437233,0.4856116771697998,0.0651,20.741974592208862,100,0.04270895059100667,0.002439579023365654
100,10000,2,20000,0.25283108283844835,0.25,0.09659330650197223,0.26961585576538094,5.023039102554321,0.2713,52.806320667266846,20,0.01678477292693259,0.018468917161551635
100,10000,2,20000,0.010762402637098989,0.25,0.01093829141935846,0.08514272502574961,2.0000193119049072,0.018000000000000002,132.79773950576782,50,0.07438032238865062,0.007237597362901013
100,10000,2,20000,0.4739851056088405,0.25,0.0673041054216622,0.47911193542393227,8.21789264678955,0.4675,272.2766456604004,100,0.005126829815091771,0.006485105608840469
464,100,2,200,0.41355773558536624,0.25,0.49993237109919997,0.42011425839295824,0.21115732192993164,0.3806,0.42404913902282715,20,0.006556522807592002,0.032957735585366243
464,100,2,200,0.007509490371061189,0.25,0.777098229275783,0.067471754843559,0.2090590000152588,0.0151,0.8868818283081055,50,0.059962264472497806,0.007590509628938811
464,100,2,200,0.08809812778752762,0.25,0.14360699787420927,0.15012566431515936,0.1298532485961914,0.07980000000000001,1.5795068740844727,100,0.06202753652763174,0.008298127787527615
464,464,2,928,0.1660317871834185,0.25,0.08320263643587555,0.1984811302696816,0.2733471393585205,0.16110000000000002,0.8591740131378174,20,0.0324493430862631,0.004931787183418468
464,464,2,928,0.06549842240545845,0.25,0.3992186053524538,0.11370927833933474,0.2050948143005371,0.0692,1.8019614219665527,50,0.04821085593387629,0.0037015775945415524
464,464,2,928,0.40474534606329104,0.25,0.7969622519799001,0.42107615079221516,0.33637118339538574,0.4132,3.716843366622925,100,0.01633080472892412,0.008454653936708967
464,2154,2,4308,0.17236832634164673,0.25,0.08898595121164814,0.2034555083518904,0.5804581642150879,0.1693,4.117320537567139,20,0.031087182010243686,0.003068326341646721
464,2154,2,4308,0.4700537411666836,0.25,0.3564425218882424,0.47036360650264164,2.517700672149658,0.45220000000000005,10.499186992645264,50,0.00030986533595805943,0.017853741166683534
464,2154,2,4308,0.29100708997354,0.25,0.1347715863796974,0.3061284308499647,0.6308419704437256,0.2872,21.60714554786682,100,0.015121340876424694,0.003807089973540012
464,10000,2,20000,0.43941599220592203,0.25,0.021689148761179534,0.4470786974313722,8.383784770965576,0.4359,54.817198514938354,20,0.00766270522545015,0.003515992205922025
464,10000,2,20000,0.42236722269611093,0.25,0.0016715589077006432,0.4341438300736341,7.0775041580200195,0.4252,135.53189826011658,50,0.011776607377523174,0.002832777303889089
464,10000,2,20000,0.4526961593543246,0.25,0.039865905992237875,0.4600893742867811,7.852747678756714,0.45380000000000004,277.5058877468109,100,0.007393214932456482,0.0011038406456754246
2154,100,2,200,0.22994013290840348,0.25,0.38108149129345237,0.25336525187233777,0.3288588523864746,0.2401,0.423173189163208,20,0.02342511896393429,0.010159867091596525
2154,100,2,200,0.27317340801018664,0.25,0.6593449361953647,0.29317631000027977,0.3271486759185791,0.2589,0.7888998985290527,50,0.020002901990093136,0.014273408010186617
2154,100,2,200,0.3993017955760197,0.25,0.07091840047038722,0.3941780747325119,0.1607968807220459,0.3929,1.6577177047729492,100,0.005123720843507817,0.006401795576019664
2154,464,2,928,0.14285942586707379,0.25,0.15260398704227185,0.18901152170043486,0.6488511562347412,0.1398,0.7243258953094482,20,0.04615209583336108,0.0030594258670737784
2154,464,2,928,0.24512676130996386,0.25,0.016575882900934147,0.2678830134979758,0.6390769481658936,0.25670000000000004,1.7872097492218018,50,0.022756252188011916,0.01157323869003618
2154,464,2,928,0.2995551538229392,0.25,0.11379635644740682,0.31163132131054716,0.15318894386291504,0.2942,3.58274245262146,100,0.01207616748760798,0.005355153822939163
2154,2154,2,4308,0.007766637775417862,0.25,0.3025948356592806,0.08982427029432352,1.3688342571258545,0.0329,4.109500885009766,20,0.08205763251890566,0.025133362224582137
2154,2154,2,4308,0.2967407040983186,0.25,0.18693447176180092,0.3131516382311065,0.7861063480377197,0.2968,10.774960041046143,50,0.01641093413278788,5.929590168141097e-05
2154,2154,2,4308,0.21683817449472914,0.25,0.1490372860572497,0.2410731380316432,3.3896567821502686,0.2179,21.197940349578857,100,0.024234963536914067,0.0010618255052708692
2154,10000,2,20000,0.4036802644424207,0.25,0.05579119942437725,0.4138334233080942,7.1466064453125,0.3936,54.465664863586426,20,0.010153158865673473,0.010080264442420717
2154,10000,2,20000,0.15762240154768647,0.25,0.099346046309985,0.18637528274274842,3.0784690380096436,0.1568,144.99217534065247,50,0.028752881195061947,0.0008224015476864799
2154,10000,2,20000,0.44644435426257567,0.25,0.08344865140180296,0.4528874556250822,9.184505939483643,0.4428,274.9876501560211,100,0.006443101362506531,0.003644354262575644
10000,100,2,200,0.28892860764226774,0.25,0.6996231823995839,0.3099441665641976,0.09239959716796875,0.2645,0.3400719165802002,20,0.021015558921929856,0.02442860764226773
10000,100,2,200,0.09200510081373253,0.25,0.9182585891320579,0.12434728217683255,0.08954429626464844,0.076,0.7363266944885254,50,0.03234218136310002,0.016005100813732534
10000,100,2,200,0.39396461691275214,0.25,0.03972870668308481,0.39118498909298055,0.17135834693908691,0.3498,1.4912657737731934,100,0.0027796278197715907,0.04416461691275214
10000,464,2,928,0.30601558852246696,0.25,0.07033344161552524,0.32038909251384823,0.18038320541381836,0.3024,0.7724771499633789,20,0.014373503991381265,0.0036155885224669615
10000,464,2,928,0.026954636036876478,0.25,0.4740062899880546,0.10393023968156848,0.31048583984375,0.020800000000000003,1.7887980937957764,50,0.076975603644692,0.006154636036876476
10000,464,2,928,0.2100968400005661,0.25,0.3491674129570773,0.2460869748854765,0.7035198211669922,0.2189,3.716440200805664,100,0.0359901348849104,0.008803159999433902
10000,2154,2,4308,0.3395344182827148,0.25,0.435121663012279,0.35372101771532644,0.9789576530456543,0.3723,4.374078989028931,20,0.014186599432611635,0.03276558171728522
10000,2154,2,4308,0.4593008889887629,0.25,0.22728178326145246,0.4665520464997242,2.4331276416778564,0.4677,10.633372068405151,50,0.007251157510961281,0.008399111011237081
10000,2154,2,4308,0.00020101244567871657,0.25,0.2505334772949631,0.07590891124218857,1.453094720840454,0.0076,20.6946918964386,100,0.07570789879650985,0.007398987554321283
10000,10000,2,20000,0.4883795745155298,0.25,0.08952603657312208,0.4963312903122405,10.52811861038208,0.49200000000000005,55.75214624404907,20,0.007951715796710668,0.0036204254844702244
10000,10000,2,20000,0.18829015737288723,0.25,0.044663504582369055,0.21590114109261171,2.8031139373779297,0.1826,139.86131024360657,50,0.02761098371972448,0.005690157372887222
10000,10000,2,20000,0.48689176917916127,0.25,0.0877034389270352,0.49296699889972434,12.63115119934082,0.48750000000000004,296.1105806827545,100,0.006075229720563069,0.0006082308208387732
100,100,4,400,0.3023580504870265,0.25,0.25358174937162836,0.32127019426663767,0.11627340316772461,0.3285,0.4498136043548584,20,0.018912143779611146,0.026141949512973495
100,100,4,400,0.4144229039903465,0.25,0.27380970415810857,0.42298691462360344,0.3159146308898926,0.4136,1.109029769897461,50,0.008564010633256958,0.0008229039903464574
100,100,4,400,0.28735575235405114,0.25,0.32836139008759013,0.2944666353970711,0.3469886779785156,0.29710000000000003,2.2186203002929688,100,0.007110883043019933,0.00974424764594889
100,464,4,1856,0.3140380991536752,0.25,0.5475642704809535,0.3177070428630995,0.17342209815979004,0.2901,1.2959799766540527,20,0.003668943709424277,0.023938099153675174
100,464,4,1856,0.14278814084784697,0.25,0.22012867402698122,0.18402220930580312,0.13846111297607422,0.13920000000000002,3.428640365600586,50,0.04123406845795616,0.003588140847846949
100,464,4,1856,0.2934166703280415,0.25,0.6714291710812733,0.30295503218893155,0.14876103401184082,0.29550000000000004,7.6621551513671875,100,0.009538361860890077,0.002083329671958567
100,2154,4,8616,0.37501088185132997,0.25,0.03314607307404838,0.3825131326318347,1.4004039764404297,0.37320000000000003,8.298463344573975,20,0.0075022507805047045,0.0018108818513299374
100,2154,4,8616,0.4291569182145212,0.25,0.021843146355533756,0.4326010085087052,2.2583260536193848,0.4353,23.374946117401123,50,0.0034440902941840212,0.006143081785478843
100,2154,4,8616,0.3775410942338401,0.25,0.2019943700569586,0.3877759701548597,1.1878366470336914,0.37120000000000003,42.213183879852295,100,0.010234875921019626,0.00634109423384005
100,10000,4,40000,0.3490286242236515,0.25,0.011843435177849927,0.3570125961488579,2.2984073162078857,0.33990000000000004,116.42432236671448,20,0.00798397192520639,0.00912862422365146
100,10000,4,40000,0.4322397150272999,0.25,0.019300200551129777,0.43555157591652766,5.006832838058472,0.43460000000000004,271.76392459869385,50,0.003311860889227747,0.002360284972700133
100,10000,4,40000,0.16134049841837322,0.25,0.028577104636266615,0.19046809909306217,1.8751204013824463,0.1825,568.0894708633423,100,0.029127600674688947,0.021159501581626772
464,100,4,400,0.3353943953937936,0.25,0.52580196995147,0.3510037630903537,0.12102866172790527,0.3629,0.5034325122833252,20,0.015609367696560073,0.02750560460620638
464,100,4,400,0.22543696820667458,0.25,0.07602387944210687,0.2478321873338879,0.3444821834564209,0.2204,0.996896505355835,50,0.022395219127213317,0.005036968206674569
464,100,4,400,0.1910513760157586,0.25,0.8741259355980283,0.20543266579136787,0.3740088939666748,0.2159,2.081667423248291,100,0.014381289775609263,0.024848623984241397
464,464,4,1856,0.2054056749610928,0.25,0.9511356184186921,0.23305764767611947,0.6878199577331543,0.16010000000000002,1.2725586891174316,20,0.027651972715026674,0.04530567496109278
464,464,4,1856,0.2007397917347703,0.25,0.8125073041746718,0.2249057991545103,0.6914708614349365,0.2117,3.027435064315796,50,0.02416600741974001,0.010960208265229698
464,464,4,1856,0.15869197297913845,0.25,0.2838018349468743,0.18470217123152646,0.17973780632019043,0.1728,6.180982351303101,100,0.02601019825238801,0.014108027020861558
464,2154,4,8616,0.3109596839601507,0.25,0.12252711144799432,0.31914763980674915,1.646453857421875,0.3164,7.75427770614624,20,0.008187955846598427,0.005440316039849291
464,2154,4,8616,0.21512363541063217,0.25,0.07878754039405976,0.24000767052123623,0.7089817523956299,0.22560000000000002,21.70137667655945,50,0.024884035110604052,0.010476364589367848
464,2154,4,8616,0.48690103896362613,0.25,0.12875285765730426,0.49438374307352606,5.164880990982056,0.4727,43.88618564605713,100,0.007482704109899929,0.014201038963626123
464,10000,4,40000,0.33890044571715555,0.25,0.04872017344565013,0.3490246812165355,3.998638868331909,0.32030000000000003,120.59451413154602,20,0.010124235499379963,0.018600445717155523
464,10000,4,40000,0.09928494421355544,0.25,0.015585145885949071,0.13793525722607347,4.513909339904785,0.0949,285.0745003223419,50,0.038650313012518034,0.004384944213555439
464,10000,4,40000,0.2133505046740164,0.25,0.03343983029614349,0.23567943113595846,5.791039943695068,0.22080000000000002,609.5203878879547,100,0.022328926461942067,0.007449495325983629
2154,100,4,400,0.1716731198872115,0.25,0.3259672073089859,0.19979203945808657,0.10595440864562988,0.1904,0.5644750595092773,20,0.02811891957087506,0.018726880112788502
2154,100,4,400,0.3988194019792833,0.25,0.7744772660150796,0.41896352678143717,0.25456905364990234,0.4222,1.409724235534668,50,0.020144124802153884,0.023380598020716736
2154,100,4,400,0.4399991442817159,0.25,0.3258099666132048,0.44843607326147744,0.2874302864074707,0.4479,2.8168230056762695,100,0.00843692897976156,0.007900855718284139
2154,464,4,1856,0.451920977913186,0.25,0.889827341447375,0.45611040230758254,0.8453648090362549,0.41650000000000004,1.7433454990386963,20,0.004189424394396568,0.035420977913185936
2154,464,4,1856,0.3313599061876311,0.25,0.7517077209192669,0.3450943903776152,0.18560314178466797,0.33840000000000003,4.130064964294434,50,0.013734484189984075,0.007040093812368919
2154,464,4,1856,0.1351041310148789,0.25,0.7626320954451107,0.1656654385222565,0.1643829345703125,0.13290000000000002,5.424318075180054,100,0.030561307507377594,0.002204131014878874
2154,2154,4,8616,0.12618335075229486,0.25,0.10897841888577664,0.15943175076989846,1.6583690643310547,0.13540000000000002,9.583423137664795,20,0.0332484000176036,0.009216649247705155
2154,2154,4,8616,0.4274489713487012,0.25,0.04892397921743393,0.4377271701467522,3.5408360958099365,0.4078,23.62290072441101,50,0.01027819879805103,0.019648971348701194
2154,2154,4,8616,0.2638573231543733,0.25,0.00962745579770169,0.28491949025020147,0.68825364112854,0.25420000000000004,38.639440059661865,100,0.021062167095828144,0.009657323154373287
2154,10000,4,40000,0.40108054200229903,0.25,0.016091439998512227,0.4115931562496453,7.532975673675537,0.4217,128.80422711372375,20,0.010512614247346286,0.020619457997700985
2154,10000,4,40000,0.28624425859580316,0.25,0.001855633224699721,0.3048171288196114,2.8216705322265625,0.27690000000000003,256.80036091804504,50,0.01857287022380827,0.009344258595803123
2154,10000,4,40000,0.36657126264375556,0.25,0.034692770568694985,0.37845342901062423,5.230136394500732,0.3608,513.9618897438049,100,0.011882166366868674,0.005771262643755548
10000,100,4,400,0.2595058137320279,0.25,0.6703500319361684,0.28818609211803126,0.3456108570098877,0.27190000000000003,0.38399338722229004,20,0.028680278386003344,0.012394186267972118
10000,100,4,400,0.385441955250944,0.25,0.430471782744975,0.399143465145139,0.1607670783996582,0.4132,0.8283777236938477,50,0.013701509894194996,0.02775804474905602
10000,100,4,400,0.28442899535235777,0.25,0.767788977658173,0.297101893346625,0.07179832458496094,0.2054,1.66410493850708,100,0.01267289799426724,0.07902899535235777
10000,464,4,1856,0.23285493929599044,0.25,0.5360084947395637,0.25313836827035235,0.675478458404541,0.2187,1.0361459255218506,20,0.020283428974361917,0.014154939295990432
10000,464,4,1856,0.1713444539766409,0.25,0.03985992663545257,0.20149790087320746,0.305936336517334,0.1753,2.830902099609375,50,0.03015344689656657,0.003955546023359124
10000,464,4,1856,0.03410467420835206,0.25,0.13479311796067905,0.0948458245965645,0.2780027389526367,0.0511,5.1424782276153564,100,0.06074115038821244,0.01699532579164794
10000,2154,4,8616,0.18896208966404993,0.25,0.04489702855499498,0.21430833502687777,0.8099567890167236,0.1794,7.454675912857056,20,0.02534624536282784,0.009562089664049922
10000,2154,4,8616,0.03981303884912618,0.25,0.07791638838548046,0.09389161675213137,1.2297322750091553,0.047,18.913772344589233,50,0.05407857790300519,0.007186961150873819
10000,2154,4,8616,0.4914085568652225,0.25,0.012143209479451427,0.49810459744882435,2.175286054611206,0.4793,36.504400968551636,100,0.006696040583601848,0.012108556865222497
10000,10000,4,40000,0.09080642566538188,0.25,0.030255839025018313,0.1318445985874556,2.578660011291504,0.09090000000000001,103.24411106109619,20,0.04103817292207371,9.357433461812392e-05
10000,10000,4,40000,0.4059293488602699,0.25,0.02560305137619594,0.4159782882112772,7.512233734130859,0.4045,262.16974210739136,50,0.010048939351007313,0.0014293488602698523
10000,10000,4,40000,0.43748082247794906,0.25,0.030873050600857807,0.44798064797297826,8.751020431518555,0.448,532.0810561180115,100,0.010499825495029202,0.010519177522050949
100,100,1,100,0.34420662619297165,0.25,0.43235559476434404,0.3621772706653703,0.13780736923217773,0.3572,0.40723228454589844,20,0.017970644472398656,0.012993373807028363
100,100,1,100,0.28474720637268786,0.25,0.8477004682374377,0.30694718587962655,0.3056187629699707,0.315,0.659489631652832,50,0.022199979506938694,0.030252793627312147
100,100,1,100,0.08048571840780439,0.25,0.4540590560591513,0.12133268359374762,0.0786128044128418,0.0821,1.3217151165008545,100,0.04084696518594323,0.001614281592195621
100,464,1,464,0.23344001138165316,0.25,0.015403519791920894,0.26124519876910696,0.5102529525756836,0.257,0.5294656753540039,20,0.0278051873874538,0.02355998861834685
100,464,1,464,0.1725860255776075,0.25,0.8730681484470995,0.2001148966985271,0.12405848503112793,0.17270000000000002,1.3225386142730713,50,0.027528871120919618,0.00011397442239252653
100,464,1,464,0.1125199789070423,0.25,0.6562015477440989,0.15817331912834853,0.1538083553314209,0.1114,2.666560649871826,100,0.04565334022130624,0.001119978907042296
100,2154,1,2154,0.2962559343828984,0.25,0.764162526135999,0.3063038088259364,0.48326873779296875,0.2983,2.87351131439209,20,0.010047874443038007,0.0020440656171016314
100,2154,1,2154,0.15613491885095848,0.25,0.8837285914891845,0.18243119556118054,0.5224514007568359,0.1496,6.500272035598755,50,0.026296276710222055,0.006534918850958471
100,2154,1,2154,0.45815277673417537,0.25,0.047272408093674285,0.46025200180122106,1.6706194877624512,0.4571,12.984956502914429,100,0.0020992250670456847,0.0010527767341753647
100,10000,1,10000,0.45481776247577854,0.25,0.047014372818202914,0.4564880070194509,6.759777545928955,0.443,33.29518103599548,20,0.0016702445436723723,0.011817762475778537
100,10000,1,10000,0.1285591468910981,0.25,0.01266868869126796,0.16122542748069363,2.262547731399536,0.12300000000000001,79.1368567943573,50,0.03266628058959553,0.005559146891098085
100,10000,1,10000,0.0554456503720146,0.25,0.08433157720649019,0.09995629612804077,2.532650947570801,0.0536,162.51458835601807,100,0.044510645756026174,0.001845650372014597
464,100,1,100,0.09648136600955642,0.25,0.863829145501452,0.1452177818881999,0.3081822395324707,0.0631,0.3099839687347412,20,0.04873641587864347,0.03338136600955642
464,100,1,100,0.24979208533944303,0.25,0.0816239827150681,0.2815013022741856,0.30905914306640625,0.219,0.7398049831390381,50,0.0317092169347426,0.030792085339443026
464,100,1,100,0.3642928339872981,0.25,0.4731119528858785,0.35943148952516185,0.14544320106506348,0.35900000000000004,1.3120713233947754,100,0.004861344462136263,0.005292833987298073
464,464,1,464,0.10409721920439574,0.25,0.12554310980872363,0.13990113349040453,0.19656085968017578,0.069,0.5329105854034424,20,0.03580391428600879,0.035097219204395735
464,464,1,464,0.12401677918861537,0.25,0.7728856021671178,0.16062915429414779,0.1844940185546875,0.1285,1.5783145427703857,50,0.03661237510553242,0.004483220811384636
464,464,1,464,0.4258359374681835,0.25,0.8414221567958434,0.4252515762577069,0.34944581985473633,0.4233,2.876187562942505,100,0.0005843612104766138,0.00253593746818348
464,2154,1,2154,0.20792435913376367,0.25,0.04019585718306276,0.23168743380346798,2.751283645629883,0.1942,2.8947196006774902,20,0.023763074669704315,0.013724359133763658
