ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,estimated_epsilon_plus,estimated_epsilon_minus,time_calibration,distance_epsilon_plus,distance_epsilon_minus
1,400,1,2,16,0.30997703598409354,0.31092821390573255,0.3952951568764994,0.44615390172990843,16,0.2257,0.27890000000000004,9.897049903869629,0.08427703598409353,0.03202821390573252
1,400,1,2,32,0.6001203409609549,0.8801687596379141,0.42193369514853163,0.4578228964409479,16,0.5206000000000001,0.9564,13.174285411834717,0.07952034096095484,0.07623124036208595
1,400,1,2,64,0.22409861608920922,0.9558244259345869,0.1727943887929549,0.1421462521061861,16,0.2477,0.9585,20.43058943748474,0.02360138391079078,0.0026755740654130777
1,400,1,2,128,0.27240275993019525,0.8798614829255955,0.10765909478656516,0.11449896187688796,16,0.22940000000000002,0.8171,34.21041774749756,0.04300275993019523,0.06276148292559547
1,400,1,2,256,0.518095881253945,0.8551240481662999,0.26180343597124617,0.32240209492580507,16,0.5005000000000001,0.7324,62.44730544090271,0.017595881253944956,0.12272404816629989
1,400,1,4,16,0.044800576999512454,0.9208324665750431,0.17373075205315158,0.028964656061217953,16,0.0025,0.8687,9.836947202682495,0.04230057699951245,0.05213246657504311
1,400,1,4,32,0.14762244868320673,0.6162539823964343,0.38746333802721267,0.13650109784888048,16,0.19060000000000002,0.6614,13.169264554977417,0.04297755131679329,0.045146017603565736
1,400,1,4,64,0.2451374247120115,0.4710879041473198,0.42903555849685443,0.32060463619057616,16,0.32980000000000004,0.46780000000000005,20.428362131118774,0.08466257528798854,0.0032879041473197756
1,400,1,4,128,0.1218874460503353,0.20870064020887824,0.09284609576881608,0.42803950866079477,16,0.1327,0.4344,34.13515257835388,0.01081255394966471,0.22569935979112177
1,400,1,4,256,0.06865822680913092,0.8895280668675112,0.12006700809973958,0.28599241052893837,16,0.0238,0.9777,61.929083585739136,0.044858226809130916,0.08817193313248883
1,400,1,8,16,0.05108915116178414,0.49995546524649925,0.12948226751635383,0.07439909828988372,16,0.0033,0.7611,9.764539003372192,0.047789151161784144,0.26114453475350075
1,400,1,8,32,0.4726302698939424,0.7135316377921643,0.3548662842841474,0.14119739370112883,16,0.6303000000000001,0.9902000000000001,13.550859212875366,0.15766973010605767,0.27666836220783575
1,400,1,8,64,0.3275287317440847,0.8341460149475944,0.20242081415864116,0.07265609333180434,16,0.41250000000000003,0.7446,20.34170126914978,0.08497126825591533,0.0895460149475944
1,400,1,8,128,0.8448641456863848,0.8664332151029587,0.19645190755023395,0.3935987430992566,16,0.9529000000000001,0.9757,34.952433347702026,0.10803585431361529,0.10926678489704134
1,400,1,8,256,0.5941860861169374,0.8653277075677835,0.1094382863477622,0.19435502910864966,16,0.6429,0.8827,62.71271824836731,0.048713913883062676,0.017372292432216496
1,400,1,16,16,0.09290983524721907,0.1318222998551255,0.3260367371596694,0.2069614545761932,16,0.2587,0.2908,10.018545150756836,0.1657901647527809,0.1589777001448745
1,400,1,16,32,0.7085464236227764,0.8169239326969505,0.4900915197543977,0.12227371420136951,16,0.7393000000000001,0.7621,13.331300973892212,0.030753576377223646,0.05482393269695052
1,400,1,16,64,0.19123039473433134,0.6874705822201539,0.1325473521987688,0.10561059776492365,16,0.1511,0.6276,20.45040249824524,0.04013039473433133,0.059870582220153845
1,400,1,16,128,0.8387318323214356,0.884499652689163,0.24319784767379904,0.0744041024144323,16,0.8390000000000001,0.8763000000000001,34.02076029777527,0.0002681676785645237,0.008199652689162895
1,400,1,16,256,0.10854330081282737,0.12200605174801105,0.3258878757196833,0.4588148620098912,16,0.11560000000000001,0.2076,61.94598340988159,0.007056699187172638,0.08559394825198896
1,400,4,2,16,0.6597111450641224,0.6722838614750181,0.181518934430484,0.06531034879281039,16,0.47550000000000003,0.5327000000000001,10.616315364837646,0.1842111450641224,0.139583861475018
1,400,4,2,32,0.7219370669937287,0.9552139487842125,0.4868470053381416,0.14026749333559263,16,0.3362,0.8459,14.689622163772583,0.3857370669937287,0.10931394878421252
1,400,4,2,64,0.4448397638769479,0.611257516524245,0.06413479989578424,0.25294839165075456,16,0.5291,0.676,23.33950686454773,0.08426023612305211,0.06474248347575506
1,400,4,2,128,0.13948942311442158,0.7295419416697024,0.003608145099889104,0.325546109811281,16,0.0367,0.6414000000000001,40.180636405944824,0.10278942311442157,0.08814194166970235
1,400,4,2,256,0.5286204975032498,0.9850487133129662,0.4143836389693871,0.016637178012222475,16,0.6606000000000001,0.8279000000000001,74.30109071731567,0.13197950249675028,0.1571487133129661
1,400,4,4,16,0.04462283034955228,0.7318442124383616,0.30737974770149623,0.2718954194383415,16,0.065,0.7642,10.53829050064087,0.020377169650447724,0.03235578756163837
1,400,4,4,32,0.044555746999722534,0.5939253885927273,0.26212978753730665,0.00400761491232049,16,0.0994,0.6653,14.915489435195923,0.05484425300027747,0.07137461140727275
1,400,4,4,64,0.010042542741458105,0.9373920562100224,0.3427368644122615,0.3053244427974766,16,0.0826,0.6053000000000001,23.35806632041931,0.0725574572585419,0.33209205621002236
1,400,4,4,128,0.12820108594904567,0.3312358467752051,0.22402461251591077,0.37408282172124574,16,0.3095,0.48310000000000003,40.657049894332886,0.18129891405095433,0.1518641532247949
1,400,4,4,256,0.5014279569798648,0.7345931318507829,0.3991037322889682,0.28382797335610854,16,0.5217,0.7927000000000001,74.3769178390503,0.0202720430201353,0.05810686814921717
