,N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epsilon_calibration,time_calibration,distance_pgabm_real,distance_calibration_real,compare_all_s,calibration_batches
0,100,100,1,100,0.4399991442817159,0.475960488956593,0.6627198123752622,0.4203157008505483,0.05572199821472168,0.40700000000000003,1.406503438949585,0.01968344343116757,0.03299914428171585,True,10
1,100,100,1,100,0.4399991442817159,0.475960488956593,0.6627198123752622,0.4428654041767775,0.046155691146850586,0.4318,1.7872800827026367,0.002866259895061618,0.008199144281715864,False,10
2,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.2890181015889652,0.049660682678222656,0.3143,2.7813849449157715,0.019554355221396758,0.005727543189638085,True,20
3,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.28172751860561046,0.05279731750488281,0.2898,4.576035261154175,0.02684493820475148,0.018772456810361937,False,20
4,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3024907955671821,0.04700899124145508,0.36150000000000004,8.261910915374756,0.006081661243179826,0.052927543189638104,True,50
5,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.28946852190114036,0.04820108413696289,0.30910000000000004,8.937826871871948,0.019103934909221576,0.0005275431896381022,False,50
6,100,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3111650563009586,0.04719686508178711,0.332,2.5701959133148193,0.0025925994905966476,0.023427543189638078,True,10
7,100,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.28511066126665024,0.05087423324584961,0.2907,3.4396915435791016,0.023461795543711694,0.017872456810361925,False,10
8,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.054659029179234965,0.3921854496002197,0.0601,5.149109840393066,0.012880549844130694,0.007439579023365658,True,20
9,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05499999600890019,0.36067748069763184,0.0697,6.883637428283691,0.01253958301446547,0.002160420976634339,False,20
10,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05887042750048657,0.3460273742675781,0.0636,15.661019086837769,0.008669151522879087,0.003939579023365655,True,50
11,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.057426079121339374,0.3289198875427246,0.0711,17.171380519866943,0.010113499902026285,0.0035604209766343375,False,50
12,100,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.060737112306171265,0.3534202575683594,0.064,5.13285231590271,0.006802466717194394,0.0035395790233656577,True,10
13,100,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05034893742377944,0.4146101474761963,0.0533,7.922778606414795,0.01719064159958622,0.014239579023365659,False,10
14,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.11490918344779899,0.2341446876525879,0.1197,11.162843465805054,0.01723955791565135,0.012448741363450339,True,20
15,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12740683803552053,0.19698858261108398,0.14020000000000002,13.95754361152649,0.004741903327929814,0.00805125863654968,False,20
16,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.11813166273596118,0.23350262641906738,0.1317,27.698865175247192,0.01401707862748916,0.0004487413634503279,True,50
17,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12467221757638466,0.19966626167297363,0.1316,36.83255171775818,0.007476523787065675,0.0005487413634503446,False,50
18,100,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12246708316225337,0.3109416961669922,0.13040000000000002,10.648730039596558,0.009681658201196972,0.0017487413634503235,True,10
19,100,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12651256468262426,0.2961282730102539,0.14150000000000001,14.710891723632812,0.005636176680826083,0.009351258636549675,False,10
20,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3702189246972676,0.07095479965209961,0.3788,22.388774156570435,0.01701970831027222,0.008438633007539775,True,20
21,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3762132709628757,0.06934022903442383,0.3846,29.325233459472656,0.011025362044664089,0.0026386330075398035,False,20
22,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.375071045947775,0.07408714294433594,0.3836,53.2127366065979,0.012167587059764784,0.0036386330075398043,True,50
23,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.36973452632380976,0.07656550407409668,0.3952,73.23803377151489,0.017504106683730036,0.007961366992460195,False,50
24,215,100,1,100,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3794513964167232,0.0488581657409668,0.43010000000000004,1.4325528144836426,0.007787236590816593,0.04286136699246024,True,10
25,215,100,1,100,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3673104181721798,0.04543328285217285,0.3788,1.7738828659057617,0.019928214835360003,0.008438633007539775,False,10
26,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.33396724592366367,0.0428774356842041,0.3627,2.765739679336548,0.02539478911330173,0.05412754318963808,True,20
27,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.31715411033462987,0.04483532905578613,0.3247,3.564992904663086,0.00858165352426793,0.01612754318963805,False,20
28,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.2674144091775162,0.0712592601776123,0.28350000000000003,6.9757399559021,0.04115804763284575,0.02507245681036191,True,50
29,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3000556012253962,0.04648256301879883,0.2828,8.87029504776001,0.008516855584965732,0.025772456810361943,False,50
30,215,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3059436276866995,0.04561114311218262,0.3264,2.5577027797698975,0.002628829123662413,0.017827543189638084,True,10
31,215,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.2931744723391867,0.044959068298339844,0.30560000000000004,3.4161877632141113,0.015397984471175241,0.002972456810361901,False,10
32,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.060120214005709695,0.31031274795532227,0.07050000000000001,5.137824058532715,0.007419365017655964,0.002960420976634348,True,20
33,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05980864394560954,0.32206058502197266,0.0674,6.837175369262695,0.007730935077756122,0.00013957902336565742,False,20
34,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05699748790429859,0.36588048934936523,0.06420000000000001,12.909330606460571,0.010542091119067072,0.003339579023365652,True,50
35,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05451733294557309,0.3523271083831787,0.059300000000000005,17.1004536151886,0.013022246077792572,0.008239579023365654,False,50
36,215,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.06424015512952896,0.32275891304016113,0.0761,5.105377912521362,0.003299423893836695,0.008560420976634342,True,10
