,epsilon,mu,epsilon_sim,mu_sim,distance_epsilon,distance_mu,time_sim,calibration_batches,ensemble_size
0,0.1905080620311071,0.7498583107261434,0.13670000000000002,0.93,0.05380806203110708,0.18014168927385665,2.1081950664520264,50,1
1,0.1905080620311071,0.7498583107261434,0.1394,0.8300000000000001,0.0511080620311071,0.08014168927385668,3.7761266231536865,50,2
2,0.1905080620311071,0.7498583107261434,0.1487,0.5700000000000001,0.041808062031107096,0.17985831072614333,7.680782079696655,50,4
3,0.1905080620311071,0.7498583107261434,0.129,0.65,0.06150806203110709,0.09985831072614337,4.158217430114746,100,1
4,0.1905080620311071,0.7498583107261434,0.1534,0.66,0.037108062031107086,0.08985831072614336,7.861397743225098,100,2
5,0.1905080620311071,0.7498583107261434,0.1336,0.92,0.0569080620311071,0.17014168927385664,15.758073329925537,100,4
6,0.1905080620311071,0.7498583107261434,0.151,0.56,0.0395080620311071,0.18985831072614334,9.383020162582397,200,1
7,0.1905080620311071,0.7498583107261434,0.14750000000000002,0.48,0.043008062031107075,0.2698583107261434,15.855556964874268,200,2
8,0.1905080620311071,0.7498583107261434,0.1369,0.96,0.0536080620311071,0.21014168927385657,31.67561149597168,200,4
9,0.1905080620311071,0.7498583107261434,0.1346,0.79,0.0559080620311071,0.04014168927385664,2.1311147212982178,50,1
10,0.1905080620311071,0.7498583107261434,0.14850000000000002,0.97,0.042008062031107074,0.22014168927385658,3.830176591873169,50,2
11,0.1905080620311071,0.7498583107261434,0.1381,0.85,0.052408062031107094,0.10014168927385658,8.375099420547485,50,4
12,0.1905080620311071,0.7498583107261434,0.1399,0.87,0.0506080620311071,0.1201416892738566,4.136008262634277,100,1
13,0.1905080620311071,0.7498583107261434,0.1418,0.84,0.048708062031107086,0.09014168927385657,8.100438594818115,100,2
14,0.1905080620311071,0.7498583107261434,0.1728,0.75,0.017708062031107086,0.00014168927385660446,15.389615058898926,100,4
15,0.1905080620311071,0.7498583107261434,0.1368,0.8,0.05370806203110709,0.05014168927385665,8.294517993927002,200,1
16,0.1905080620311071,0.7498583107261434,0.1394,0.8300000000000001,0.0511080620311071,0.08014168927385668,16.511588096618652,200,2
17,0.1905080620311071,0.7498583107261434,0.169,0.75,0.021508062031107084,0.00014168927385660446,32.77336502075195,200,4
18,0.1905080620311071,0.7498583107261434,0.1559,0.67,0.034608062031107084,0.07985831072614336,2.000802993774414,50,1
