N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,epsilon_estimated,time,num_epochs,X0_mse,real_epsilon,mu,rho,distance_epsilon
100,20,4,5,nadam,0.01,simple_BC,0.31193529220784133,0.05166435241699219,136,,0.33367421747465714,0.4903787362789922,15,0.02173892526681581
100,20,4,5,nadam,0.01,BC_with_evidence,0.17107287769000074,5.943501710891724,201,0.11279575526714325,0.33367421747465714,0.4903787362789922,15,0.1626013397846564
100,20,4,5,nadam,0.01,BC_observed_positive,0.3138236919836457,0.5308716297149658,201,,0.33367421747465714,0.4903787362789922,15,0.01985052549101146
100,20,4,25,adam,0.0001,simple_BC,0.2537455609845792,0.08898353576660156,201,,0.33367421747465714,0.4903787362789922,15,0.07992865649007797
100,20,4,25,adam,0.0001,BC_with_evidence,0.24613710641603923,4.310341119766235,201,0.17593397200107574,0.33367421747465714,0.4903787362789922,15,0.08753711105861792
100,20,4,25,adam,0.0001,BC_observed_positive,0.25373159670442763,0.531580924987793,201,,0.33367421747465714,0.4903787362789922,15,0.07994262077022951
100,20,4,25,adam,0.0005,simple_BC,0.26855334223586885,0.07008719444274902,201,,0.33367421747465714,0.4903787362789922,15,0.06512087523878829
100,20,4,25,adam,0.0005,BC_with_evidence,0.2322532558777819,4.326827526092529,201,0.1475091576576233,0.33367421747465714,0.4903787362789922,15,0.10142096159687525
100,20,4,25,adam,0.0005,BC_observed_positive,0.2685870089450268,0.5098178386688232,201,,0.33367421747465714,0.4903787362789922,15,0.06508720852963035
100,20,4,25,adam,0.001,simple_BC,0.2862505819540046,0.06847023963928223,201,,0.33367421747465714,0.4903787362789922,15,0.04742363552065254
100,20,4,25,adam,0.001,BC_with_evidence,0.21315922935460574,5.1553356647491455,201,0.14985069632530212,0.33367421747465714,0.4903787362789922,15,0.1205149881200514
100,20,4,25,adam,0.001,BC_observed_positive,0.2861026968088841,0.5453534126281738,201,,0.33367421747465714,0.4903787362789922,15,0.047571520665773026
100,20,4,25,adam,0.005,simple_BC,0.3453922083028154,0.07239127159118652,201,,0.33367421747465714,0.4903787362789922,15,0.011717990828158276
100,20,4,25,adam,0.005,BC_with_evidence,0.1280116801578823,4.395547151565552,201,0.10782205313444138,0.33367421747465714,0.4903787362789922,15,0.20566253731677483
100,20,4,25,adam,0.005,BC_observed_positive,0.3514671095869752,0.5103018283843994,201,,0.33367421747465714,0.4903787362789922,15,0.01779289211231805
100,20,4,25,adam,0.01,simple_BC,0.3455281622934954,0.0726165771484375,201,,0.33367421747465714,0.4903787362789922,15,0.01185394481883828
100,20,4,25,adam,0.01,BC_with_evidence,0.07305655561743604,4.400535583496094,201,0.0815548449754715,0.33367421747465714,0.4903787362789922,15,0.26061766185722113
100,20,4,25,adam,0.01,BC_observed_positive,0.3526854093278227,0.5356602668762207,201,,0.33367421747465714,0.4903787362789922,15,0.019011191853165577
100,20,4,25,RMSprop,0.0001,simple_BC,0.25594344473501596,0.0657045841217041,201,,0.33367421747465714,0.4903787362789922,15,0.07773077273964119
100,20,4,25,RMSprop,0.0001,BC_with_evidence,0.2441764276820418,5.469658851623535,201,0.15378303825855255,0.33367421747465714,0.4903787362789922,15,0.08949778979261533
100,20,4,25,RMSprop,0.0001,BC_observed_positive,0.25594804508096375,0.5292503833770752,201,,0.33367421747465714,0.4903787362789922,15,0.0777261723936934
100,20,4,25,RMSprop,0.0005,simple_BC,0.279434783629809,0.07210755348205566,201,,0.33367421747465714,0.4903787362789922,15,0.05423943384484814
100,20,4,25,RMSprop,0.0005,BC_with_evidence,0.22173778537121328,5.136143684387207,201,0.16970285773277283,0.33367421747465714,0.4903787362789922,15,0.11193643210344387
100,20,4,25,RMSprop,0.0005,BC_observed_positive,0.279373728445464,0.5765237808227539,201,,0.33367421747465714,0.4903787362789922,15,0.054300489029193155
100,20,4,25,RMSprop,0.001,simple_BC,0.30633371163225503,0.07507467269897461,201,,0.33367421747465714,0.4903787362789922,15,0.027340505842402107
100,20,4,25,RMSprop,0.001,BC_with_evidence,0.1901086000001805,4.52288818359375,201,0.16036859154701233,0.33367421747465714,0.4903787362789922,15,0.14356561747447663
100,20,4,25,RMSprop,0.001,BC_observed_positive,0.30626257867181905,0.5344259738922119,201,,0.33367421747465714,0.4903787362789922,15,0.02741163880283809
100,20,4,25,RMSprop,0.005,simple_BC,0.3455284866907234,0.054595947265625,160,,0.33367421747465714,0.4903787362789922,15,0.011854269216066249
100,20,4,25,RMSprop,0.005,BC_with_evidence,0.11208897081613359,4.136929512023926,201,0.07311641424894333,0.33367421747465714,0.4903787362789922,15,0.22158524665852355
100,20,4,25,RMSprop,0.005,BC_observed_positive,0.3514096504361054,0.5295073986053467,201,,0.33367421747465714,0.4903787362789922,15,0.01773543296144825
100,20,4,25,RMSprop,0.01,simple_BC,0.3455300629659906,0.02212834358215332,75,,0.33367421747465714,0.4903787362789922,15,0.01185584549133345
100,20,4,25,RMSprop,0.01,BC_with_evidence,0.2523524345281101,5.166632890701294,201,0.044138383120298386,0.33367421747465714,0.4903787362789922,15,0.08132178294654702
100,20,4,25,RMSprop,0.01,BC_observed_positive,0.3499405185041729,0.5200049877166748,201,,0.33367421747465714,0.4903787362789922,15,0.01626630102951576
100,20,4,25,adagrad,0.0001,simple_BC,0.2505035869863156,0.0711205005645752,201,,0.33367421747465714,0.4903787362789922,15,0.08317063048834156
100,20,4,25,adagrad,0.0001,BC_with_evidence,0.24949630304629805,6.216418743133545,201,0.15693625807762146,0.33367421747465714,0.4903787362789922,15,0.08417791442835909
100,20,4,25,adagrad,0.0001,BC_observed_positive,0.25050141951096433,0.5610225200653076,201,,0.33367421747465714,0.4903787362789922,15,0.08317279796369281
