ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,epsilon_plus_msm,epsilon_minus_msm,time_msm,abs_error_msm_plus,abs_error_msm_minus,rel_error_msm_plus,rel_error_msm_minus,epsilon_plus_pgabm,epsilon_minus_pgabm,time_pgabm,abs_error_pgabm_plus,abs_error_pgabm_minus,rel_error_pgabm_plus,rel_error_pgabm_minus,X0_r2,X0_mae,X0_mse
1,400,1,4,16,0.03487276202947609,0.7542085067642167,0.1,0.1,16,0.08721000000000001,0.8984799999981865,7.581449270248413,0.05233723797052392,0.14427149323396982,1.5008056409838153,0.19128860512716608,0.23143117813415087,0.8533237733098299,2.1764323711395264,0.19655841610467478,0.0991152665456132,5.636445313351848,0.13141626706233767,-0.12116038799285889,0.3295143246650696,0.16896866261959076
1,400,1,4,32,0.07246213314567873,0.5383843145645564,0.1,0.1,16,0.12971000000000002,0.551189999999767,10.363341093063354,0.05724786685432129,0.012805685435210656,0.7900383879015748,0.023785398438971716,0.14723541801122544,0.8707232210478275,4.340682506561279,0.07477328486554671,0.33233890648327113,1.0318946133592508,0.6172893553781668,0.20835024118423462,0.28422001004219055,0.12284199893474579
1,400,1,4,64,0.1317234942730553,0.7982807374361278,0.1,0.1,16,0.15771000000000002,0.765659999998791,15.685355186462402,0.02598650572694472,0.032620737437336844,0.19728071951292284,0.04086374117219244,0.15469669799096672,0.9124812157157258,8.888091564178467,0.022973203717911422,0.114200478279598,0.17440475478345024,0.14305804076693687,0.34974807500839233,0.2228166162967682,0.09563657641410828
1,400,1,4,128,0.2414800230626583,0.8029873835470529,0.1,0.1,16,0.31692000000000004,0.9964599999977406,26.844581842422485,0.07543997693734172,0.1934726164506877,0.31240669923974146,0.24094104143462014,0.26527615290002626,0.975835550915707,18.45177149772644,0.023796129837367952,0.17284816736865405,0.09854285060753627,0.21525639245429765,0.6709147691726685,0.13487304747104645,0.03537655249238014
1,400,1,4,256,0.4553424967962305,0.7524044602839567,0.1,0.1,16,0.49055000000000004,0.7075999999990552,49.16223931312561,0.03520750320376953,0.04480446028490148,0.07732092535067109,0.059548371454353585,0.49079163795057806,0.828391263096331,40.0678231716156,0.03544914115434755,0.07598680281237435,0.07785159831064777,0.100991962200353,0.839755654335022,0.08456417918205261,0.014051586389541626
1,400,1,4,512,0.23639000579718022,0.894454766473538,0.1,0.1,16,0.13244,0.9001699999981788,92.75239372253418,0.10395000579718022,0.0057152335246407615,0.43973942742049793,0.006389628339925497,0.23117475275830546,0.9353191015390225,103.37770342826843,0.0052152530388747675,0.04086433506548448,0.022062070777008193,0.04568630700755892,0.9545402526855469,0.054306551814079285,0.004807332530617714
1,400,1,8,16,0.40508506604495603,0.7543997988781603,0.1,0.1,16,0.49181,0.9646699999978853,8.689997673034668,0.08672493395504399,0.21027020111972494,0.21409067187240946,0.2787251553253459,0.476456409554088,0.9569301877552878,2.6275901794433594,0.07137134350913199,0.2025303888771275,0.17618853295670805,0.26846559235342166,0.43722963333129883,0.23762281239032745,0.09458714723587036
1,400,1,8,32,0.31499109772040185,0.9378010227724859,0.1,0.1,16,0.46564000000000005,0.5058699999999733,10.599570035934448,0.1506489022795982,0.4319310227725126,0.4782639997442719,0.4605785366874149,0.48531803389455996,0.9868186705162567,4.403991460800171,0.17032693617415812,0.04901764774377082,0.5407357141418225,0.052268707917225946,0.4062964916229248,0.20568805932998657,0.08175849169492722
1,400,1,8,64,0.07900041744618258,0.7463014509317081,0.1,0.1,16,0.00774,0.6338499999993908,15.985460042953491,0.07126041744618258,0.11245145093231723,0.9020258341638168,0.15067832280364593,0.08527097384541275,0.7842781596944223,8.854022026062012,0.006270556399230173,0.037976708762714195,0.07937371221489889,0.05088655357068217,0.6361755728721619,0.15945293009281158,0.04487726837396622
1,400,1,8,128,0.017123622722135023,0.6310504874470134,0.1,0.1,16,0.00606,0.7492799999988655,26.845802545547485,0.011063622722135024,0.1182295125518521,0.646102924694406,0.1873534921590237,0.03143802740741312,0.7051084723220536,18.440608501434326,0.014314404685278094,0.07405798487504023,0.8359448767096717,0.117356671689852,0.7947052717208862,0.10627628117799759,0.020338959991931915
1,400,1,8,256,0.4235610056746172,0.542362501322111,0.1,0.1,16,0.45733,0.5150799999999314,48.82789993286133,0.03376899432538283,0.027282501322179575,0.07972640038380782,0.05030307452243348,0.470684191837459,0.5817713315995608,39.70529127120972,0.047123186162841835,0.0394088302774499,0.11125477919712522,0.07266142143194532,0.8648363947868347,0.08416290581226349,0.01490800827741623
1,400,1,8,512,0.23802459857495634,0.7494879406931887,0.1,0.1,16,0.29511000000000004,0.7612999999988108,93.89046931266785,0.0570854014250437,0.011812059305622125,0.23982984013758113,0.01576017259823734,0.24835279583732672,0.8001443215498248,160.95069575309753,0.010328197262370387,0.05065638085663615,0.043391302093165524,0.06758798655223848,0.9406270384788513,0.05972915142774582,0.0058197746984660625
1,400,1,16,16,0.03952608518856893,0.7190921080879792,0.1,0.1,16,0.15841000000000002,0.5620999999997174,7.580697059631348,0.1188839148114311,0.1569921080882618,3.0077331019317013,0.21831988742818215,0.008357632434127262,0.8297627245557906,2.1572654247283936,0.031168452754441665,0.1106706164678114,0.7885540044187246,0.15390325553993026,0.48466819524765015,0.22449368238449097,0.07916325330734253
1,400,1,16,32,0.4175025942857847,0.6484697256579723,0.1,0.1,16,0.32030000000000003,0.5904899999995882,10.433135271072388,0.09720259428578465,0.05797972565838416,0.23281913841054724,0.08941007322979466,0.397638764278341,0.82537648589683,4.923111438751221,0.019863830007443684,0.17690676023885765,0.04757774030464274,0.27280650620868774,0.7443345785140991,0.13886022567749023,0.03420783206820488
1,400,1,16,64,0.06060252086640905,0.5335017323218905,0.1,0.1,16,0.15192,0.7011699999990845,17.292715549468994,0.09131747913359095,0.167668267677194,1.5068264129620832,0.31427876896945234,0.08540256420066245,0.5496700470102391,8.849644660949707,0.024800043334253397,0.016168314688348673,0.40922461606707916,0.030306020972005868,0.6844005584716797,0.12449775636196136,0.03486846387386322
1,400,1,16,128,0.28746471933245293,0.6246310321836659,0.1,0.1,16,0.19308000000000003,0.6672699999992387,26.79956364631653,0.0943847193324529,0.04263896781557286,0.32833496768449344,0.06826264725674938,0.29537586175400715,0.6542343391872762,18.465032815933228,0.007911142421554218,0.029603307003610357,0.027520394293690638,0.047393269751775366,0.9082050323486328,0.07233739644289017,0.009011193178594112
1,400,1,16,256,0.15182554036506435,0.9270560888106475,0.1,0.1,16,0.09994000000000001,0.9710299999978563,57.7664589881897,0.051885540365064334,0.043973911187208836,0.3417444801467896,0.04743392737285669,0.14607473103612303,0.9667237192629321,43.88012456893921,0.005750809328941314,0.03966763045228461,0.037877746491884697,0.04278881389277707,0.9228943586349487,0.06528082489967346,0.006780780386179686
1,400,1,16,512,0.4220561565066454,0.5244133223955872,0.1,0.1,16,0.37807,0.5100299999999544,92.64866757392883,0.04398615650664539,0.014383322395632891,0.10421872973188774,0.027427454226235198,0.4197705519588852,0.5467852535959045,149.1649625301361,0.0022856045477602227,0.02237193120031722,0.0054154038805597545,0.04266087501003859,0.951282799243927,0.05496286228299141,0.0051713306456804276
1,400,4,4,16,0.3847172423683775,0.8566616234010613,0.1,0.1,16,0.48435000000000006,0.7664699999987873,8.838906288146973,0.09963275763162255,0.09019162340227405,0.2589765850323428,0.10528267047168663,0.39404050875309377,0.8027063737142313,73.58209013938904,0.009323266384716256,0.053955249686830076,0.024234074686439365,0.06298315252248667,-0.09377825260162354,0.31651923060417175,0.16560974717140198
1,400,4,4,32,0.008697459650658768,0.9400192406866271,0.1,0.1,16,0.0714,0.8780299999982796,12.575107097625732,0.06270254034934124,0.06198924068834755,7.209293617659036,0.06594465092338765,0.05839987812464286,0.9786479786717861,7.536601543426514,0.04970241847398409,0.03862873798515898,5.714590290766052,0.04109356097535091,0.17473435401916504,0.26365700364112854,0.10954319685697556
1,400,4,4,64,0.4651006074399059,0.5705532780159237,0.1,0.1,16,0.36987000000000003,0.6917399999991274,18.268770933151245,0.09523060743990586,0.12118672198320368,0.2047527049342981,0.21240211326911604,0.4394982072392757,0.5371914151183892,10.24622130393982,0.025602400200630204,0.03336186289753451,0.05504701518571593,0.05847282661059991,0.026125669479370117,0.2144736647605896,0.09096530824899673
1,400,4,4,128,0.43809062686948874,0.6863411369321564,0.1,0.1,16,0.48200000000000004,0.6620799999992624,31.868844032287598,0.0439093731305113,0.024261136932894,0.10022897190081245,0.03534851056915764,0.4369152160439688,0.6735928421485754,22.477547883987427,0.001175410825519918,0.012748294783580971,0.002683031211873163,0.018574283395810964,0.5352835655212402,0.15082235634326935,0.05268885940313339
1,400,4,4,256,0.01253364116589667,0.8668129176634605,0.1,0.1,16,0.058280000000000005,0.9954299999977453,60.72101831436157,0.045746358834103336,0.12861708233428482,3.6498857936492226,0.14837928659505778,0.021094227549238214,0.9553162252645013,41.084370613098145,0.008560586383341545,0.08850330760104086,0.6830087338573579,0.10210197125304288,0.8747854828834534,0.0843997448682785,0.011967304162681103
1,400,4,4,512,0.17026617416278472,0.5274215673845837,0.1,0.1,16,0.20018000000000002,0.5815799999996287,114.61655306816101,0.029913825837215302,0.05415843261504505,0.17568860041816575,0.10268528244608921,0.16572404005714325,0.5760578656029595,231.38544511795044,0.004542134105641471,0.048636298218375784,0.02667666744716374,0.09221522445423874,0.8092108368873596,0.12022942304611206,0.027045059949159622
1,400,4,8,16,0.19502190349484577,0.6350442400744065,0.1,0.1,16,0.22453,0.530969999999859,8.941172122955322,0.029508096505154235,0.10407424007454746,0.1513065762171381,0.16388502328964255,0.1765711552108091,0.7439876968104849,6.6748268604278564,0.018450748284036672,0.10894345673607841,0.09460859500083951,0.17155254683250695,0.20973879098892212,0.2479258030653,0.10953546315431595
