ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,X0_r2,X0_mae,X0_mse,num_epochs
1,200,1,4,16,0.4336314524995259,0.1,16,0.32394,2.759150981903076,0.1096914524995259,0.2529600928789773,0.32262385039082,1.1294264793395996,0.1110076021087059,0.2559952731030905,-0.0976397991180419,0.3679235577583313,0.1992362588644027,201.0
1,200,1,4,32,0.4186527740754483,0.1,16,0.35828,3.664384126663208,0.0603727740754482,0.1442072710703407,0.4835556092794472,2.1407759189605717,0.0649028352039989,0.1550278398305855,-0.0033048391342163,0.330534279346466,0.1659936308860778,201.0
1,200,1,4,64,0.0584520803752013,0.1,16,0.06221,5.467124938964844,0.0037579196247986,0.06429060523897,0.0437978336717414,3.564870357513428,0.0146542467034599,0.2507053061139129,0.2966725826263428,0.2559627294540405,0.1184737607836723,168.0
1,200,1,4,128,0.2069446876317783,0.1,16,0.25002,9.06951379776001,0.0430753123682217,0.208148915834296,0.2038979143124359,5.093078851699829,0.0030467733193423,0.0147226457185677,0.7275230884552002,0.1254893392324447,0.0281807612627744,115.0
1,200,1,4,256,0.0841139149486277,0.1,16,0.10023,16.351027488708496,0.0161160850513722,0.1915983230743106,0.1140163797459671,4.443825483322144,0.0299024647973394,0.3554996199570814,0.8388897180557251,0.1036270260810852,0.0180672332644462,47.0
1,200,1,4,512,0.0809382193452908,0.1,16,0.06074,30.67071294784546,0.0201982193452908,0.2495510712821977,0.08374522376016,11.915899753570557,0.0028070044148692,0.0346808273961926,0.9101850986480712,0.0737582743167877,0.0091695608571171,54.0
1,200,1,8,16,0.1982606922041109,0.1,16,0.05735,2.762253999710083,0.1409106922041109,0.710734390350268,0.0876786277322556,0.6768317222595215,0.1105820644718552,0.5577609118705698,0.273899495601654,0.2801635265350342,0.1291756778955459,122.0
1,200,1,8,32,0.1281968228255711,0.1,16,0.18227,3.665992975234986,0.0540731771744288,0.4217981068688622,0.2117049610143544,1.341644525527954,0.0835081381887833,0.6514056772093896,0.4622243046760559,0.2113873064517974,0.0782228484749794,127.0
1,200,1,8,64,0.3517061198817676,0.1,16,0.379,5.466249227523804,0.0272938801182324,0.0776042228875851,0.3434128633342141,2.055992841720581,0.0082932565475534,0.0235800746098515,0.7096474170684814,0.1295908391475677,0.0293058231472969,97.0
1,200,1,8,128,0.4758986339618429,0.1,16,0.49256,9.07738709449768,0.0166613660381571,0.0350103254120561,0.4871356781856807,8.924536228179932,0.0112370442238378,0.0236122640871853,0.7817745208740234,0.1128609776496887,0.0208132416009902,201.0
1,200,1,8,256,0.0123903650998253,0.1,16,0.05675,16.276630640029907,0.0443596349001746,3.5801717336642302,0.0443116662167237,15.921984195709229,0.0319213011168983,2.57630028330224,0.9114747643470764,0.0702004134654998,0.0084662567824125,168.0
1,200,1,8,512,0.2986983918145403,0.1,16,0.25638,30.916818380355835,0.0423183918145403,0.1416759948303153,0.3033568165589283,18.837164402008057,0.0046584247443879,0.0155957476573237,0.939054548740387,0.0571602620184421,0.0052872188389301,84.0
