,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.3432,0.01319999999999999,1.0,5,62.32245683670044,0.33,0.6799999999999999,200,400,32,1,400
1,0.034800000000000005,0.05519999999999999,1.0,40,11.957090854644775,0.09,0.04,50,400,16,1,200
2,0.4509,0.04089999999999999,0.1,20,17.714061737060547,0.41000000000000003,0.6,200,400,16,1,100
3,0.044000000000000004,0.166,1.0,40,6.300608158111572,0.21000000000000002,0.8399999999999999,50,50,2,1,100
4,0.45430000000000004,0.004300000000000026,0.1,40,5.342836618423462,0.45,0.27999999999999997,50,400,2,1,100
5,0.0014,0.0086,0.1,10,255.23803162574768,0.01,0.4399999999999999,400,200,8,1,800
6,0.229,0.059,10.0,40,76.522127866745,0.17,0.8399999999999999,100,100,1,1,800
7,0.31,0.020000000000000018,0.1,40,34.45625066757202,0.33,0.27999999999999997,400,200,1,1,100
8,0.222,0.05199999999999999,0.1,20,5.118142366409302,0.17,0.9199999999999999,50,400,2,1,100
9,0.1724,0.03760000000000002,10.0,5,16.564361810684204,0.21000000000000002,0.5199999999999999,200,100,1,1,100
10,0.0678,0.017799999999999996,1.0,20,23.514190912246704,0.05,0.35999999999999993,50,50,8,1,400
11,0.0316,0.0216,0.1,10,32.958003759384155,0.01,0.7599999999999999,200,100,32,1,200
12,0.20850000000000002,0.08150000000000002,0.1,10,9.00487470626831,0.29000000000000004,0.5199999999999999,100,50,8,1,100
13,0.3476,0.1376,10.0,5,20.251638412475586,0.21000000000000002,0.9199999999999999,100,100,32,1,200
14,0.3448,0.05479999999999996,0.1,40,33.7337532043457,0.29000000000000004,0.12,400,100,4,1,100
15,0.27140000000000003,0.06140000000000001,1.0,20,19.073943614959717,0.21000000000000002,0.6,100,200,1,1,200
16,0.109,0.019000000000000003,10.0,10,39.766618967056274,0.09,0.9199999999999999,100,50,1,1,400
17,0.1574,0.09259999999999999,0.1,5,124.87244892120361,0.25,0.6799999999999999,400,200,32,1,400
18,0.1408,0.06920000000000001,1.0,10,32.384443283081055,0.21000000000000002,0.27999999999999997,400,50,2,1,100
19,0.3356,0.045599999999999974,1.0,10,73.05836296081543,0.29000000000000004,0.9199999999999999,100,50,32,1,800
20,0.1242,0.0058,1.0,20,18.229592323303223,0.13,0.6799999999999999,100,100,4,1,200
21,0.0362,0.0262,10.0,10,260.25185799598694,0.01,0.19999999999999998,400,200,4,1,800
22,0.4289,0.05890000000000001,10.0,10,132.35559225082397,0.37,0.27999999999999997,200,50,2,1,800
23,0.2,0.09000000000000002,1.0,5,5.241851091384888,0.29000000000000004,0.19999999999999998,50,50,8,1,100
24,0.19820000000000002,0.028200000000000003,0.1,40,10.5310218334198,0.17,0.27999999999999997,50,200,2,1,200
25,0.27090000000000003,0.06090000000000001,1.0,20,14.375873804092407,0.21000000000000002,0.6,200,100,1,1,100
26,0.4062,0.0038000000000000256,10.0,10,13.101140022277832,0.41000000000000003,0.8399999999999999,50,50,8,1,200
27,0.19840000000000002,0.0116,1.0,40,62.972580671310425,0.21000000000000002,0.6,400,100,4,1,200
28,0.41050000000000003,0.0005000000000000004,0.1,40,28.73682689666748,0.41000000000000003,0.04,400,200,16,1,100
29,0.45780000000000004,0.007800000000000029,0.1,10,130.2181794643402,0.45,0.8399999999999999,200,400,2,1,800
30,0.3744,0.044399999999999995,0.1,10,16.10857319831848,0.33,0.9199999999999999,200,200,4,1,100
31,0.182,0.10800000000000004,10.0,40,27.541966915130615,0.29000000000000004,0.6799999999999999,400,100,8,1,100
32,0.133,0.07700000000000001,10.0,40,43.576152086257935,0.21000000000000002,0.4399999999999999,50,400,4,1,800
33,0.0109,0.0008999999999999998,1.0,20,122.11935687065125,0.01,0.6799999999999999,200,200,4,1,800
34,0.4655,0.09550000000000003,0.1,20,31.87886095046997,0.37,0.35999999999999993,200,400,2,1,200
35,0.12290000000000001,0.0729,10.0,20,6.191520929336548,0.05,0.6799999999999999,50,50,8,1,100
36,0.4016,0.008400000000000019,10.0,10,17.906931161880493,0.41000000000000003,0.8399999999999999,100,400,1,1,200
37,0.1379,0.03210000000000002,0.1,40,63.44366478919983,0.17,0.9199999999999999,400,400,16,1,200
38,0.30510000000000004,0.06489999999999996,1.0,5,9.813781261444092,0.37,0.5199999999999999,100,200,1,1,100
39,0.08750000000000001,0.042499999999999996,10.0,5,31.21403956413269,0.13,0.35999999999999993,400,100,4,1,100
40,0.3365,0.07350000000000001,10.0,40,255.6187481880188,0.41000000000000003,0.19999999999999998,400,50,8,1,800
41,0.4519,0.0019000000000000128,1.0,10,253.92296290397644,0.45,0.9199999999999999,400,100,1,1,800
42,0.47540000000000004,0.025400000000000034,10.0,20,248.3349051475525,0.45,0.5199999999999999,400,200,8,1,800
43,0.262,0.028000000000000025,0.1,40,17.463008403778076,0.29000000000000004,0.04,200,400,1,1,100
44,0.3703,0.0403,10.0,10,16.737313270568848,0.33,0.4399999999999999,200,100,2,1,100
45,0.3417,0.1717,0.1,40,37.44037652015686,0.17,0.27999999999999997,200,50,32,1,200
46,0.16740000000000002,0.03740000000000002,1.0,5,11.399739980697632,0.13,0.6799999999999999,50,50,16,1,200
47,0.46900000000000003,0.019000000000000017,0.1,10,73.02177739143372,0.45,0.5199999999999999,200,100,8,1,400
48,0.3282,0.08180000000000004,10.0,10,11.427087783813477,0.41000000000000003,0.35999999999999993,50,50,2,1,200
49,0.2232,0.02679999999999999,10.0,5,62.01627469062805,0.25,0.9199999999999999,400,200,16,1,200
