N,T,edge_per_t,evidences_per_t,model,optimizer_name,num_epochs,lr,model_name,minibatch_size,X0_lr_scale,epsilon_plus_estimated,epsilon_minus_estimated,X0_r2,time,last_iteration,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,distance_epsilon_plus,distance_epsilon_minus
100,64,16,8,backfire,adam,200,0.005,BC_backfire,0,10,0.5550482640472155,0.6472733988069109,-0.6573518514633179,9.173440217971802,193,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5503828026883367,0.3022005139170958
100,64,16,8,backfire,adam,200,0.005,BC_backfire,0,20,0.5511686719681703,0.6586925290584756,-0.8733000755310059,4.635605573654175,98,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5465032106092915,0.3136196441686605
100,64,16,8,backfire,adam,200,0.005,BC_backfire,0,40,0.5567953595987339,0.6575304232056826,-0.5373392105102539,4.666865110397339,99,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5521298982398551,0.3124575383158674
100,64,16,8,backfire,adam,200,0.01,BC_backfire,0,10,0.5500148471178519,0.6183575490595404,-0.037827372550964355,7.51910924911499,159,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5453493857589731,0.2732846641697253
100,64,16,8,backfire,adam,200,0.01,BC_backfire,0,20,0.5484345261127284,0.5938832398692945,-0.7990477085113525,9.509238243103027,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5437690647538496,0.24881035497947934
100,64,16,8,backfire,adam,200,0.01,BC_backfire,0,40,0.5668130835916524,0.5940832739612826,-0.532011866569519,9.494853734970093,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5621476222327736,0.24901038907146744
100,64,16,8,backfire,adam,200,0.05,BC_backfire,0,10,0.5723576036289167,0.5813894198666323,-0.0732043981552124,9.604256629943848,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.567692142270038,0.23631653497681715
100,64,16,8,backfire,adam,200,0.05,BC_backfire,0,20,0.5614834496665221,0.5888756893074423,-0.07795107364654541,9.510835409164429,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5568179883076433,0.24380280441762714
100,64,16,8,backfire,adam,200,0.05,BC_backfire,0,40,0.5554115960289623,0.5602754408283307,-0.10596621036529541,9.517773389816284,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5507461346700835,0.21520255593851556
100,64,16,8,backfire,adam,200,0.1,BC_backfire,0,10,0.5548804972530658,0.5557999803304157,-0.5190752744674683,9.508726835250854,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.550215035894187,0.21072709544060053
100,64,16,8,backfire,adam,200,0.1,BC_backfire,0,20,0.5562350315933502,0.6021773275756375,0.27925699949264526,9.524930238723755,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5515695702344714,0.25710444268582233
100,64,16,8,backfire,adam,200,0.1,BC_backfire,0,40,,,,9.61138129234314,201,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,,
100,64,16,8,backfire,adam,400,0.005,BC_backfire,0,10,0.5632018835756261,0.5996312771356256,-0.3141545057296753,19.110068798065186,401,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5585364222167473,0.25455839224581045
100,64,16,8,backfire,adam,400,0.005,BC_backfire,0,20,0.5603356445239355,0.6062312793243105,-0.38302433490753174,15.247135639190674,321,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5556701831650567,0.2611583944344954
100,64,16,8,backfire,adam,400,0.005,BC_backfire,0,40,0.5588105879519574,0.6609366698779161,-0.33300769329071045,4.49322509765625,95,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5541451265930786,0.31586378498810097
100,64,16,8,backfire,adam,400,0.01,BC_backfire,0,10,0.5423218980138368,0.5756948021364295,-1.454721212387085,19.166503190994263,401,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.537656436654958,0.2306219172466144
100,64,16,8,backfire,adam,400,0.01,BC_backfire,0,20,0.5502592657514661,0.6529760750696695,-0.02292156219482422,3.3853609561920166,72,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5455938043925873,0.30790319017985435
100,64,16,8,backfire,adam,400,0.01,BC_backfire,0,40,0.5457470583005284,0.5961490219278487,0.2503091096878052,12.181822776794434,257,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5410815969416496,0.25107613703803355
100,64,16,8,backfire,adam,400,0.05,BC_backfire,0,10,0.5393193899846536,0.5944384594184876,0.29036659002304077,8.403064250946045,178,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5346539286257748,0.24936557452867247
100,64,16,8,backfire,adam,400,0.05,BC_backfire,0,20,0.5365061930829649,0.580328426807367,0.32966679334640503,11.375081062316895,240,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5318407317240861,0.23525554191755182
100,64,16,8,backfire,adam,400,0.05,BC_backfire,0,40,0.5205517682751664,0.5935362474789531,0.48304224014282227,13.998039484024048,293,0.004665461358878797,0.34507288488981513,0.42004810815034616,0.17667388893133695,16,0.5158863069162876,0.24846336258913793
