,real_epsilon,epsilon0,epsilon_torch,epsilon_scipy,mu,rho,N,T,edge_per_t,epochs,time,distance_torch_real,distance_scipy_real
0,0.8114493416606011,0.7477175187632558,0.8378507045432545,1.0,0.2309704318630813,10,100,100,1,67,0.02733898162841797,0.02640136288265338,0.18855065833939888
1,0.6274360635729015,0.5571797507667836,0.6971737482915162,0.7668396823457475,0.35055803937522845,10,100,398,1,85,0.02365899085998535,0.06973768471861475,0.13940361877284602
2,0.09968569443260145,0.7976029856059487,0.26820235538291964,0.07212569398285922,0.5058222443071595,10,100,1584,1,273,0.10715413093566895,0.1685166609503182,0.02756000044974223
3,0.5493758285686359,0.0454552122524049,0.050006386165301425,0.7178127430621016,0.4829768877682873,10,100,6309,1,11,0.00684809684753418,0.4993694424033345,0.16843691449346576
4,0.6833316766940628,0.6555621180131832,0.7608585211277826,0.8208084434299979,0.9800845297560309,10,100,25118,1,69,0.08388853073120117,0.07752684443371982,0.13747676673593512
5,0.9699659667878691,0.05805504025782293,0.06378107423596668,1.0,0.6883142679640292,10,100,100000,1,11,0.024942636489868164,0.9061848925519024,0.03003403321213094
6,0.28212497138444936,0.2969449631200227,0.2769571721013513,0.2805169959313289,0.03819495305140863,10,251,100,1,22,0.006249666213989258,0.0051677992830980735,0.0016079754531204693
7,0.16858048586919494,0.6615901104735283,0.28724177113323235,0.1531766901436045,0.15669659773002387,10,251,398,1,201,0.058121442794799805,0.11866128526403741,0.015403795725590447
8,0.23719146713135775,0.9905994288839132,0.9896179327533022,0.250962615095189,0.03798437507420416,10,251,1584,1,11,0.0040056705474853516,0.7524264656219445,0.013771147963831276
9,0.27231268538238296,0.6715200643629908,0.34736146260493705,0.25190252994630985,0.5564167917538653,10,251,6309,1,175,0.08679413795471191,0.0750487772225541,0.020410155436073107
10,0.046701398121586135,0.8354444089462205,0.2510833508580172,0.0,0.6700576284130808,10,251,25118,1,300,0.28720760345458984,0.20438195273643106,0.046701398121586135
11,0.9515266044358306,0.2109998981320701,0.43667305078780694,1.0,0.2412636673927956,10,251,100000,1,157,0.25221753120422363,0.5148535536480237,0.04847339556416941
12,0.9549316184643634,0.2806412125693055,0.6930925718327737,1.0,0.7704622681304679,10,630,100,1,233,0.06100106239318848,0.26183904663158963,0.04506838153563664
13,0.578087985892444,0.45222227477566623,0.6003497093206989,0.6286914600918537,0.018494400279283618,10,630,398,1,85,0.023613452911376953,0.02226172342825483,0.05060347419940969
14,0.579052992502422,0.45185335105510727,0.6152364989649494,0.6651016991127073,0.40934148808554427,10,630,1584,1,95,0.03176474571228027,0.036183506462527326,0.0860487066102853
15,0.16090408871672668,0.36602285285176517,0.22489089443953864,0.15720715643588387,0.20480739318531205,10,630,6309,1,89,0.04349660873413086,0.06398680572281196,0.0036969322808428073
16,0.4533544085175114,0.975852131368938,0.9733725759064862,0.5077507344467351,0.9819921516367711,10,630,25118,1,11,0.010864496231079102,0.5200181673889748,0.05439632592922372
17,0.5828861937194653,0.49592402244072975,0.6546975834054021,0.7713197879844805,0.6745021494903184,10,630,100000,1,96,0.1504380702972412,0.07181138968593681,0.18843359426501527
18,0.9431050832552131,0.5727092866386917,0.766826367610487,1.0,0.5188542168115858,10,1584,100,1,119,0.031282901763916016,0.1762787156447262,0.05689491674478686
19,0.590430943773152,0.3990829810217076,0.5850595119912152,0.6255361002897931,0.21460893262510838,10,1584,398,1,106,0.02938699722290039,0.005371431781936775,0.035105156516641145
20,0.663908734464907,0.8015445956255693,0.7432341697047999,0.745423454414306,0.6821110056405063,10,1584,1584,1,45,0.015417814254760742,0.079325435239893,0.08151471994939907
21,0.33665398057666696,0.6094748498222147,0.39456792342930075,0.35884916346616436,0.2272459341371993,10,1584,6309,1,118,0.05814862251281738,0.05791394285263379,0.0221951828894974
22,0.6728051885099264,0.4853589591368711,0.6675132154080795,0.7921860669499996,0.48905002972623224,10,1584,25118,1,109,0.09855794906616211,0.005291973101846925,0.11938087844007317
23,0.5579468436019561,0.9901841949318106,0.9891598458123247,0.7007085452574521,0.6342085677869198,10,1584,100000,1,11,0.017781734466552734,0.4312130022103686,0.14276170165549595
24,0.8551447891590023,0.6802159178016839,0.8083092437270654,1.0,0.15604087569788827,10,3981,100,1,86,0.022743940353393555,0.04683554543193691,0.14485521084099773
25,0.9869785947185766,0.9814048134920447,0.9831382861782799,1.0,0.0545081939975669,10,3981,398,1,11,0.0032663345336914062,0.0038403085402967108,0.01302140528142337
26,0.25092982678393283,0.07618093891347455,0.08353556406856924,0.2566996160729809,0.5470837968157461,10,3981,1584,1,11,0.004084110260009766,0.1673942627153636,0.005769789289048088
27,0.7759003807389271,0.7812499987808161,0.841696309514064,0.8903216994555947,0.9570272362685672,10,3981,6309,1,48,0.02392745018005371,0.06579592877513696,0.11442131871666761
28,0.9374113993943344,0.7815779036128323,0.8548416220831591,1.0,0.17289295973983332,10,3981,25118,1,58,0.05489921569824219,0.08256977731117532,0.06258860060566562
29,0.08334754835587666,0.6922700572251078,0.25888106410925155,0.039571064802523155,0.8518678280580073,10,3981,100000,1,230,0.3582286834716797,0.1755335157533749,0.0437764835533535
30,0.4038255084857558,0.20541528307950385,0.39663892782099314,0.42359743567648633,0.5878273018349544,10,10000,100,1,122,0.032141923904418945,0.007186580664762687,0.01977192719073051
31,0.6462589492579189,0.937273666135401,0.931116479735277,0.6965192977164523,0.11118226953944921,10,10000,398,1,11,0.0033409595489501953,0.28485753047735807,0.05026034845853333
32,0.7132777444455891,0.869758601760847,0.7926024405280452,0.7843002429584381,0.6984611433932878,10,10000,1584,1,67,0.023732900619506836,0.07932469608245607,0.07102249851284903
33,0.4756949742471519,0.19637762204235398,0.4586356751970055,0.5073206594214593,0.3988320528387813,10,10000,6309,1,162,0.07921028137207031,0.017059299050146415,0.031625685174307416
34,0.6340920128678726,0.28834986360281945,0.5787524145290318,0.7313596262251291,0.33038042600577866,10,10000,25118,1,174,0.17016172409057617,0.055339598338840834,0.09726761335725642
35,0.3235108423896349,0.29517420741164835,0.3507767769856406,0.3453564366812139,0.9297124033718224,10,10000,100000,1,39,0.06399941444396973,0.02726593459600568,0.021845594291579007
36,0.9413528639487719,0.25844796878968357,0.6471970306678573,1.0,0.9650570878722553,10,100,100,5,226,0.06359648704528809,0.29415583328091466,0.058647136051228066
37,0.11572599695205743,0.9346336639670991,0.9282347538855901,0.09539429678549641,0.15849204781102766,10,100,398,5,11,0.004221916198730469,0.8125087569335326,0.020331700166561023
38,0.8994009320395612,0.73696947548429,0.8272981513137658,1.0,0.2995039832726498,10,100,1584,5,66,0.03476548194885254,0.07210278072579535,0.10059906796043883
39,0.5471281922901261,0.14955447286468881,0.38704184348109855,0.8999866461348992,0.43094664211491684,10,100,6309,5,179,0.18344616889953613,0.16008634880902756,0.3528584538447731
40,0.7800829818970311,0.9803140380833414,0.9821469922245029,1.0,0.3592828287592451,10,100,25118,5,11,0.02676868438720703,0.2020640103274718,0.21991701810296893
41,0.2643934270527002,0.9535355086787227,0.9488850316221298,0.2260329295382816,0.8827902211508115,10,100,100000,5,11,0.03557157516479492,0.6844916045694296,0.038360497514418584
42,0.6874178679028359,0.4264499440994505,0.6495106766657657,0.78242220085,0.5324267074603217,10,251,100,5,131,0.03717923164367676,0.037907191237070204,0.09500433294716415
43,0.3460838086448146,0.5817834811518539,0.4000416748109404,0.37649029412717017,0.8947713196137863,10,251,398,5,100,0.03630805015563965,0.0539578661661258,0.030406485482355583
44,0.9829523078129704,0.9296174225714076,0.9358564189221725,1.0,0.04920512036365232,10,251,1584,5,11,0.00618433952331543,0.047095888890797855,0.017047692187029617
45,0.8859537474144196,0.3779374848374749,0.6079789775614277,1.0,0.07649677275447653,10,251,6309,5,142,0.14719676971435547,0.27797476985299185,0.11404625258558043
46,0.2480386567548457,0.2643685193666425,0.24896501143589986,0.2515860360850273,0.44475583334155766,10,251,25118,5,20,0.03462362289428711,0.0009263546810541479,0.003547379330181566
47,0.5682504768750553,0.5137383503766313,0.6734855296047224,0.9087061747057313,0.8463018456145186,10,251,100000,5,98,0.2883162498474121,0.10523505272966716,0.3404556978306761
48,0.4736964863282135,0.7988188949877046,0.5511784977582395,0.5296674348526432,0.6123625146428192,10,630,100,5,145,0.04062461853027344,0.07748201143002598,0.05597094852442974
