,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.3247,0.005300000000000027,1.0,5,65.600501537323,0.33,0.6799999999999999,200,400,32,1,400
1,0.06430000000000001,0.025699999999999987,1.0,40,10.312445878982544,0.09,0.04,50,400,16,1,200
2,0.4519,0.04189999999999999,0.1,20,16.718947410583496,0.41000000000000003,0.6,200,400,16,1,100
3,0.2807,0.07069999999999999,1.0,40,5.2403528690338135,0.21000000000000002,0.8399999999999999,50,50,2,1,100
4,0.4506,0.0005999999999999894,0.1,40,6.500221014022827,0.45,0.27999999999999997,50,400,2,1,100
5,0.0108,0.0008000000000000004,0.1,10,257.0013563632965,0.01,0.4399999999999999,400,200,8,1,800
6,0.1985,0.028499999999999998,10.0,40,73.20958948135376,0.17,0.8399999999999999,100,100,1,1,800
7,0.331,0.0010000000000000009,0.1,40,34.65544557571411,0.33,0.27999999999999997,400,200,1,1,100
8,0.2467,0.07669999999999999,0.1,20,5.806232690811157,0.17,0.9199999999999999,50,400,2,1,100
9,0.2582,0.048199999999999965,10.0,5,15.173372030258179,0.21000000000000002,0.5199999999999999,200,100,1,1,100
10,0.1131,0.0631,1.0,20,22.15425753593445,0.05,0.35999999999999993,50,50,8,1,400
11,0.0234,0.0134,0.1,10,35.168824195861816,0.01,0.7599999999999999,200,100,32,1,200
12,0.3141,0.024099999999999955,0.1,10,8.51149845123291,0.29000000000000004,0.5199999999999999,100,50,8,1,100
13,0.11900000000000001,0.09100000000000001,10.0,5,17.36404824256897,0.21000000000000002,0.9199999999999999,100,100,32,1,200
14,0.3604,0.07039999999999996,0.1,40,33.779470443725586,0.29000000000000004,0.12,400,100,4,1,100
15,0.1912,0.01880000000000001,1.0,20,19.453227281570435,0.21000000000000002,0.6,100,200,1,1,200
16,0.20980000000000001,0.11980000000000002,10.0,10,36.9968581199646,0.09,0.9199999999999999,100,50,1,1,400
17,0.22990000000000002,0.02009999999999998,0.1,5,122.77323150634766,0.25,0.6799999999999999,400,200,32,1,400
18,0.22260000000000002,0.0126,1.0,10,31.207756280899048,0.21000000000000002,0.27999999999999997,400,50,2,1,100
19,0.2762,0.013800000000000034,1.0,10,72.61691379547119,0.29000000000000004,0.9199999999999999,100,50,32,1,800
20,0.1189,0.011099999999999999,1.0,20,20.05750322341919,0.13,0.6799999999999999,100,100,4,1,200
21,0.0112,0.0011999999999999997,10.0,10,253.85074996948242,0.01,0.19999999999999998,400,200,4,1,800
22,0.406,0.03600000000000003,10.0,10,137.93783974647522,0.37,0.27999999999999997,200,50,2,1,800
23,0.2437,0.046300000000000036,1.0,5,5.831511497497559,0.29000000000000004,0.19999999999999998,50,50,8,1,100
24,0.0711,0.09890000000000002,0.1,40,12.579983472824097,0.17,0.27999999999999997,50,200,2,1,200
25,0.17900000000000002,0.031,1.0,20,16.776493549346924,0.21000000000000002,0.6,200,100,1,1,100
26,0.4031,0.006900000000000017,10.0,10,9.928754568099976,0.41000000000000003,0.8399999999999999,50,50,8,1,200
27,0.3007,0.0907,1.0,40,67.91593384742737,0.21000000000000002,0.6,400,100,4,1,200
28,0.45420000000000005,0.04420000000000002,0.1,40,33.361968755722046,0.41000000000000003,0.04,400,200,16,1,100
29,0.48100000000000004,0.031000000000000028,0.1,10,136.1261088848114,0.45,0.8399999999999999,200,400,2,1,800
30,0.3764,0.0464,0.1,10,17.770492792129517,0.33,0.9199999999999999,200,200,4,1,100
31,0.2114,0.07860000000000003,10.0,40,32.74522924423218,0.29000000000000004,0.6799999999999999,400,100,8,1,100
32,0.1497,0.06030000000000002,10.0,40,45.095802307128906,0.21000000000000002,0.4399999999999999,50,400,4,1,800
33,0.041,0.031,1.0,20,135.67080402374268,0.01,0.6799999999999999,200,200,4,1,800
34,0.4561,0.08610000000000001,0.1,20,33.799073934555054,0.37,0.35999999999999993,200,400,2,1,200
35,0.1228,0.0728,10.0,20,6.528211355209351,0.05,0.6799999999999999,50,50,8,1,100
36,0.47140000000000004,0.06140000000000001,10.0,10,18.48540687561035,0.41000000000000003,0.8399999999999999,100,400,1,1,200
37,0.1816,0.0116,0.1,40,65.28289604187012,0.17,0.9199999999999999,400,400,16,1,200
38,0.4499,0.07990000000000003,1.0,5,9.741791486740112,0.37,0.5199999999999999,100,200,1,1,100
39,0.0683,0.061700000000000005,10.0,5,31.947542428970337,0.13,0.35999999999999993,400,100,4,1,100
40,0.42400000000000004,0.014000000000000012,10.0,40,249.04904627799988,0.41000000000000003,0.19999999999999998,400,50,8,1,800
41,0.4601,0.010099999999999998,1.0,10,220.35898780822754,0.45,0.9199999999999999,400,100,1,1,800
42,0.4309,0.019100000000000006,10.0,20,167.6866693496704,0.45,0.5199999999999999,400,200,8,1,800
43,0.2374,0.052600000000000036,0.1,40,11.705138921737671,0.29000000000000004,0.04,200,400,1,1,100
44,0.39490000000000003,0.06490000000000001,10.0,10,10.69695234298706,0.33,0.4399999999999999,200,100,2,1,100
45,0.22790000000000002,0.05790000000000001,0.1,40,22.903989553451538,0.17,0.27999999999999997,200,50,32,1,200
46,0.14800000000000002,0.018000000000000016,1.0,5,9.443891286849976,0.13,0.6799999999999999,50,50,16,1,200
47,0.4459,0.0040999999999999925,0.1,10,45.06683349609375,0.45,0.5199999999999999,200,100,8,1,400
48,0.37170000000000003,0.0383,10.0,10,7.15196967124939,0.41000000000000003,0.35999999999999993,50,50,2,1,200
49,0.23070000000000002,0.019299999999999984,10.0,5,39.963961362838745,0.25,0.9199999999999999,400,200,16,1,200
