,epsilon,mu,distance_epsilon,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches,sampler,msm_loss
0,0.0022,0.92,0.0078,1.1102230246251565e-16,1.2481615543365479,0.01,0.9199999999999999,100,100,4,1,25,halton,all_moments
1,0.0198,0.75,0.009800000000000001,0.16999999999999993,2.5119967460632324,0.01,0.9199999999999999,100,100,4,1,50,halton,all_moments
2,0.0033,0.07,0.0067,0.8499999999999999,4.708589553833008,0.01,0.9199999999999999,100,100,4,1,100,halton,all_moments
3,0.0135,0.51,0.0034999999999999996,0.4099999999999999,9.773932456970215,0.01,0.9199999999999999,100,100,4,1,200,halton,all_moments
4,0.002,0.47000000000000003,0.008,0.4499999999999999,2.3755576610565186,0.01,0.9199999999999999,100,100,4,2,25,halton,all_moments
5,0.013600000000000001,0.84,0.0036000000000000008,0.07999999999999996,3.7297585010528564,0.01,0.9199999999999999,100,100,4,2,50,halton,all_moments
6,0.025500000000000002,0.1,0.015500000000000002,0.82,9.447521448135376,0.01,0.9199999999999999,100,100,4,2,100,halton,all_moments
7,0.0002,0.38,0.0098,0.5399999999999999,18.891765594482422,0.01,0.9199999999999999,100,100,4,2,200,halton,all_moments
8,0.0123,0.02,0.0023,0.8999999999999999,4.700154542922974,0.01,0.9199999999999999,100,100,4,4,25,halton,all_moments
9,0.003,0.48,0.007,0.43999999999999995,9.352386474609375,0.01,0.9199999999999999,100,100,4,4,50,halton,all_moments
10,0.006,0.36,0.004,0.5599999999999999,15.0887770652771,0.01,0.9199999999999999,100,100,4,4,100,halton,all_moments
11,0.0028,0.84,0.0072,0.07999999999999996,34.91151547431946,0.01,0.9199999999999999,100,100,4,4,200,halton,all_moments
12,0.0094,0.9,0.0005999999999999998,0.019999999999999907,8.163673877716064,0.01,0.9199999999999999,100,100,4,8,25,halton,all_moments
13,0.0012000000000000001,0.09,0.0088,0.83,17.261916160583496,0.01,0.9199999999999999,100,100,4,8,50,halton,all_moments
14,0.0017000000000000001,0.03,0.0083,0.8899999999999999,35.65234398841858,0.01,0.9199999999999999,100,100,4,8,100,halton,all_moments
15,0.0017000000000000001,0.9500000000000001,0.0083,0.030000000000000138,74.36401152610779,0.01,0.9199999999999999,100,100,4,8,200,halton,all_moments
16,0.0205,0.33,0.0105,0.5899999999999999,1.4834377765655518,0.01,0.9199999999999999,100,100,4,1,25,halton,4_moments
17,0.006500000000000001,0.99,0.0034999999999999996,0.07000000000000006,2.844369411468506,0.01,0.9199999999999999,100,100,4,1,50,halton,4_moments
18,0.0043,0.51,0.0057,0.4099999999999999,5.053343296051025,0.01,0.9199999999999999,100,100,4,1,100,halton,4_moments
19,0.0046,0.64,0.0054,0.2799999999999999,8.805666446685791,0.01,0.9199999999999999,100,100,4,1,200,halton,4_moments
20,0.0114,0.34,0.0014000000000000002,0.5799999999999998,2.454375743865967,0.01,0.9199999999999999,100,100,4,2,25,halton,4_moments
21,0.0212,0.97,0.0112,0.050000000000000044,4.352659463882446,0.01,0.9199999999999999,100,100,4,2,50,halton,4_moments
22,0.0105,0.09,0.0005000000000000004,0.83,9.463407278060913,0.01,0.9199999999999999,100,100,4,2,100,halton,4_moments
23,0.0019,0.66,0.0081,0.2599999999999999,17.864964485168457,0.01,0.9199999999999999,100,100,4,2,200,halton,4_moments
24,0.011600000000000001,0.46,0.0016000000000000007,0.4599999999999999,3.9411957263946533,0.01,0.9199999999999999,100,100,4,4,25,halton,4_moments
25,0.0025,0.75,0.0075,0.16999999999999993,8.603873014450073,0.01,0.9199999999999999,100,100,4,4,50,halton,4_moments
26,0.0033,0.03,0.0067,0.8899999999999999,18.50783061981201,0.01,0.9199999999999999,100,100,4,4,100,halton,4_moments
27,0.0045000000000000005,0.61,0.0055,0.30999999999999994,32.25350260734558,0.01,0.9199999999999999,100,100,4,4,200,halton,4_moments
28,0.0034000000000000002,0.77,0.0066,0.1499999999999999,8.619864225387573,0.01,0.9199999999999999,100,100,4,8,25,halton,4_moments
29,0.0002,0.73,0.0098,0.18999999999999995,15.627698183059692,0.01,0.9199999999999999,100,100,4,8,50,halton,4_moments
30,0.005,0.21,0.005,0.71,33.957712173461914,0.01,0.9199999999999999,100,100,4,8,100,halton,4_moments
31,0.0019,0.9400000000000001,0.0081,0.02000000000000013,65.59972429275513,0.01,0.9199999999999999,100,100,4,8,200,halton,4_moments
32,0.007500000000000001,0.18,0.0024999999999999996,0.74,0.8858065605163574,0.01,0.9199999999999999,100,100,4,1,25,halton,9_moments
33,0.0032,0.78,0.0068000000000000005,0.1399999999999999,2.5439231395721436,0.01,0.9199999999999999,100,100,4,1,50,halton,9_moments
34,0.0109,0.9,0.0008999999999999998,0.019999999999999907,5.127107858657837,0.01,0.9199999999999999,100,100,4,1,100,halton,9_moments
35,0.0001,0.89,0.0099,0.029999999999999916,9.372014999389648,0.01,0.9199999999999999,100,100,4,1,200,halton,9_moments
36,0.007,0.46,0.003,0.4599999999999999,2.7617433071136475,0.01,0.9199999999999999,100,100,4,2,25,halton,9_moments
37,0.010100000000000001,0.0,0.00010000000000000113,0.9199999999999999,4.1884400844573975,0.01,0.9199999999999999,100,100,4,2,50,halton,9_moments
38,0.0078000000000000005,0.87,0.0021999999999999997,0.04999999999999993,9.655074834823608,0.01,0.9199999999999999,100,100,4,2,100,halton,9_moments
39,0.0086,0.64,0.0014000000000000002,0.2799999999999999,17.68415594100952,0.01,0.9199999999999999,100,100,4,2,200,halton,9_moments
40,0.0079,0.77,0.0020999999999999994,0.1499999999999999,3.0678324699401855,0.01,0.9199999999999999,100,100,4,4,25,halton,9_moments
41,0.0071,0.64,0.0029,0.2799999999999999,8.522655963897705,0.01,0.9199999999999999,100,100,4,4,50,halton,9_moments
42,0.006500000000000001,0.27,0.0034999999999999996,0.6499999999999999,17.79045796394348,0.01,0.9199999999999999,100,100,4,4,100,halton,9_moments
43,0.0031000000000000003,0.67,0.0069,0.2499999999999999,36.96080756187439,0.01,0.9199999999999999,100,100,4,4,200,halton,9_moments
44,0.0097,0.36,0.0002999999999999999,0.5599999999999999,7.653489351272583,0.01,0.9199999999999999,100,100,4,8,25,halton,9_moments
45,0.0035,0.35000000000000003,0.006500000000000001,0.5699999999999998,15.176751136779785,0.01,0.9199999999999999,100,100,4,8,50,halton,9_moments
46,0.0001,0.28,0.0099,0.6399999999999999,36.661556243896484,0.01,0.9199999999999999,100,100,4,8,100,halton,9_moments
47,0.0001,0.89,0.0099,0.029999999999999916,68.16564798355103,0.01,0.9199999999999999,100,100,4,8,200,halton,9_moments
48,0.0135,0.42,0.0034999999999999996,0.49999999999999994,1.5550551414489746,0.01,0.9199999999999999,100,100,4,1,25,random,all_moments
49,0.0126,0.29,0.0026,0.6299999999999999,1.9512758255004883,0.01,0.9199999999999999,100,100,4,1,50,random,all_moments
50,0.0194,0.25,0.0094,0.6699999999999999,5.812688112258911,0.01,0.9199999999999999,100,100,4,1,100,random,all_moments
51,0.0241,0.9400000000000001,0.0141,0.02000000000000013,10.250106811523438,0.01,0.9199999999999999,100,100,4,1,200,random,all_moments
52,0.0263,0.6900000000000001,0.016300000000000002,0.22999999999999987,2.7727999687194824,0.01,0.9199999999999999,100,100,4,2,25,random,all_moments
53,0.0632,0.2,0.053200000000000004,0.72,4.9917402267456055,0.01,0.9199999999999999,100,100,4,2,50,random,all_moments
