,epsilon,real_epsilon,time,sum_ab,calibration_batches,ensemble_size,mu,T,edge_per_t,evidences_per_t,distance_epsilon
113,0.18280000000000002,0.25,7.340022087097168,10.0,50,4,0.35,50,8,1,0.06719999999999998
114,0.0123,0.05,5.6829283237457275,1.0,100,1,0.25,50,4,1,0.037700000000000004
115,0.2531,0.35,9.544548511505127,1.0,100,2,0.55,50,16,4,0.09689999999999999
116,0.015300000000000001,0.05,17.151923656463623,10.0,100,4,0.05,50,2,32,0.0347
117,0.2932,0.35,1.9253787994384766,0.1,25,1,0.05,100,8,16,0.05679999999999996
118,0.268,0.25,3.3704802989959717,1.0,25,2,0.25,100,4,16,0.018000000000000016
119,0.053700000000000005,0.05,6.057517766952515,10.0,25,4,0.75,100,4,1,0.003700000000000002
120,0.049300000000000004,0.05,3.4100141525268555,0.1,50,1,0.25,100,16,1,0.0006999999999999992
121,0.4857,0.45,6.500973701477051,0.01,50,2,0.65,100,1,32,0.03570000000000001
122,0.45370000000000005,0.45,9.670409917831421,1.0,50,4,0.25,100,4,4,0.0037000000000000366
123,0.2462,0.25,6.828139066696167,0.01,100,1,0.15,100,2,1,0.003799999999999998
124,0.2097,0.35,14.611751317977905,10.0,100,2,0.25,100,16,32,0.14029999999999998
125,0.1918,0.25,26.475382328033447,10.0,100,4,0.65,100,2,1,0.0582
126,0.45690000000000003,0.45,3.2614965438842773,0.01,25,1,0.95,200,4,1,0.006900000000000017
127,0.3292,0.35,5.616620779037476,10.0,25,2,0.25,200,4,16,0.020799999999999985
128,0.0563,0.05,13.19181776046753,1.0,25,4,0.75,200,1,16,0.0063
129,0.2735,0.35,5.842876195907593,1.0,50,1,0.95,200,4,4,0.07649999999999996
130,0.0275,0.45,13.251724481582642,0.1,50,2,0.35,200,2,16,0.4225
131,0.1557,0.25,22.53702688217163,1.0,50,4,0.15,200,2,16,0.0943
132,0.09720000000000001,0.05,13.060755729675293,0.1,100,1,0.15,200,1,16,0.047200000000000006
133,0.1265,0.05,23.038630723953247,1.0,100,2,0.35,200,4,1,0.0765
134,0.0688,0.05,50.570091009140015,1.0,100,4,0.55,200,4,1,0.018799999999999997
135,0.19820000000000002,0.15,0.9590916633605957,0.01,25,1,0.95,50,4,32,0.04820000000000002
136,0.2464,0.35,1.6764705181121826,10.0,25,2,0.65,50,1,16,0.10359999999999997
137,0.1148,0.15,2.8551294803619385,0.1,25,4,0.95,50,4,1,0.035199999999999995
138,0.21680000000000002,0.05,1.770796298980713,0.01,50,1,0.45,50,16,4,0.1668
139,0.1416,0.05,3.3045060634613037,10.0,50,2,0.85,50,1,32,0.0916
140,0.3256,0.15,6.892057180404663,10.0,50,4,0.65,50,2,32,0.1756
141,0.3517,0.35,4.082940578460693,1.0,100,1,0.55,50,16,4,0.0017000000000000348
142,0.23140000000000002,0.15,8.862682580947876,1.0,100,2,0.95,50,2,16,0.08140000000000003
143,0.43370000000000003,0.45,13.395190238952637,0.01,100,4,0.75,50,4,16,0.01629999999999998
144,0.3647,0.25,1.4517011642456055,1.0,25,1,0.55,100,8,32,0.11470000000000002
145,0.2325,0.15,2.917572259902954,0.01,25,2,0.25,100,16,4,0.08250000000000002
146,0.16620000000000001,0.05,6.492230176925659,1.0,25,4,0.65,100,2,4,0.11620000000000001
147,0.3755,0.35,3.4483673572540283,1.0,50,1,0.35,100,8,32,0.025500000000000023
148,0.38930000000000003,0.45,5.785343170166016,0.1,50,2,0.15,100,8,32,0.060699999999999976
149,0.40800000000000003,0.25,10.812772035598755,0.1,50,4,0.45,100,8,1,0.15800000000000003
150,0.22080000000000002,0.25,5.927889347076416,10.0,100,1,0.85,100,16,16,0.029199999999999976
151,0.33740000000000003,0.35,11.700133562088013,1.0,100,2,0.75,100,8,1,0.012599999999999945
152,0.062400000000000004,0.05,28.002541542053223,0.1,100,4,0.05,100,2,32,0.012400000000000001
153,0.43320000000000003,0.45,2.6679391860961914,1.0,25,1,0.95,200,8,4,0.01679999999999998
154,0.1632,0.15,6.80125093460083,0.1,25,2,0.45,200,1,1,0.013200000000000017
155,0.46840000000000004,0.35,12.583155870437622,0.1,25,4,0.25,200,4,1,0.11840000000000006
156,0.4433,0.35,6.8472676277160645,10.0,50,1,0.85,200,4,16,0.09330000000000005
157,0.221,0.25,11.204427003860474,0.1,50,2,0.85,200,2,1,0.028999999999999998
158,0.3195,0.45,25.380743265151978,10.0,50,4,0.75,200,16,4,0.1305
159,0.2994,0.25,13.443257331848145,0.1,100,1,0.85,200,1,32,0.0494
160,0.43260000000000004,0.45,25.2568416595459,0.1,100,2,0.35,200,8,32,0.01739999999999997
161,0.3023,0.15,40.80899739265442,1.0,100,4,0.25,200,4,4,0.15230000000000002
162,0.3043,0.25,0.7606396675109863,10.0,25,1,0.15,50,16,16,0.054300000000000015
163,0.159,0.25,1.5328383445739746,0.01,25,2,0.85,50,2,16,0.091
164,0.369,0.25,2.8566973209381104,1.0,25,4,0.05,50,16,1,0.119
165,0.1371,0.15,1.9699504375457764,0.01,50,1,0.55,50,2,32,0.012899999999999995
166,0.3119,0.25,3.023790121078491,0.01,50,2,0.15,50,8,32,0.06190000000000001
167,0.1897,0.15,6.189459323883057,1.0,50,4,0.55,50,16,4,0.03970000000000001
168,0.1495,0.15,3.724461317062378,10.0,100,1,0.35,50,16,16,0.0005000000000000004
169,0.42000000000000004,0.45,6.9868927001953125,0.01,100,2,0.75,50,16,16,0.02999999999999997
