ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,X0_r2,X0_mae,X0_mse
1,400,1,4,16,0.2753383407958405,0.1,16,0.07964,5.671871185302734,0.19569834079584053,0.7107558657838651,0.25031083682982663,1.1388201713562012,0.025027503966013886,0.09089727167554709,0.10123783349990845,0.30054429173469543,0.14090725779533386
1,400,1,4,32,0.22854402228343135,0.1,16,0.35924,7.487333297729492,0.13069597771656866,0.5718634703754563,0.28383283157981626,2.1931095123291016,0.05528880929638491,0.2419175471928025,0.21678054332733154,0.3026399314403534,0.12859882414340973
1,400,1,4,64,0.018438429430097936,0.1,16,0.00021,11.242559671401978,0.018228429430097937,0.9886107436212975,0.029463034935673527,4.470197677612305,0.011024605505575592,0.5979145646526487,0.5313315391540527,0.2088974416255951,0.06900867074728012
1,400,1,4,128,0.4642490502126822,0.1,16,0.49863,18.923355102539062,0.034380949787317816,0.07405712466523558,0.4843027319395122,9.3426673412323,0.020053681726829975,0.04319595638944865,0.5949644446372986,0.1486680656671524,0.04568566381931305
1,400,1,4,256,0.02053027510400962,0.1,16,0.0502,33.5640172958374,0.02966972489599038,1.4451693776960544,0.024675645552196236,19.43998622894287,0.004145370448186615,0.2019149975918741,0.8174640536308289,0.09792844951152802,0.017592202872037888
1,400,1,4,512,0.31068888461155875,0.1,16,0.37619,63.297797441482544,0.06550111538844128,0.2108254225777487,0.3324827158361973,47.785704135894775,0.02179383122463857,0.07014680055865688,0.9224062561988831,0.06733879446983337,0.007382852025330067
1,400,1,8,16,0.03553305153566344,0.1,16,0.028710000000000003,5.633488893508911,0.006823051535663437,0.1920198587170412,0.05797091214738696,1.1272659301757812,0.022437860611723523,0.6314644997264962,0.24433302879333496,0.288229763507843,0.13519373536109924
1,400,1,8,32,0.3032178460108856,0.1,16,0.37505000000000005,7.520226955413818,0.07183215398911447,0.2368994930019247,0.3134529186160502,2.167656898498535,0.010235072605164597,0.033754848996576395,0.42452383041381836,0.23029813170433044,0.0835166946053505
1,400,1,8,64,0.1853586861191286,0.1,16,0.16912000000000002,11.251850605010986,0.01623868611912857,0.08760682576640672,0.2050246767750212,4.382894277572632,0.019665990655892612,0.10609694677730631,0.6755689978599548,0.14429491758346558,0.03873482346534729
1,400,1,8,128,0.0478899019161243,0.1,16,0.10337,18.730016946792603,0.055480098083875704,1.15849262295515,0.10240237168488774,8.98844599723816,0.054512469768763436,1.1382873546961547,0.8098939657211304,0.10753032565116882,0.01940053515136242
1,400,1,8,256,0.10850947237520381,0.1,16,0.13372,33.78351926803589,0.025210527624796197,0.23233480979082907,0.12751485154475234,20.291646718978882,0.01900537916954853,0.17514949389700996,0.8822242021560669,0.07995955646038055,0.010632344521582127
1,400,1,8,512,0.331303184790985,0.1,16,0.40086000000000005,66.84824895858765,0.06955681520901508,0.20994912938400395,0.34444442885252546,56.88254904747009,0.013141244061540491,0.039665311608251326,0.9457997679710388,0.05947840213775635,0.0056226314045488834
1,400,1,16,16,0.06325098723080941,0.1,16,0.18908000000000003,5.657133102416992,0.12582901276919062,1.9893604555139592,0.004604937616925718,1.1301288604736328,0.05864604961388369,0.927195798539526,0.4807889461517334,0.22603429853916168,0.08511266857385635
1,400,1,16,32,0.05919066188753269,0.1,16,0.08884,7.510605812072754,0.02964933811246731,0.5009124271798748,0.15222271710633958,2.1789767742156982,0.09303205521880689,1.5717353422331335,0.6231252551078796,0.15730944275856018,0.04615119844675064
1,400,1,16,64,0.07535460147018669,0.1,16,0.15417,11.242040634155273,0.07881539852981331,1.0459268178997119,0.1370526764900515,4.3877270221710205,0.06169807501986482,0.8187698404094813,0.7907375693321228,0.11636771261692047,0.022988567128777504
1,400,1,16,128,0.14339616873170385,0.1,16,0.22739,18.822584629058838,0.08399383126829615,0.5857466905231599,0.18244662145785237,9.14578914642334,0.039050452726148516,0.27232563513752195,0.9220976829528809,0.07720616459846497,0.00941559486091137
1,400,1,16,256,0.39541459325663236,0.1,16,0.35331,33.65110659599304,0.04210459325663235,0.10648214298278462,0.42310383873425783,19.647329092025757,0.027689245477625468,0.07002585627803212,0.9383417367935181,0.05629923194646835,0.005259187892079353
1,400,1,16,512,0.05763962892148505,0.1,16,0.018680000000000002,63.661861419677734,0.03895962892148505,0.6759174139471763,0.044805572738735554,47.486355781555176,0.0128340561827495,0.22266028464950147,0.9623649716377258,0.04679572209715843,0.003715237369760871
1,400,4,4,16,0.43199038274725615,0.1,16,0.005050000000000001,5.957968235015869,0.42694038274725615,0.9883099249388739,0.4050289685242474,1.2998991012573242,0.02696141422300874,0.06241207049922453,0.12915891408920288,0.2918953597545624,0.14220711588859558
1,400,4,4,32,0.10599558271644643,0.1,16,0.01685,8.247509241104126,0.08914558271644643,0.8410311112202081,0.13138044108218677,17.43722438812256,0.025384858365740337,0.23948977603763466,0.18301773071289062,0.2626423239707947,0.1201610118150711
1,400,4,4,64,0.0898975562952033,0.1,16,0.038110000000000005,13.073140144348145,0.05178755629520329,0.576073014989914,0.09373764195147688,29.00675678253174,0.003840085656273584,0.042716240735883954,0.4368932843208313,0.19007357954978943,0.0666610524058342
1,400,4,4,128,0.13867679536157435,0.1,16,0.33869000000000005,22.41518783569336,0.2000132046384257,1.4422975676422858,0.15418951009160953,51.515209913253784,0.015512714730035182,0.11186236810267082,0.9033271670341492,0.08099919557571411,0.010788500308990479
