ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm
1,400,1,16,0.4771481766342474,0.35644659007977536,16,0.32220000000000004,3.222076654434204,0.15494817663424737,0.32473806717073794,0.35124206503254385,0.023415565490722656,0.12590611160170356,0.2638721423810773
1,400,1,32,0.04945346076807311,0.2608873488249198,16,0.019,4.774689197540283,0.03045346076807311,0.6158003968800845,0.06453149803002595,0.05376291275024414,0.015078037261952837,0.3048934700983988
1,400,1,64,0.06991907264685049,0.04086889914589692,16,0.0054,7.803398847579956,0.06451907264685049,0.9227678543839605,0.051831158874932275,0.06585907936096191,0.018087913771918214,0.25869785005984325
1,400,1,128,0.13981530396068215,0.22707061970094927,16,0.126,12.799281120300293,0.013815303960682146,0.0988110998533264,0.13092192534870276,0.033040523529052734,0.008893378611979391,0.06360804833267983
1,400,1,256,0.37886239320092346,0.08750489422813335,16,0.3164,23.951679944992065,0.06246239320092345,0.16486828548273869,0.34325366307956495,0.020906448364257812,0.03560873012135851,0.09398855827443925
1,400,1,512,0.22107807406335234,0.07452376540903027,16,0.202,47.12377381324768,0.019078074063352324,0.08629564077840345,0.20978783892414624,0.019844770431518555,0.0112902351392061,0.05106899536301714
1,400,4,16,0.04419795425344247,0.12009753899685705,16,0.003,3.2372617721557617,0.04119795425344247,0.9321235552487966,0.07890483668137956,0.0421299934387207,0.03470688242793708,0.785259929202127
1,400,4,32,0.3007416192881137,0.16810544811942663,16,0.2984,5.0357537269592285,0.0023416192881137166,0.007786149764228077,0.31264506119818775,0.020846843719482422,0.01190344191007403,0.0395802946670657
1,400,4,64,0.11877576477488705,0.04462019208011614,16,0.13190000000000002,8.506712675094604,0.013124235225112968,0.11049590166804674,0.12388781725430302,0.035160064697265625,0.005112052479415971,0.04303952484839584
1,400,4,128,0.2045708490902325,0.29631714313117846,16,0.07,15.570098876953125,0.13457084909023248,0.657820259771595,0.19891538567135755,0.02022838592529297,0.005655463418874934,0.02764550005059818
1,400,4,256,0.07707633892376536,0.17502344638742112,16,0.0592,29.691103219985962,0.01787633892376536,0.2319303066722783,0.07738027141658392,0.04845285415649414,0.0003039324928185566,0.00394326582012633
1,400,4,512,0.3204534034047403,0.25479234848654253,16,0.3168,57.792547941207886,0.0036534034047402963,0.011400732106208778,0.3223947584744661,0.023000478744506836,0.0019413550697257587,0.006058150885898942
1,400,16,16,0.25266626929195335,0.27025090263024915,16,0.4888,3.24187970161438,0.23613373070804666,0.9345676863388381,0.2384408902860106,0.06775784492492676,0.014225379005942757,0.05630106086501587
1,400,16,32,0.34734302304193515,0.2993450708621543,16,0.3684,4.991274833679199,0.021056976958064855,0.060623002511044015,0.3512819204124437,0.020791053771972656,0.003938897370508565,0.011340079141399702
1,400,16,64,0.326802103687821,0.4135681464057489,16,0.35860000000000003,8.480409383773804,0.03179789631217905,0.09730015796518288,0.3363327548840742,0.021849870681762695,0.009530651196253237,0.029163371620635068
1,400,16,128,0.2331962034684435,0.4960776806992467,16,0.2177,15.505651950836182,0.015496203468443492,0.06645135400131189,0.22559610293358195,0.01917409896850586,0.0076001005348615425,0.032591013154680284
1,400,16,256,0.10128853336743171,0.23329574572298317,16,0.1301,29.479843139648438,0.028811466632568283,0.2844494403730039,0.1093669656079327,0.05628228187561035,0.00807843224050099,0.07975663159417933
1,400,16,512,0.20981794485430877,0.1265328548982299,16,0.20650000000000002,58.36599683761597,0.003317944854308752,0.01581344654106031,0.21256741501878,0.03234982490539551,0.0027494701644712183,0.01310407537534679
1,400,64,16,0.43531812304997763,0.40040003244488853,16,0.4083,3.3968000411987305,0.027018123049977638,0.06206523831509713,0.44032888955351485,0.03225231170654297,0.005010766503537212,0.011510585565402569
1,400,64,32,0.1449622945599111,0.32399060223853554,16,0.13190000000000002,5.017339706420898,0.013062294559911092,0.09010822158663202,0.1505675680928487,0.03145194053649902,0.005605273532937605,0.03866711374812721
1,400,64,64,0.2723858592268635,0.1293279613666788,16,0.2615,8.54375171661377,0.01088585922686347,0.03996484713913473,0.2698788716851648,0.039740562438964844,0.002506987541698702,0.009203809437151045
1,400,64,128,0.33215402722141,0.45523512514234676,16,0.3307,15.678098440170288,0.0014540272214100258,0.004377569146379153,0.32846942780500843,0.03416085243225098,0.0036845994164015905,0.01109304453486418
1,400,64,256,0.10771345614787281,0.1972109877648489,16,0.09530000000000001,31.186636686325073,0.0124134561478728,0.11524517541087134,0.1087285050853583,0.09008026123046875,0.0010150489374854965,0.009423603826173787
1,400,64,512,0.10717343379083444,0.1569905867235069,16,0.0922,58.01271724700928,0.014973433790834434,0.13971217736717673,0.10653058117413663,0.22055339813232422,0.0006428526166978032,0.005998245964129784
1,400,1,16,0.331745568516098,0.48604377068233445,16,0.1874,2.9160640239715576,0.14434556851609798,0.435109259067898,0.318591312266649,0.019559860229492188,0.013154256249448992,0.03965164119083231
1,400,1,32,0.13414834227461914,0.1233702557342759,16,0.0417,4.320582866668701,0.09244834227461914,0.6891500909147675,0.07550799383012287,0.0471196174621582,0.05864034844449627,0.43713062308628337
1,400,1,64,0.1194188248574446,0.19661164758437366,16,0.1432,7.1168437004089355,0.0237811751425554,0.19914092414612197,0.15047101179309705,0.027639150619506836,0.031052186935652454,0.26002757080151134
1,400,1,128,0.18143710277579395,0.4629826169047479,16,0.2353,12.743731498718262,0.05386289722420606,0.29686815100197944,0.20279544664120308,0.019402265548706055,0.021358343865409135,0.11771761970759717
1,400,1,256,0.22233425158921039,0.24755382231040202,16,0.15480000000000002,24.029378414154053,0.06753425158921036,0.30375100150555356,0.24272394884472087,0.0686345100402832,0.020389697255510486,0.09170740499841173
1,400,1,512,0.11840950814006368,0.3003955211503625,16,0.11410000000000001,46.62620782852173,0.0043095081400636726,0.0363949500994976,0.1292000979314654,0.035376787185668945,0.010790589791401711,0.09112941993338736
1,400,4,16,0.04680329994798149,0.3093477499198423,16,0.035,3.2427918910980225,0.011803299947981488,0.2521894815344219,0.03420635154708211,0.06641411781311035,0.01259694840089938,0.26914658613602
1,400,4,32,0.4930300524711506,0.23713398245053652,16,0.43610000000000004,4.99736762046814,0.05693005247115057,0.11546974101438127,0.4927180972098054,0.03163003921508789,0.00031195526134519813,0.0006327307225627022
1,400,4,64,0.4526340355118521,0.4415235077466579,16,0.4989,8.485874891281128,0.046265964488147904,0.10221494818839455,0.46455186953866934,0.02972245216369629,0.011917834026817231,0.026329955530940547
1,400,4,128,0.06740077935553662,0.46051440828508317,16,0.015700000000000002,15.49796986579895,0.051700779355536616,0.7670650079996392,0.05758866524259236,0.05948901176452637,0.009812114112944262,0.14557864473919097
1,400,4,256,0.3059098788805628,0.23246515237314402,16,0.32830000000000004,29.455581188201904,0.022390121119437223,0.07319188645156195,0.29650338590751435,0.020284414291381836,0.009406492973048464,0.03074922917648261
1,400,4,512,0.01974139060328073,0.07852156201460037,16,0.022600000000000002,57.72797203063965,0.0028586093967192736,0.14480283857228451,0.028332148729339098,0.07571196556091309,0.008590758126058369,0.43516479151325393
1,400,16,16,0.033710288005198374,0.2792233258471644,16,0.0349,3.242025852203369,0.001189711994801626,0.03529225246067799,0.027529468400936577,0.06755495071411133,0.0061808196042617974,0.18335113610743015
1,400,16,32,0.4850875934190025,0.16115623027202247,16,0.48960000000000004,5.007807970046997,0.004512406580997552,0.00930225106190231,0.4791824233946482,0.03306317329406738,0.005905170024354256,0.012173409719125856
1,400,16,64,0.4867582450068924,0.36974595457204373,16,0.4883,8.53768253326416,0.0015417549931076024,0.0031673936885974504,0.477105155692877,0.034294843673706055,0.009653089314015428,0.019831383264763688
1,400,16,128,0.3772763635205693,0.416568576089617,16,0.4237,15.53948974609375,0.04642363647943071,0.12304941673585566,0.3896382193023568,0.02917647361755371,0.0123618557817875,0.03276604891552801
1,400,16,256,0.4406541344430959,0.08956400493786382,16,0.45680000000000004,29.793518543243408,0.016145865556904115,0.036640676428259224,0.4395740610134364,0.0453183650970459,0.001080073429659545,0.0024510684122470675
1,400,16,512,0.19920785269584812,0.4864249647230295,16,0.21660000000000001,58.62050724029541,0.017392147304151895,0.08730653470125167,0.19789367662110163,0.03012824058532715,0.001314176074746487,0.006597009389750211
1,400,64,16,0.3843045564704644,0.27057344701168395,16,0.4229,3.4014244079589844,0.03859544352953559,0.10042931544711421,0.3911507959199578,0.027515172958374023,0.006846239449493419,0.017814619510033273
1,400,64,32,0.12567703818111498,0.48217606395189133,16,0.1438,4.9937098026275635,0.018122961818885036,0.1442026489577816,0.12290826195893087,0.038839101791381836,0.002768776222184105,0.02203088378160203
1,400,64,64,0.44744367633851284,0.033292780964180535,16,0.4222,8.492631435394287,0.02524367633851282,0.05641755079675046,0.4489564483589159,0.04150056838989258,0.0015127720204030637,0.0033809216676884673
1,400,64,128,0.21407346328038518,0.47418980794110477,16,0.20090000000000002,15.6626558303833,0.013173463280385156,0.061537114776019954,0.21196474605103746,0.031218767166137695,0.0021087172293477174,0.009850437307989925
1,400,64,256,0.22850837299441062,0.31155239893517117,16,0.2364,30.546875476837158,0.007891627005589374,0.03453539536506352,0.2281481853020244,0.10623574256896973,0.00036018769238621573,0.0015762559930135515
1,400,64,512,0.40956102763990465,0.40195125346035476,16,0.4192,59.14982795715332,0.009638972360095366,0.023534886645929037,0.41102450489419307,0.17933225631713867,0.0014634772542884145,0.003573282503761898
1,400,1,16,0.12734782746890566,0.4648907565003265,16,0.046200000000000005,3.028339147567749,0.08114782746890566,0.6372140701710786,0.1476856019091749,0.028730154037475586,0.02033777444026924,0.15970256300787766
1,400,1,32,0.4431098427687233,0.27723910062974283,16,0.27290000000000003,4.376094341278076,0.17020984276872325,0.3841256192938205,0.4571695778729378,0.027547836303710938,0.014059735104214544,0.03172968358446707
1,400,1,64,0.07014807988953631,0.12075479652978754,16,0.0132,7.22889256477356,0.056948079889536304,0.8118266384370559,0.08672698317615438,0.04646182060241699,0.01657890328661807,0.23634151230832298
1,400,1,128,0.30050603749801963,0.3765222175077978,16,0.2543,13.30744218826294,0.0462060374980196,0.15376076262136365,0.2970593986350301,0.019163131713867188,0.003446638862989515,0.011469449637970182
1,400,1,256,0.28809061971689454,0.08409001189106274,16,0.331,24.08053469657898,0.04290938028310548,0.14894403825182628,0.3158284896904305,0.020787954330444336,0.027737869973535945,0.0962817532927446
1,400,1,512,0.21118926796631132,0.02907457580667905,16,0.2094,46.77000427246094,0.0017892679663113198,0.008472343237615379,0.2185322063401593,0.01886582374572754,0.007342938373847974,0.03476946742871097
1,400,4,16,0.10396035514203134,0.4203431651816379,16,0.0472,3.243540048599243,0.056760355142031337,0.5459807737717417,0.11549716990634744,0.03830909729003906,0.011536814764316103,0.11097321424647337
1,400,4,32,0.29625836224319735,0.08708330125381752,16,0.2791,4.987756729125977,0.017158362243197334,0.0579168875210081,0.28170378253226225,0.017879247665405273,0.0145545797109351,0.04912799625546874
1,400,4,64,0.2502534111619224,0.4014309340299889,16,0.35250000000000004,8.519841194152832,0.10224658883807763,0.4085722083201521,0.24982736055141522,0.06783437728881836,0.00042605061050718374,0.00170247673559788
1,400,4,128,0.06746073025572163,0.08503357801558181,16,0.1078,15.50546145439148,0.04033926974427837,0.5979666924945127,0.044243123775616844,0.06882858276367188,0.02321760648010479,0.3441647665552154
1,400,4,256,0.30400668003371417,0.13680692765908437,16,0.32130000000000003,29.656214952468872,0.01729331996628586,0.05688467096962487,0.3137934816933394,0.021283864974975586,0.009786801659625255,0.03219271911571122
1,400,4,512,0.4671021369371577,0.3309042837261402,16,0.4893,57.48048424720764,0.022197863062842327,0.04752250376843973,0.47653092577351397,0.039238691329956055,0.009428788836356283,0.020185711198372872
1,400,16,16,0.07445713576626511,0.10495118439455242,16,0.1403,3.229684829711914,0.0658428642337349,0.8843056284145547,0.07564439252841226,0.047106027603149414,0.0011872567621471486,0.015945506766123396
1,400,16,32,0.30713131286092504,0.16845655925790942,16,0.3114,4.982247591018677,0.004268687139074967,0.013898573542737111,0.32149294166228065,0.02090740203857422,0.014361628801355608,0.0467605489898675
1,400,16,64,0.1890440666110516,0.1637279959648109,16,0.26730000000000004,8.499606370925903,0.07825593338894843,0.41395604100051425,0.19260375127368412,0.020749807357788086,0.003559684662632512,0.01882992006279879
1,400,16,128,0.22469720307490687,0.4788019528315716,16,0.2092,15.536722660064697,0.015497203074906873,0.06896927448509718,0.22442008861566903,0.019191503524780273,0.0002771144592378372,0.0012332795221552271
1,400,16,256,0.036922470488948145,0.14645330295831482,16,0.0626,29.48594641685486,0.025677529511051858,0.6954445130841884,0.038590135516116696,0.09979248046875,0.0016676650271685509,0.04516666964816794
1,400,16,512,0.3120204655416226,0.4586937474941187,16,0.2898,57.819124698638916,0.022220465541622603,0.07121476952818166,0.3069399830543206,0.029299020767211914,0.005080482487302029,0.016282529668312118
1,400,64,16,0.4062653626585392,0.1815770040092497,16,0.49920000000000003,3.4041264057159424,0.09293463734146085,0.228753533733003,0.4140279672453635,0.02908611297607422,0.007762604586824318,0.019107227197580925
1,400,64,32,0.16945328920371422,0.4653382999807886,16,0.20650000000000002,5.0159337520599365,0.0370467107962858,0.218624914100952,0.17100462323967755,0.026241302490234375,0.001551334035963331,0.009154936108076016
1,400,64,64,0.37794392579902836,0.4838337150640877,16,0.4072,8.670484781265259,0.02925607420097165,0.0774085048175336,0.37596672737367826,0.0378568172454834,0.001977198425350102,0.005231459722947041
1,400,64,128,0.3428185156792125,0.06271723037483629,16,0.3426,15.94353437423706,0.00021851567921249426,0.0006374092098834218,0.33590197464589316,0.03641676902770996,0.0069165410333193456,0.020175517706842297
1,400,64,256,0.01846434686365389,0.4880081640637647,16,0.041800000000000004,29.899161338806152,0.023335653136346113,1.263822289987475,0.024185454804317486,0.27262449264526367,0.005721107940663595,0.3098462124281958
1,400,64,512,0.4502991529435385,0.12119944222172768,16,0.4697,58.14567494392395,0.0194008470564615,0.0430843516574283,0.4465945445894286,0.14789056777954102,0.003704608354109906,0.008226993832640885
1,400,1,16,0.07814576670555218,0.23279940112016018,16,0.1265,3.2053136825561523,0.048354233294447824,0.6187697086221345,0.09324961582493013,0.047562360763549805,0.015103849119377954,0.19327789279089436
1,400,1,32,0.3154970088360559,0.14617432357050125,16,0.1438,4.774894952774048,0.1716970088360559,0.5442112097020739,0.2465979052295274,0.07038402557373047,0.06889910360652851,0.21838274746475037
1,400,1,64,0.3741239326386125,0.11483020661492294,16,0.3561,7.515527963638306,0.01802393263861246,0.04817636902160653,0.3918820035916403,0.02293705940246582,0.017758070953027838,0.04746574437990142
1,400,1,128,0.04927937391543763,0.3944012489950999,16,0.028200000000000003,12.753634929656982,0.021079373915437627,0.42775247006200584,0.03877010596005365,0.06712913513183594,0.010509267955383983,0.21325895847251766
1,400,1,256,0.2486386132279781,0.37049054255579733,16,0.2717,24.02833890914917,0.023061386772021908,0.09275062498388695,0.2503813584520703,0.06740498542785645,0.0017427452240922348,0.007009149550292505
1,400,1,512,0.2940403590395143,0.3190244770125485,16,0.28900000000000003,46.76229166984558,0.005040359039514275,0.017141725224314976,0.2828854927207542,0.018570899963378906,0.011154866318760115,0.037936514413183256
1,400,4,16,0.058684585829526514,0.3671673431693837,16,0.2109,3.2335314750671387,0.1522154141704735,2.59378867583126,0.05796700799436774,0.04941439628601074,0.0007175778351587725,0.01222770553826983
1,400,4,32,0.18046675690036884,0.2814475402784774,16,0.1136,4.990046977996826,0.06686675690036883,0.3705211865545093,0.21736099239785978,0.018225669860839844,0.036894235497490935,0.2044378484501681
1,400,4,64,0.38395536282933596,0.03439588139189975,16,0.4434,8.48452377319336,0.05944463717066406,0.15482173951842043,0.3832749557060832,0.02328944206237793,0.0006804071232527353,0.001772099543652341
1,400,4,128,0.38320885140850375,0.03210064645195582,16,0.44570000000000004,15.525512218475342,0.06249114859149629,0.1630733433265095,0.3842444671133089,0.024133682250976562,0.0010356157048051484,0.002702483778750647
1,400,4,256,0.14347137079604205,0.0074014027036599095,16,0.0091,29.589226007461548,0.13437137079604206,0.936572711687989,0.13251746406176862,0.03467726707458496,0.010953906734273433,0.07634907698655388
1,400,4,512,0.21516513217639777,0.09714175810118947,16,0.2288,57.65822410583496,0.013634867823602237,0.06336931865161141,0.21557801240104787,0.020421743392944336,0.00041288022465010843,0.0019188993145581733
1,400,16,16,0.20615796747336007,0.073180405389213,16,0.1342,3.2542333602905273,0.07195796747336006,0.3490428643397376,0.2097957284253704,0.01915907859802246,0.0036377609520103216,0.017645502604600505
1,400,16,32,0.15862096483237753,0.0608784533265197,16,0.1014,5.048511743545532,0.05722096483237753,0.36074023943080724,0.14326862452341735,0.030715227127075195,0.015352340308960183,0.09678632534598276
1,400,16,64,0.49838707859604797,0.20956404933228656,16,0.4998,8.544310808181763,0.00141292140395205,0.0028349880336629857,0.5122477176571788,0.039691925048828125,0.01386063906113083,0.027810992010820445
1,400,16,128,0.18135855002443446,0.2133774779380711,16,0.1738,15.582013130187988,0.007558550024434452,0.04167738451490755,0.18880587833292584,0.02143096923828125,0.007447328308491374,0.04106411474666066
1,400,16,256,0.48344908013687204,0.09931545076611886,16,0.44370000000000004,29.74399709701538,0.039749080136872006,0.08221978646772565,0.4949134170841433,0.054107666015625,0.01146433694727128,0.023713638971089874
1,400,16,512,0.10528041197734334,0.22912817650813744,16,0.07930000000000001,59.07871985435486,0.025980411977343326,0.24677346421226382,0.10705017392701192,0.08347082138061523,0.0017697619496685885,0.016809983133894334
1,400,64,16,0.4398702954040838,0.3916981068363703,16,0.4897,3.6298623085021973,0.049829704595916235,0.11328272246740491,0.45026048611875835,0.032354116439819336,0.010390190714674563,0.023621032889092196
