N,edge_per_t,T,evidences_per_t,epsilon_estimated,X0_r2,time,last_iteration,real_epsilon,mu,rho,distance_epsilon
100,1,16,2,0.1819340642952981,-0.3734666109085083,2.8034324645996094,401,0.18003447611667284,0.18133968168634756,16,0.001899588178625261
100,1,16,4,0.13711286635403633,0.19094794988632202,2.774322509765625,401,0.18003447611667284,0.18133968168634756,16,0.04292160976263651
100,1,16,8,0.23041295303435474,0.3219756484031677,2.748004198074341,401,0.18003447611667284,0.18133968168634756,16,0.05037847691768191
100,1,16,16,0.25028586514760365,0.49432724714279175,2.802645206451416,401,0.18003447611667284,0.18133968168634756,16,0.07025138903093081
100,1,32,2,0.251866210516871,0.001441657543182373,5.459357261657715,401,0.18003447611667284,0.18133968168634756,16,0.07183173440019819
100,1,32,4,0.2120431059826563,0.2875708341598511,5.447434186935425,401,0.18003447611667284,0.18133968168634756,16,0.03200862986598346
100,1,32,8,0.20356096522979628,0.3743271827697754,5.3371803760528564,401,0.18003447611667284,0.18133968168634756,16,0.02352648911312344
100,1,32,16,0.2722552439961055,0.6855677366256714,5.328394174575806,401,0.18003447611667284,0.18133968168634756,16,0.09222076787943267
100,1,64,2,0.1924588814797061,0.38796788454055786,11.188737154006958,401,0.18003447611667284,0.18133968168634756,16,0.01242440536303327
100,1,64,4,0.20925214117940089,0.41262316703796387,11.209930181503296,401,0.18003447611667284,0.18133968168634756,16,0.02921766506272805
100,1,64,8,0.18293984240642702,0.5744587779045105,11.091347932815552,401,0.18003447611667284,0.18133968168634756,16,0.0029053662897541854
100,1,64,16,0.19921504749645116,0.7178574800491333,11.112326383590698,401,0.18003447611667284,0.18133968168634756,16,0.019180571379778327
100,1,128,2,0.18841007679498076,0.4540051817893982,22.92024874687195,401,0.18003447611667284,0.18133968168634756,16,0.00837560067830792
100,1,128,4,0.22325413642272152,0.5737550258636475,23.113662004470825,401,0.18003447611667284,0.18133968168634756,16,0.04321966030604868
100,1,128,8,0.18674215072068628,0.8627386689186096,22.77934169769287,401,0.18003447611667284,0.18133968168634756,16,0.006707674604013447
100,1,128,16,0.18082944010035504,0.8989911079406738,22.87246298789978,401,0.18003447611667284,0.18133968168634756,16,0.0007949639836822009
100,1,256,2,0.2026506874216388,0.8295122385025024,47.70816254615784,401,0.18003447611667284,0.18133968168634756,16,0.022616211304965966
100,1,256,4,0.17553531365090808,0.8965540528297424,47.650599002838135,401,0.18003447611667284,0.18133968168634756,16,0.004499162465764761
100,1,256,8,0.19054235492875515,0.9130618572235107,48.19771671295166,401,0.18003447611667284,0.18133968168634756,16,0.010507878812082316
100,1,256,16,0.18302554870108376,0.9054467082023621,47.75322961807251,401,0.18003447611667284,0.18133968168634756,16,0.00299107258441092
100,4,16,2,0.19924069124686225,-0.051250457763671875,11.420048713684082,401,0.18003447611667284,0.18133968168634756,16,0.019206215130189414
100,4,16,4,0.21753020115182475,-0.3286389112472534,11.748936891555786,401,0.18003447611667284,0.18133968168634756,16,0.03749572503515192
100,4,16,8,0.2376804215354484,0.14868974685668945,10.818278074264526,401,0.18003447611667284,0.18133968168634756,16,0.057645945418775574
100,4,16,16,0.26157105984831847,0.38182884454727173,11.887697219848633,401,0.18003447611667284,0.18133968168634756,16,0.08153658373164563
100,4,32,2,0.22573929019524025,-0.34183549880981445,16.519144773483276,401,0.18003447611667284,0.18133968168634756,16,0.04570481407856741
100,4,32,4,0.20203712490401896,0.02135103940963745,17.08210015296936,401,0.18003447611667284,0.18133968168634756,16,0.02200264878734612
100,4,32,8,0.19343730037213322,0.6457556486129761,15.416905164718628,401,0.18003447611667284,0.18133968168634756,16,0.013402824255460383
100,4,32,16,0.2329788401766846,0.6086537837982178,16.05705165863037,401,0.18003447611667284,0.18133968168634756,16,0.05294436406001177
100,4,64,2,0.19094164719055606,0.13125872611999512,29.933429718017578,401,0.18003447611667284,0.18133968168634756,16,0.010907171073883226
100,4,64,4,0.19236249099644892,0.5877272486686707,29.236326932907104,401,0.18003447611667284,0.18133968168634756,16,0.012328014879776084
100,4,64,8,0.18563742658934132,0.7471487522125244,27.53632092475891,401,0.18003447611667284,0.18133968168634756,16,0.005602950472668483
100,4,64,16,0.17382686736597996,0.8215836882591248,22.764856576919556,401,0.18003447611667284,0.18133968168634756,16,0.006207608750692872
100,4,128,2,0.16512568767529823,0.7250199913978577,37.75762319564819,401,0.18003447611667284,0.18133968168634756,16,0.01490878844137461
100,4,128,4,0.18140121375465929,0.8438801765441895,39.63916206359863,401,0.18003447611667284,0.18133968168634756,16,0.0013667376379864482
100,4,128,8,0.1960556783546931,0.90340656042099,39.50479865074158,401,0.18003447611667284,0.18133968168634756,16,0.016021202238020255
100,4,128,16,0.19725292041747086,0.9193433523178101,38.19624614715576,401,0.18003447611667284,0.18133968168634756,16,0.017218444300798025
100,4,256,2,0.19646516008578668,0.8916580080986023,76.84130907058716,401,0.18003447611667284,0.18133968168634756,16,0.016430683969113846
100,4,256,4,0.17943587066349798,0.8707864880561829,73.2028956413269,401,0.18003447611667284,0.18133968168634756,16,0.0005986054531748608
100,4,256,8,0.20019272187158096,0.9346209168434143,73.26049256324768,401,0.18003447611667284,0.18133968168634756,16,0.020158245754908127
