N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_estimated,time,epochs_pgabm,distance_epsilon,method
100,10000,4,40000,0.022477082464177178,0.25,0.02778803533438239,0.03871078072925425,16.40558409690857,411.0,0.01623369826507707,pgabm
464,100,4,400,0.3140898491664933,0.25,0.29229178870271577,0.3211109032484186,0.16494178771972656,111.0,0.007021054081925326,pgabm
464,464,4,1856,0.4475975196491325,0.25,0.17751635792788556,0.44400802125615896,0.47156858444213867,253.0,0.003589498392973567,pgabm
464,2154,4,8616,0.15665665757104563,0.25,0.09896844243462949,0.1557118989115285,4.346216440200806,139.0,0.0009447586595171253,pgabm
464,10000,4,40000,0.2434008240342952,0.25,0.030933165051712577,0.2427572708575326,4.846298694610596,106.0,0.0006435531767625957,pgabm
2154,100,4,400,0.26424820043678043,0.25,0.5073177811057891,0.2643109003490725,0.44909048080444336,500.0,6.269991229207461e-05,pgabm
2154,464,4,1856,0.4868515322916388,0.25,0.7794750343861443,0.48494020605587906,0.5466098785400391,276.0,0.001911326235759736,pgabm
2154,2154,4,8616,0.17911313307442356,0.25,0.10397294785067357,0.17880828628343481,3.8668079376220703,138.0,0.00030484679098874423,pgabm
2154,10000,4,40000,0.48231403450078175,0.25,0.026330150951961784,0.4800235626350928,12.023802995681763,283.0,0.0022904718656889256,pgabm
10000,100,4,400,0.26119190460238595,0.25,0.3293775814704657,0.2650800956690738,0.4616680145263672,500.0,0.0038881910666878627,pgabm
10000,464,4,1856,0.23284391740249455,0.25,0.7596487680019763,0.2340784876128853,0.9357614517211914,500.0,0.0012345702103907508,pgabm
10000,2154,4,8616,0.03308676727197929,0.25,0.09079124326791131,0.04306107913127254,7.191485166549683,385.0,0.009974311859293247,pgabm
10000,10000,4,40000,0.0537901324584073,0.25,0.0437199412396026,0.05792246374158566,14.276365995407104,332.0,0.004132331283178359,pgabm
100,100,1,100,0.2546011261941745,0.25,0.2001141954009632,0.20369876269164675,0.153090238571167,179.0,0.050902363502527775,pgabm
100,464,1,464,0.42925485063737634,0.25,0.9317480253244661,0.42462235480353583,0.35704636573791504,217.0,0.004632495833840511,pgabm
100,2154,1,2154,0.15461380128311453,0.25,0.15962563199499,0.15509744075598572,1.908050775527954,146.0,0.0004836394728711946,pgabm
100,10000,1,10000,0.10063822249737192,0.25,0.13808619615468384,0.10249011248558179,10.243111848831177,269.0,0.0018518899882098705,pgabm
464,100,1,100,0.11518996555749644,0.25,0.48836876731454626,0.11685491780394833,0.22966885566711426,209.0,0.001664952246451884,pgabm
464,464,1,464,0.3179115764283787,0.25,0.3642633239010161,0.32216625184920206,0.1781327724456787,132.0,0.004254675420823362,pgabm
464,2154,1,2154,0.10378155542521211,0.25,0.4491003277933051,0.10672517584808984,4.802037000656128,208.0,0.002943620422877727,pgabm
464,10000,1,10000,0.10584668331103897,0.25,0.1096342935796682,0.10364073507431347,7.778377056121826,219.0,0.0022059482367254996,pgabm
2154,100,1,100,0.32194621112720617,0.25,0.6434238710730796,0.286045916333458,0.39973020553588867,500.0,0.03590029479374818,pgabm
2154,464,1,464,0.19112282480459952,0.25,0.8452427124183494,0.19430093379416646,0.20176386833190918,128.0,0.003178108989566941,pgabm
2154,2154,1,2154,0.44055853470491435,0.25,0.875522279091014,0.44314966580596443,4.484741926193237,228.0,0.0025911311010500815,pgabm
2154,10000,1,10000,0.39334906180082113,0.25,0.08251653861179187,0.39142781287220063,6.2328879833221436,184.0,0.0019212489286205003,pgabm
10000,100,1,100,0.32318595535315264,0.25,0.9021318522656804,0.32724439319815346,0.10321974754333496,120.0,0.004058437845000817,pgabm
10000,464,1,464,0.20705829677465604,0.25,0.28310000802207835,0.20740829315228138,0.21095871925354004,113.0,0.00034999637762533897,pgabm
10000,2154,1,2154,0.2890324095645221,0.25,0.892145256862108,0.2862559445807956,1.966829776763916,112.0,0.0027764649837264677,pgabm
10000,10000,1,10000,0.25529278781155673,0.25,0.09607498865581324,0.25583908377865033,5.3687379360198975,125.0,0.0005462959670936018,pgabm
100,100,2,200,0.04039748613006783,0.25,0.41833098974647154,0.04362600960079237,0.2548832893371582,376.0,0.0032285234707245397,pgabm
100,464,2,928,0.3347020129912285,0.25,0.20384086269647494,0.32901011353883813,0.12917637825012207,118.0,0.005691899452390348,pgabm
100,2154,2,4308,0.18863586928812975,0.25,0.12163239426905778,0.19074593001749496,2.4444849491119385,128.0,0.002110060729365204,pgabm
100,10000,2,20000,0.4551461972918078,0.25,0.047570651563027214,0.45735686420570887,9.146764993667603,264.0,0.0022106669139010937,pgabm
464,100,2,200,0.3925719405058827,0.25,0.9040461347665942,0.3904073852521664,0.17987513542175293,178.0,0.0021645552537162827,pgabm
464,464,2,928,0.4261323134247518,0.25,0.4870022534118491,0.4272943586799115,0.32485055923461914,225.0,0.0011620452551597271,pgabm
464,2154,2,4308,0.38256061190160756,0.25,0.0072442048843561835,0.3793277929839373,2.5644912719726562,175.0,0.0032328189176702438,pgabm
464,10000,2,20000,0.4417007690831812,0.25,0.09755087433288265,0.43455230814875967,9.334722518920898,241.0,0.007148460934421508,pgabm
2154,100,2,200,0.30092992313500794,0.25,0.16832575325503785,0.29654095488738386,0.09625959396362305,121.0,0.004388968247624081,pgabm
2154,464,2,928,0.4495768815604195,0.25,0.7774527150665156,0.456891379128043,0.4341719150543213,241.0,0.007314497567623535,pgabm
2154,2154,2,4308,0.49244680425120646,0.25,0.28041085577950264,0.48696827790693664,6.317564964294434,295.0,0.0054785263442698184,pgabm
2154,10000,2,20000,0.2038099146614159,0.25,0.06707256260498187,0.2020386195626651,5.125045299530029,119.0,0.0017712950987507914,pgabm
10000,100,2,200,0.3380493105772748,0.25,0.11821940335625503,0.3434655283501723,0.16353821754455566,141.0,0.005416217772897525,pgabm
10000,464,2,928,0.20530772628556576,0.25,0.029369179169327464,0.20298122254500925,0.16030359268188477,121.0,0.0023265037405565125,pgabm
10000,2154,2,4308,0.15207007353179247,0.25,0.28717563963453646,0.15161639362927803,2.5591211318969727,143.0,0.0004536799025144367,pgabm
10000,10000,2,20000,0.48724199712849736,0.25,0.07872079997478158,0.4846513864896299,10.161864280700684,279.0,0.002590610638867452,pgabm
100,100,4,400,0.2856085160882032,0.25,0.4893606523302496,0.28060256713186327,0.4324522018432617,500.0,0.005005948956339934,pgabm
