N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_estimated,time,epochs_pgabm,distance_epsilon,method
100,100,1,100,0.06781923461276124,0.25,0.14759946388448208,0.08072872930798403,0.25232648849487305,255.0,0.01290949469522279,pgabm
100,464,1,464,0.2800543903433407,0.25,0.6134465943169227,0.29534996552183845,0.21926665306091309,123.0,0.015295575178497778,pgabm
100,2154,1,2154,0.07597531190151385,0.25,0.45799341520428777,0.07536791285401942,4.617296457290649,277.0,0.0006073990474944335,pgabm
100,10000,1,10000,0.3152920687619161,0.25,0.08847746434078095,0.3123165146812251,5.542279958724976,131.0,0.002975554080691001,pgabm
464,100,1,100,0.3028084970262064,0.25,0.5097673701416489,0.3035486619899927,0.14657163619995117,125.0,0.0007401649637863161,pgabm
464,464,1,464,0.4882618896931597,0.25,0.1880887354117502,0.4897647027632466,0.4511418342590332,277.0,0.0015028130700868725,pgabm
464,2154,1,2154,0.38453876204582826,0.25,0.6258934569665144,0.38552110503882364,2.3677735328674316,176.0,0.0009823429929953775,pgabm
464,10000,1,10000,0.12596742322049626,0.25,0.11394088103040795,0.12434624047009547,6.106783390045166,181.0,0.001621182750400782,pgabm
2154,100,1,100,0.494827319011046,0.25,0.9773784703084363,0.4979090709219993,0.28613924980163574,291.0,0.0030817519109533342,pgabm
2154,464,1,464,0.47229598179327054,0.25,0.48400804995684166,0.4704897108173291,0.35015034675598145,249.0,0.0018062709759414375,pgabm
2154,2154,1,2154,0.04583678729001234,0.25,0.048232683085589236,0.04958689830163363,5.284128665924072,363.0,0.0037501110116212946,pgabm
2154,10000,1,10000,0.09063769153835022,0.25,0.1543292521410723,0.08920683112550366,10.262454509735107,249.0,0.0014308604128465546,pgabm
10000,100,1,100,0.09195670991909616,0.25,0.7833790603930227,0.09253028213841416,0.27759623527526855,229.0,0.0005735722193180026,pgabm
10000,464,1,464,0.49088177182419657,0.25,0.2371813100699428,0.4984757660163167,0.5996761322021484,299.0,0.007593994192120146,pgabm
10000,2154,1,2154,0.2950980225325749,0.25,0.6499494945845097,0.2936444961862856,2.3441414833068848,119.0,0.0014535263462893133,pgabm
10000,10000,1,10000,0.29186261403939934,0.25,0.15934640741789544,0.2909620107293486,5.054466724395752,116.0,0.0009006033100507627,pgabm
100,100,2,200,0.2440996723271997,0.25,0.7097568087323882,0.24979373550737827,0.37708163261413574,500.0,0.005694063180178566,pgabm
100,464,2,928,0.29732579038605605,0.25,0.8364946222241428,0.2946512416208384,0.16193532943725586,116.0,0.002674548765217666,pgabm
100,2154,2,4308,0.32182019629581476,0.25,0.13782325617493008,0.31644743843548984,2.8200082778930664,133.0,0.005372757860324928,pgabm
100,10000,2,20000,0.46219058299594384,0.25,0.0036146305558138695,0.4557239748317944,11.149837732315063,261.0,0.006466608164149457,pgabm
464,100,2,200,0.13660534630536447,0.25,0.7685618134016371,0.1386539425420013,0.17886781692504883,156.0,0.002048596236636835,pgabm
464,464,2,928,0.30675080845226277,0.25,0.4482481698714901,0.30684221915864995,0.21964406967163086,131.0,9.141070638718496e-05,pgabm
464,2154,2,4308,0.16819519392586124,0.25,0.15341464021078768,0.1670063019567518,2.824812412261963,125.0,0.001188891969109429,pgabm
464,10000,2,20000,0.37280629461219666,0.25,0.07173958654301245,0.37123834051288407,6.112196922302246,164.0,0.0015679540993125962,pgabm
2154,100,2,200,0.38126152764340926,0.25,0.3703119792624817,0.38402466369681154,0.20571231842041016,194.0,0.002763136053402282,pgabm
2154,464,2,928,0.3035478912678612,0.25,0.20030779141043942,0.30926387473910416,0.16387224197387695,134.0,0.005715983471242969,pgabm
2154,2154,2,4308,0.2482641881688324,0.25,0.32021308948460686,0.24560648783941968,8.78341794013977,500.0,0.0026577003294127044,pgabm
2154,10000,2,20000,0.2883641446131568,0.25,0.0039005559409193927,0.28676545695476274,3.8538248538970947,112.0,0.001598687658394049,pgabm
10000,100,2,200,0.3474779825842281,0.25,0.2366855133096728,0.3400303266007157,0.11271095275878906,130.0,0.00744765598351238,pgabm
10000,464,2,928,0.0842819005790163,0.25,0.4338385095012326,0.07901823876275924,0.5232686996459961,276.0,0.005263661816257065,pgabm
10000,2154,2,4308,0.4079719815364985,0.25,0.10480077209646889,0.4113037241317519,2.9010064601898193,206.0,0.0033317425952534285,pgabm
10000,10000,2,20000,0.20064327649626496,0.25,0.07322217558174139,0.2000218972643621,3.9369444847106934,121.0,0.0006213792319028633,pgabm
100,100,4,400,0.04240194816859655,0.25,0.18628823865346678,0.049998248310097845,0.2627131938934326,350.0,0.007596300141501297,pgabm
100,464,4,1856,0.22607841774196058,0.25,0.5785008557211995,0.220485710325878,0.20661592483520508,127.0,0.005592707416082587,pgabm
100,2154,4,8616,0.32375063503335066,0.25,0.014578824195059903,0.3234984404999856,3.5829226970672607,114.0,0.0002521945333650577,pgabm
