N,T,edge_per_t,evidences_per_t,calibration_batches,epsilon_msm,real_epsilon,time_calibration,distance_epsilon
100,64,16,8,50,0.25265000000000004,0.30354708098623023,3.5213890075683594,0.05089708098623019
100,64,16,8,100,0.29510000000000003,0.30354708098623023,7.095960378646851,0.008447080986230204
100,64,16,8,200,0.25481000000000004,0.30354708098623023,14.289192199707031,0.0487370809862302
100,64,16,8,400,0.29298,0.30354708098623023,28.141732454299927,0.010567080986230215
100,64,16,8,800,0.2923,0.30354708098623023,56.631890058517456,0.011247080986230229
100,64,16,8,50,0.26507000000000003,0.01855633224699721,3.624115228652954,0.24651366775300282
100,64,16,8,100,0.27030000000000004,0.01855633224699721,7.169465065002441,0.25174366775300283
100,64,16,8,200,0.25639,0.01855633224699721,14.276173830032349,0.2378336677530028
100,64,16,8,400,0.25673,0.01855633224699721,29.600632429122925,0.2381736677530028
100,64,16,8,800,0.25661,0.01855633224699721,58.645050287246704,0.2380536677530028
100,64,16,8,50,0.15436000000000002,0.01855633224699721,3.5641958713531494,0.13580366775300282
100,64,16,8,100,0.1554,0.01855633224699721,7.233150959014893,0.1368436677530028
100,64,16,8,200,0.15314000000000003,0.01855633224699721,14.584205389022827,0.13458366775300282
100,64,16,8,400,0.15572000000000003,0.01855633224699721,29.624716758728027,0.13716366775300282
100,64,16,8,800,0.15514,0.01855633224699721,58.380531787872314,0.1365836677530028
100,64,16,8,50,0.050010000000000006,0.01855633224699721,3.68888783454895,0.0314536677530028
100,64,16,8,100,0.09462000000000001,0.01855633224699721,7.406256914138794,0.0760636677530028
100,64,16,8,200,0.09461000000000001,0.01855633224699721,15.871479749679565,0.0760536677530028
100,64,16,8,400,0.09418000000000001,0.01855633224699721,33.114463567733765,0.0756236677530028
100,64,16,8,800,0.09451000000000001,0.01855633224699721,65.85617709159851,0.0759536677530028
100,64,16,8,50,0.19015,0.01855633224699721,3.9203639030456543,0.1715936677530028
100,64,16,8,100,0.14565,0.01855633224699721,8.345069646835327,0.1270936677530028
100,64,16,8,200,0.11926,0.01855633224699721,16.27569270133972,0.1007036677530028
100,64,16,8,400,0.14709,0.01855633224699721,33.41608548164368,0.1285336677530028
100,64,16,8,800,0.14703000000000002,0.01855633224699721,62.450122117996216,0.1284736677530028
100,64,16,8,50,0.009290000000000001,0.01855633224699721,3.818303346633911,0.009266332246997208
100,64,16,8,100,0.19147000000000003,0.01855633224699721,7.59834623336792,0.17291366775300282
100,64,16,8,200,0.011420000000000001,0.01855633224699721,15.317745447158813,0.007136332246997208
100,64,16,8,400,0.0099,0.01855633224699721,33.21006965637207,0.008656332246997208
100,64,16,8,800,0.00854,0.01855633224699721,64.91506338119507,0.010016332246997208
100,64,16,8,50,0.032440000000000004,0.01855633224699721,4.096392631530762,0.013883667753002794
100,64,16,8,100,0.031880000000000006,0.01855633224699721,8.14824366569519,0.013323667753002796
100,64,16,8,200,0.03246,0.01855633224699721,16.77485704421997,0.013903667753002794
100,64,16,8,400,0.03447,0.01855633224699721,33.16756272315979,0.01591366775300279
100,64,16,8,800,0.035070000000000004,0.01855633224699721,78.70047426223755,0.016513667753002795
100,64,16,8,50,0.17776,0.01855633224699721,5.178858518600464,0.1592036677530028
100,64,16,8,100,0.20079000000000002,0.01855633224699721,10.632461071014404,0.18223366775300281
100,64,16,8,200,0.25729,0.01855633224699721,20.5782949924469,0.2387336677530028
100,64,16,8,400,0.14204,0.01855633224699721,41.44846200942993,0.12348366775300279
100,64,16,8,800,0.14207,0.01855633224699721,83.22326898574829,0.12351366775300279
100,64,16,8,50,0.08758,0.01855633224699721,5.116896629333496,0.0690236677530028
100,64,16,8,100,0.08142,0.01855633224699721,10.109656810760498,0.0628636677530028
100,64,16,8,200,0.07951000000000001,0.01855633224699721,20.676986932754517,0.0609536677530028
100,64,16,8,400,0.08218,0.01855633224699721,41.2594473361969,0.0636236677530028
100,64,16,8,800,0.08124,0.01855633224699721,84.46666979789734,0.0626836677530028
100,64,16,8,50,0.08521000000000001,0.01855633224699721,5.273136615753174,0.0666536677530028
100,64,16,8,100,0.06006,0.01855633224699721,10.273625373840332,0.04150366775300279
