,N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epsilon_calibration,time_calibration
0,100,100,1,100,0.4399991442817159,0.475960488956593,0.6627198123752622,0.4203157008505483,0.05572199821472168,0.40700000000000003,1.406503438949585
1,100,100,1,100,0.4399991442817159,0.475960488956593,0.6627198123752622,0.4428654041767775,0.046155691146850586,0.4318,1.7872800827026367
2,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.2890181015889652,0.049660682678222656,0.3143,2.7813849449157715
3,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.28172751860561046,0.05279731750488281,0.2898,4.576035261154175
4,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3024907955671821,0.04700899124145508,0.36150000000000004,8.261910915374756
5,100,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.28946852190114036,0.04820108413696289,0.30910000000000004,8.937826871871948
6,100,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3111650563009586,0.04719686508178711,0.332,2.5701959133148193
7,100,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.28511066126665024,0.05087423324584961,0.2907,3.4396915435791016
8,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.054659029179234965,0.3921854496002197,0.0601,5.149109840393066
9,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05499999600890019,0.36067748069763184,0.0697,6.883637428283691
10,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05887042750048657,0.3460273742675781,0.0636,15.661019086837769
11,100,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.057426079121339374,0.3289198875427246,0.0711,17.171380519866943
12,100,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.060737112306171265,0.3534202575683594,0.064,5.13285231590271
13,100,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05034893742377944,0.4146101474761963,0.0533,7.922778606414795
14,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.11490918344779899,0.2341446876525879,0.1197,11.162843465805054
15,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12740683803552053,0.19698858261108398,0.14020000000000002,13.95754361152649
