N,edge_per_t,evidences_per_t,T,calibration_batches,epsilon_msm,real_epsilon,time_calibration,simulator_name,distance_epsilon
100,16,8,32,25,0.0005300000000000001,0.03964884276140712,2.7062385082244873,full_observed,0.03911884276140712
100,16,8,32,25,0.26365,0.03964884276140712,3.3846545219421387,partial_observed,0.22400115723859287
100,16,8,32,25,0.15273,0.03964884276140712,3.803565740585327,noisy_observed,0.11308115723859288
100,16,8,32,50,0.00194,0.03964884276140712,5.881255865097046,full_observed,0.037708842761407124
100,16,8,32,50,0.02032,0.03964884276140712,6.710586309432983,partial_observed,0.01932884276140712
100,16,8,32,50,0.252,0.03964884276140712,8.381775140762329,noisy_observed,0.21235115723859288
100,16,8,32,100,0.02518,0.03964884276140712,11.291391849517822,full_observed,0.01446884276140712
100,16,8,32,100,0.12227,0.03964884276140712,12.118976354598999,partial_observed,0.08262115723859288
100,16,8,32,100,0.04193,0.03964884276140712,15.137419700622559,noisy_observed,0.0022811572385928805
100,16,8,32,200,0.02357,0.03964884276140712,7.296269178390503,full_observed,0.01607884276140712
100,16,8,32,200,0.020530000000000003,0.03964884276140712,8.465294122695923,partial_observed,0.01911884276140712
100,16,8,32,200,0.19786,0.03964884276140712,10.448816776275635,noisy_observed,0.1582111572385929
100,16,8,32,400,0.06114000000000001,0.03964884276140712,14.190116882324219,full_observed,0.021491157238592885
100,16,8,32,400,0.23989000000000002,0.03964884276140712,20.255561590194702,partial_observed,0.2002411572385929
100,16,8,32,400,0.09019,0.03964884276140712,20.798969507217407,noisy_observed,0.050541157238592885
100,16,8,32,800,0.029140000000000003,0.03964884276140712,26.38311457633972,full_observed,0.010508842761407119
100,16,8,32,800,0.10172,0.03964884276140712,32.03792405128479,partial_observed,0.06207115723859288
100,16,8,32,800,0.02534,0.03964884276140712,63.405900716781616,noisy_observed,0.01430884276140712
100,16,8,64,25,0.060340000000000005,0.03964884276140712,1.5917539596557617,full_observed,0.020691157238592883
100,16,8,64,25,0.03307,0.03964884276140712,1.9734852313995361,partial_observed,0.006578842761407119
100,16,8,64,25,0.23490000000000003,0.03964884276140712,2.1639552116394043,noisy_observed,0.1952511572385929
100,16,8,64,50,0.07043,0.03964884276140712,3.156815528869629,full_observed,0.030781157238592885
100,16,8,64,50,0.0534,0.03964884276140712,3.937127113342285,partial_observed,0.013751157238592882
100,16,8,64,50,0.31020000000000003,0.03964884276140712,4.187323093414307,noisy_observed,0.2705511572385929
100,16,8,64,100,0.06508,0.03964884276140712,6.047757625579834,full_observed,0.025431157238592877
100,16,8,64,100,0.00468,0.03964884276140712,7.397628307342529,partial_observed,0.03496884276140712
100,16,8,64,100,0.17120000000000002,0.03964884276140712,8.300387620925903,noisy_observed,0.1315511572385929
100,16,8,64,200,0.016530000000000003,0.03964884276140712,16.610416412353516,full_observed,0.02311884276140712
100,16,8,64,200,0.052610000000000004,0.03964884276140712,17.047006607055664,partial_observed,0.012961157238592882
100,16,8,64,200,0.04182,0.03964884276140712,19.50452947616577,noisy_observed,0.0021711572385928815
100,16,8,64,400,0.07505,0.03964884276140712,23.65632963180542,full_observed,0.035401157238592884
100,16,8,64,400,0.021,0.03964884276140712,29.47690439224243,partial_observed,0.01864884276140712
100,16,8,64,400,0.18250000000000002,0.03964884276140712,32.554511308670044,noisy_observed,0.1428511572385929
100,16,8,64,800,0.07697000000000001,0.03964884276140712,55.30573010444641,full_observed,0.03732115723859289
100,16,8,64,800,0.03459,0.03964884276140712,194.32104420661926,partial_observed,0.005058842761407119
100,16,8,64,800,0.09048,0.03964884276140712,198.98881101608276,noisy_observed,0.05083115723859288
100,16,8,128,25,0.03234,0.03964884276140712,2.773514986038208,full_observed,0.007308842761407121
100,16,8,128,25,0.053380000000000004,0.03964884276140712,3.4876294136047363,partial_observed,0.013731157238592882
100,16,8,128,25,0.032260000000000004,0.03964884276140712,3.603410243988037,noisy_observed,0.0073888427614071175
100,16,8,128,50,0.12508,0.03964884276140712,5.542309522628784,full_observed,0.08543115723859288
100,16,8,128,50,0.025120000000000003,0.03964884276140712,6.947431564331055,partial_observed,0.014528842761407118
100,16,8,128,50,0.04363,0.03964884276140712,7.172272682189941,noisy_observed,0.003981157238592881
100,16,8,128,100,0.0076300000000000005,0.03964884276140712,11.079966068267822,full_observed,0.032018842761407124
100,16,8,128,100,0.00837,0.03964884276140712,13.932120323181152,partial_observed,0.03127884276140712
100,16,8,128,100,0.00283,0.03964884276140712,14.354413509368896,noisy_observed,0.03681884276140712
100,16,8,128,200,0.07036,0.03964884276140712,22.17385458946228,full_observed,0.030711157238592884
100,16,8,128,200,0.02296,0.03964884276140712,27.862188577651978,partial_observed,0.01668884276140712
100,16,8,128,200,0.159,0.03964884276140712,28.71470808982849,noisy_observed,0.11935115723859288
100,16,8,128,400,0.12051,0.03964884276140712,53.31098937988281,full_observed,0.08086115723859288
100,16,8,128,400,0.053230000000000006,0.03964884276140712,60.349172592163086,partial_observed,0.013581157238592885
100,16,8,128,400,0.015550000000000001,0.03964884276140712,58.119043827056885,noisy_observed,0.02409884276140712
100,16,8,128,800,0.023190000000000002,0.03964884276140712,95.72750067710876,full_observed,0.01645884276140712
100,16,8,128,800,0.05109,0.03964884276140712,182.3652687072754,partial_observed,0.011441157238592882
100,16,8,128,800,0.03036,0.03964884276140712,117.21453356742859,noisy_observed,0.00928884276140712
100,16,8,32,25,0.39607000000000003,0.3109160546841736,0.8224585056304932,full_observed,0.08515394531582643
100,16,8,32,25,0.28751000000000004,0.3109160546841736,1.0030717849731445,partial_observed,0.02340605468417356
