N,evidences_per_t,edge_per_t,T,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,early_stopping
100,8,64,64,0.427267657527416,1.3512482643127441,201,0.42460408010435136,0.45975968282364005,16,0.002663577423064667,201
100,8,64,128,0.4228070068709465,2.580476760864258,201,0.42460408010435136,0.45975968282364005,16,0.0017970732334048334,201
100,8,64,256,0.4172333002403512,5.76127028465271,201,0.42460408010435136,0.45975968282364005,16,0.007370779864000143,201
100,8,1,16,0.012427234604435265,0.4080488681793213,201,0.015500488806956425,0.13546152454274485,16,0.0030732542025211605,201
100,8,1,32,0.045783538438222825,0.7290709018707275,201,0.015500488806956425,0.13546152454274485,16,0.0302830496312664,201
100,8,1,64,0.013235434495462198,1.3029465675354004,201,0.015500488806956425,0.13546152454274485,16,0.002265054311494227,201
100,8,1,128,0.06600806101288813,2.56123685836792,201,0.015500488806956425,0.13546152454274485,16,0.0505075722059317,201
100,8,1,256,0.027444635308919108,5.7920753955841064,201,0.015500488806956425,0.13546152454274485,16,0.011944146501962682,201
100,8,4,16,0.038553148086314055,0.4170839786529541,201,0.015500488806956425,0.13546152454274485,16,0.02305265927935763,201
100,8,4,32,0.02298504320134871,0.7319943904876709,201,0.015500488806956425,0.13546152454274485,16,0.007484554394392284,201
100,8,4,64,0.03646523655063856,1.3706789016723633,201,0.015500488806956425,0.13546152454274485,16,0.020964747743682136,201
100,8,4,128,0.027368062047006828,2.5269722938537598,201,0.015500488806956425,0.13546152454274485,16,0.011867573240050402,201
100,8,4,256,0.02849627951713911,5.7334654331207275,201,0.015500488806956425,0.13546152454274485,16,0.012995790710182684,201
100,8,16,16,0.029706513740013853,0.3970513343811035,201,0.015500488806956425,0.13546152454274485,16,0.014206024933057428,201
100,8,16,32,0.028526696358984444,0.7361700534820557,201,0.015500488806956425,0.13546152454274485,16,0.013026207552028018,201
100,8,16,64,0.026084065170716875,1.3704440593719482,201,0.015500488806956425,0.13546152454274485,16,0.01058357636376045,201
100,8,16,128,0.029146616899889857,2.534651041030884,201,0.015500488806956425,0.13546152454274485,16,0.013646128092933432,201
100,8,16,256,0.029832674037348534,5.631519794464111,201,0.015500488806956425,0.13546152454274485,16,0.014332185230392109,201
100,8,64,16,0.031151504115812533,0.4216315746307373,201,0.015500488806956425,0.13546152454274485,16,0.015651015308856108,201
100,8,64,32,0.031065148685474376,0.748239278793335,201,0.015500488806956425,0.13546152454274485,16,0.015564659878517951,201
100,8,64,64,0.028074920029402733,1.3815224170684814,201,0.015500488806956425,0.13546152454274485,16,0.012574431222446308,201
100,8,64,128,0.028081400263328407,2.5404458045959473,201,0.015500488806956425,0.13546152454274485,16,0.012580911456371982,201
100,8,64,256,0.02735607681422835,5.73454213142395,201,0.015500488806956425,0.13546152454274485,16,0.011855588007271926,201
100,8,1,16,0.1375767283230752,0.41689229011535645,201,0.10490136239587194,0.2921957424024163,16,0.03267536592720324,201
100,8,1,32,0.1908064883261424,0.7399308681488037,201,0.10490136239587194,0.2921957424024163,16,0.08590512593027044,201
100,8,1,64,0.13631959682556768,1.3272943496704102,201,0.10490136239587194,0.2921957424024163,16,0.03141823442969574,201
100,8,1,128,0.1138294314002907,2.5417120456695557,201,0.10490136239587194,0.2921957424024163,16,0.008928069004418754,201
100,8,1,256,0.1139970783368791,5.8363683223724365,201,0.10490136239587194,0.2921957424024163,16,0.009095715941007151,201
100,8,4,16,0.09214271922683395,0.4153594970703125,201,0.10490136239587194,0.2921957424024163,16,0.012758643169037992,201
100,8,4,32,0.09105575769025268,0.7297267913818359,201,0.10490136239587194,0.2921957424024163,16,0.013845604705619269,201
100,8,4,64,0.10132961612199286,1.3336195945739746,201,0.10490136239587194,0.2921957424024163,16,0.0035717462738790867,201
100,8,4,128,0.09230389519821582,2.603750705718994,201,0.10490136239587194,0.2921957424024163,16,0.012597467197656129,201
100,8,4,256,0.11643853412807904,5.862563371658325,201,0.10490136239587194,0.2921957424024163,16,0.0115371717322071,201
100,8,16,16,0.08850494617124814,0.41394829750061035,201,0.10490136239587194,0.2921957424024163,16,0.016396416224623803,201
100,8,16,32,0.10720977984622455,0.7340600490570068,201,0.10490136239587194,0.2921957424024163,16,0.0023084174503526095,201
100,8,16,64,0.1077834452038306,1.3236181735992432,201,0.10490136239587194,0.2921957424024163,16,0.0028820828079586525,201
100,8,16,128,0.09732171693195911,2.557863712310791,201,0.10490136239587194,0.2921957424024163,16,0.007579645463912835,201
100,8,16,256,0.10483688143668145,5.874113082885742,201,0.10490136239587194,0.2921957424024163,16,6.448095919049657e-05,201
100,8,64,16,0.10843648456029159,0.42061638832092285,201,0.10490136239587194,0.2921957424024163,16,0.0035351221644196462,201
100,8,64,32,0.1066094614118155,0.7269551753997803,201,0.10490136239587194,0.2921957424024163,16,0.0017080990159435566,201
100,8,64,64,0.11022267172915093,1.3631677627563477,201,0.10490136239587194,0.2921957424024163,16,0.005321309333278984,201
100,8,64,128,0.10554216164026933,2.5414981842041016,201,0.10490136239587194,0.2921957424024163,16,0.0006407992443973887,201
100,8,64,256,0.10375593618350963,5.5298120975494385,201,0.10490136239587194,0.2921957424024163,16,0.0011454262123623132,201
100,8,1,16,0.39421749904589903,0.41683292388916016,201,0.43165788684774625,0.43290215129891385,16,0.03744038780184722,201
100,8,1,32,0.3357598353848634,0.7267327308654785,201,0.43165788684774625,0.43290215129891385,16,0.09589805146288283,201
100,8,1,64,0.4673780939514386,1.3421411514282227,201,0.43165788684774625,0.43290215129891385,16,0.035720207103692336,201
100,8,1,128,0.45274075213334986,2.569911003112793,201,0.43165788684774625,0.43290215129891385,16,0.021082865285603603,201
100,8,1,256,0.45619722310958855,5.749422550201416,201,0.43165788684774625,0.43290215129891385,16,0.024539336261842293,201
100,8,4,16,0.3621598005698708,0.4147379398345947,201,0.43165788684774625,0.43290215129891385,16,0.06949808627787546,201
100,8,4,32,0.44466650750966885,0.7361130714416504,201,0.43165788684774625,0.43290215129891385,16,0.013008620661922599,201
100,8,4,64,0.437114113998675,1.3736820220947266,201,0.43165788684774625,0.43290215129891385,16,0.00545622715092875,201
100,8,4,128,0.433713729996167,2.592322826385498,201,0.43165788684774625,0.43290215129891385,16,0.002055843148420722,201
100,8,4,256,0.4674332582521043,5.743898391723633,201,0.43165788684774625,0.43290215129891385,16,0.03577537140435805,201
100,8,16,16,0.4485428263722093,0.41467905044555664,201,0.43165788684774625,0.43290215129891385,16,0.016884939524463072,201
100,8,16,32,0.40397565526687534,0.709033727645874,201,0.43165788684774625,0.43290215129891385,16,0.02768223158087091,201
100,8,16,64,0.4291298306550692,1.3288342952728271,201,0.43165788684774625,0.43290215129891385,16,0.0025280561926770417,201
100,8,16,128,0.41756556379546594,2.5841727256774902,201,0.43165788684774625,0.43290215129891385,16,0.014092323052280309,201
100,8,16,256,0.42435075405847517,5.70999550819397,201,0.43165788684774625,0.43290215129891385,16,0.007307132789271087,201
100,8,64,16,0.4341464205596225,0.42047858238220215,201,0.43165788684774625,0.43290215129891385,16,0.0024885337118762396,201
100,8,64,32,0.4269694124683149,0.7517521381378174,201,0.43165788684774625,0.43290215129891385,16,0.004688474379431373,201
100,8,64,64,0.42927851253009147,1.3595819473266602,201,0.43165788684774625,0.43290215129891385,16,0.002379374317654781,201
100,8,64,128,0.4336179392880862,2.5829007625579834,201,0.43165788684774625,0.43290215129891385,16,0.001960052440339921,201
100,8,64,256,0.4376890555544995,5.681658506393433,201,0.43165788684774625,0.43290215129891385,16,0.006031168706753243,201
100,8,1,16,0.18951671770196188,0.39287424087524414,201,0.1709896066083076,0.014746862837334784,16,0.01852711109365429,201
100,8,1,32,0.15900413619370016,0.6995260715484619,201,0.1709896066083076,0.014746862837334784,16,0.01198547041460743,201
100,8,1,64,0.17229256418276637,1.3378808498382568,201,0.1709896066083076,0.014746862837334784,16,0.0013029575744587796,201
100,8,1,128,0.14861736975497664,2.6021409034729004,201,0.1709896066083076,0.014746862837334784,16,0.02237223685333095,201
100,8,1,256,0.18305975558557203,5.849578380584717,201,0.1709896066083076,0.014746862837334784,16,0.012070148977264439,201
100,8,4,16,0.21909451301143784,0.41429734230041504,201,0.1709896066083076,0.014746862837334784,16,0.048104906403130254,201
100,8,4,32,0.1545015162896717,0.724008321762085,201,0.1709896066083076,0.014746862837334784,16,0.01648809031863588,201
100,8,4,64,0.16860800950265917,1.3743996620178223,201,0.1709896066083076,0.014746862837334784,16,0.0023815971056484198,201
100,8,4,128,0.17352156421907858,2.525285482406616,201,0.1709896066083076,0.014746862837334784,16,0.0025319576107709907,201
100,8,4,256,0.1609479473577806,5.818485498428345,201,0.1709896066083076,0.014746862837334784,16,0.010041659250526996,201
100,8,16,16,0.151226647486769,0.411973237991333,201,0.1709896066083076,0.014746862837334784,16,0.01976295912153858,201
100,8,16,32,0.18617666823026766,0.7397229671478271,201,0.1709896066083076,0.014746862837334784,16,0.015187061621960068,201
100,8,16,64,0.1748174209613047,1.3474881649017334,201,0.1709896066083076,0.014746862837334784,16,0.0038278143529971165,201
100,8,16,128,0.16646799380071278,2.535269260406494,201,0.1709896066083076,0.014746862837334784,16,0.004521612807594805,201
100,8,16,256,0.17177673657101183,5.7865259647369385,201,0.1709896066083076,0.014746862837334784,16,0.0007871299627042472,201
100,8,64,16,0.17001092983859084,0.42080187797546387,201,0.1709896066083076,0.014746862837334784,16,0.0009786767697167464,201
100,8,64,32,0.1680022791544203,0.7484214305877686,201,0.1709896066083076,0.014746862837334784,16,0.0029873274538873007,201
100,8,64,64,0.17185873539866792,1.3335273265838623,201,0.1709896066083076,0.014746862837334784,16,0.0008691287903603295,201
100,8,64,128,0.16753287701683434,2.5986857414245605,201,0.1709896066083076,0.014746862837334784,16,0.003456729591473251,201
100,8,64,256,0.17195529633563333,5.706296443939209,201,0.1709896066083076,0.014746862837334784,16,0.000965689727325747,201
100,8,1,16,0.16246252082232332,0.4100213050842285,201,0.20797218120066774,0.28759305399148494,16,0.04550966037834442,201
100,8,1,32,0.25942059910901955,0.738640546798706,201,0.20797218120066774,0.28759305399148494,16,0.05144841790835181,201
100,8,1,64,0.2660364707417692,1.3558526039123535,201,0.20797218120066774,0.28759305399148494,16,0.05806428954110149,201
100,8,1,128,0.22578751942797928,2.538890838623047,201,0.20797218120066774,0.28759305399148494,16,0.017815338227311545,201
100,8,1,256,0.2007252246483718,5.7829296588897705,201,0.20797218120066774,0.28759305399148494,16,0.00724695655229593,201
100,8,4,16,0.22708402230809896,0.43709778785705566,201,0.20797218120066774,0.28759305399148494,16,0.01911184110743122,201
100,8,4,32,0.18009870612327164,0.7491259574890137,201,0.20797218120066774,0.28759305399148494,16,0.027873475077396098,201
100,8,4,64,0.21385624641239676,1.3430225849151611,201,0.20797218120066774,0.28759305399148494,16,0.005884065211729017,201
100,8,4,128,0.19821190298641073,2.56681489944458,201,0.20797218120066774,0.28759305399148494,16,0.009760278214257012,201
100,8,4,256,0.20572793502537887,5.850173473358154,201,0.20797218120066774,0.28759305399148494,16,0.002244246175288872,201
100,8,16,16,0.1748763024177438,0.41234779357910156,201,0.20797218120066774,0.28759305399148494,16,0.03309587878292394,201
100,8,16,32,0.2022936356851766,0.7213916778564453,201,0.20797218120066774,0.28759305399148494,16,0.005678545515491129,201
100,8,16,64,0.2110208729077597,1.3277568817138672,201,0.20797218120066774,0.28759305399148494,16,0.0030486917070919606,201
100,8,16,128,0.20782565868569094,2.5657172203063965,201,0.20797218120066774,0.28759305399148494,16,0.00014652251497679347,201
100,8,16,256,0.21321921107464448,5.890803337097168,201,0.20797218120066774,0.28759305399148494,16,0.0052470298739767385,201
100,8,64,16,0.2158839343486656,0.41584277153015137,201,0.20797218120066774,0.28759305399148494,16,0.007911753147997858,201
100,8,64,32,0.21400602497387983,0.7385234832763672,201,0.20797218120066774,0.28759305399148494,16,0.006033843773212089,201
100,8,64,64,0.21007335474188507,1.3307077884674072,201,0.20797218120066774,0.28759305399148494,16,0.0021011735412173327,201
100,8,64,128,0.20678100686614004,2.5668115615844727,201,0.20797218120066774,0.28759305399148494,16,0.0011911743345277004,201
100,8,64,256,0.20732667802887716,5.667654991149902,201,0.20797218120066774,0.28759305399148494,16,0.0006455031717905735,201
100,8,1,16,0.6378754478106118,0.4133005142211914,201,0.4797775170164606,0.3213455404565185,16,0.1580979307941512,201
100,8,1,32,0.6689256747173666,0.7400670051574707,201,0.4797775170164606,0.3213455404565185,16,0.18914815770090604,201
100,8,1,64,0.45475448364427073,1.29598069190979,201,0.4797775170164606,0.3213455404565185,16,0.025023033372189862,201
100,8,1,128,0.5049470712247034,2.535273790359497,201,0.4797775170164606,0.3213455404565185,16,0.025169554208242795,201
100,8,1,256,0.4814006482222057,5.804055452346802,201,0.4797775170164606,0.3213455404565185,16,0.0016231312057450875,201
100,8,4,16,0.4993647845157357,0.4116356372833252,201,0.4797775170164606,0.3213455404565185,16,0.019587267499275085,201
100,8,4,32,0.5199021540788561,0.7352614402770996,201,0.4797775170164606,0.3213455404565185,16,0.040124637062395496,201
100,8,4,64,0.461701975914325,1.3783977031707764,201,0.4797775170164606,0.3213455404565185,16,0.018075541102135606,201
100,8,4,128,0.4901538046075928,2.5692427158355713,201,0.4797775170164606,0.3213455404565185,16,0.010376287591132183,201
100,8,4,256,0.48358910459258586,5.757810354232788,201,0.4797775170164606,0.3213455404565185,16,0.0038115875761252638,201
100,8,16,16,0.479314260870477,0.4211306571960449,201,0.4797775170164606,0.3213455404565185,16,0.00046325614598358156,201
100,8,16,32,0.4749045102927038,0.7367010116577148,201,0.4797775170164606,0.3213455404565185,16,0.00487300672375679,201
100,8,16,64,0.4985775378274287,1.3803515434265137,201,0.4797775170164606,0.3213455404565185,16,0.0188000208109681,201
100,8,16,128,0.5116784102736116,2.609793186187744,201,0.4797775170164606,0.3213455404565185,16,0.03190089325715101,201
100,8,16,256,0.45974621523809733,5.565452575683594,201,0.4797775170164606,0.3213455404565185,16,0.020031301778363264,201
100,8,64,16,0.458008350720266,0.41498780250549316,201,0.4797775170164606,0.3213455404565185,16,0.021769166296194575,201
100,8,64,32,0.4733410635438373,0.743572473526001,201,0.4797775170164606,0.3213455404565185,16,0.0064364534726232825,201
100,8,64,64,0.4961498096393565,1.3821971416473389,201,0.4797775170164606,0.3213455404565185,16,0.016372292622895912,201
100,8,64,128,0.4979189516636458,2.5182583332061768,201,0.4797775170164606,0.3213455404565185,16,0.018141434647185206,201
100,8,64,256,0.4911713814777933,5.774198770523071,201,0.4797775170164606,0.3213455404565185,16,0.011393864461332726,201
100,8,1,16,0.39069308003016995,0.4091672897338867,201,0.4757460355536409,0.3989502975740736,16,0.08505295552347097,201
100,8,1,32,0.4041792598217015,0.738314151763916,201,0.4757460355536409,0.3989502975740736,16,0.07156677573193942,201
100,8,1,64,0.48989406353374565,1.3069899082183838,201,0.4757460355536409,0.3989502975740736,16,0.014148027980104727,201
100,8,1,128,0.49738914641226234,2.541367769241333,201,0.4757460355536409,0.3989502975740736,16,0.021643110858621417,201
