N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_estimated,time,real_epsilon,mu,rho,distance_epsilon,X0_r2,early_stopping,max_epochs
100,64,16,8,adam,201,0.01,BC_with_evidence,16,0.11828599412909317,16.569223642349243,0.0797605053747168,0.2816593051486279,16,0.03852548875437638,-0.7806289196014404,201,201
100,64,16,8,adam,201,0.01,BC_with_evidence,32,0.12598063742932752,16.13959550857544,0.0797605053747168,0.2816593051486279,16,0.04622013205461073,-1.2035040855407715,201,201
100,64,16,8,adam,201,0.01,BC_observed_positive,0,0.10265064944455483,1.3708064556121826,0.0797605053747168,0.2816593051486279,16,0.02289014406983804,,201,201
100,64,16,8,adam,201,0.01,BC_observed_positive,16,0.10350711555243076,1.4029879570007324,0.0797605053747168,0.2816593051486279,16,0.02374661017771397,,201,201
100,64,16,8,adam,201,0.01,BC_observed_positive,32,0.10152407479189227,1.3753998279571533,0.0797605053747168,0.2816593051486279,16,0.02176356941717547,,201,201
100,64,16,8,adam,172,0.05,simple_BC,0,0.0809192058737516,0.07518815994262695,0.0797605053747168,0.2816593051486279,16,0.001158700499034812,,172,201
100,64,16,8,adam,201,0.05,simple_BC,16,0.06420220483839646,0.09156179428100586,0.0797605053747168,0.2816593051486279,16,0.015558300536320332,,201,201
100,64,16,8,adam,201,0.05,simple_BC,32,0.08181661169493078,0.0885775089263916,0.0797605053747168,0.2816593051486279,16,0.0020561063202139823,,201,201
100,64,16,8,adam,201,0.05,BC_with_evidence,0,0.05496629956164492,16.351840257644653,0.0797605053747168,0.2816593051486279,16,0.024794205813071873,0.6190357208251953,201,201
100,64,16,8,adam,201,0.05,BC_with_evidence,16,0.06678004224149772,15.232184171676636,0.0797605053747168,0.2816593051486279,16,0.012980463133219072,-0.3974342346191406,201,201
100,64,16,8,adam,201,0.05,BC_with_evidence,32,0.06145075851124398,16.627249240875244,0.0797605053747168,0.2816593051486279,16,0.018309746863472816,-0.13475489616394043,201,201
100,64,16,8,adam,201,0.05,BC_observed_positive,0,0.08645191112888116,1.3531413078308105,0.0797605053747168,0.2816593051486279,16,0.006691405754164367,,201,201
100,64,16,8,adam,201,0.05,BC_observed_positive,16,0.08996131301578911,1.403792381286621,0.0797605053747168,0.2816593051486279,16,0.010200807641072313,,201,201
100,64,16,8,adam,201,0.05,BC_observed_positive,32,0.0880511292501981,1.405386209487915,0.0797605053747168,0.2816593051486279,16,0.00829062387548131,,201,201
100,64,16,8,adam,197,0.1,simple_BC,0,0.08089669565037426,0.08484625816345215,0.0797605053747168,0.2816593051486279,16,0.0011361902756574643,,197,201
100,64,16,8,adam,201,0.1,simple_BC,16,0.07532774193835876,0.09162139892578125,0.0797605053747168,0.2816593051486279,16,0.004432763436358039,,201,201
100,64,16,8,adam,201,0.1,simple_BC,32,0.08244642422675662,0.08878374099731445,0.0797605053747168,0.2816593051486279,16,0.002685918852039823,,201,201
100,64,16,8,adam,201,0.1,BC_with_evidence,0,0.03636555885126905,14.647732019424438,0.0797605053747168,0.2816593051486279,16,0.04339494652344775,-0.4413437843322754,201,201
100,64,16,8,adam,201,0.1,BC_with_evidence,16,0.07044428697925513,17.12587594985962,0.0797605053747168,0.2816593051486279,16,0.009316218395461665,0.04847365617752075,201,201
100,64,16,8,adam,201,0.1,BC_with_evidence,32,0.08207698277042795,16.85357975959778,0.0797605053747168,0.2816593051486279,16,0.0023164773957111556,-0.16979122161865234,201,201
100,64,16,8,adam,201,0.1,BC_observed_positive,0,0.08704507142338966,1.3628814220428467,0.0797605053747168,0.2816593051486279,16,0.007284566048672864,,201,201
100,64,16,8,adam,201,0.1,BC_observed_positive,16,0.0852027331813484,1.3848326206207275,0.0797605053747168,0.2816593051486279,16,0.005442227806631603,,201,201
100,64,16,8,adam,201,0.1,BC_observed_positive,32,0.08474566137895215,1.4177703857421875,0.0797605053747168,0.2816593051486279,16,0.004985156004235353,,201,201
100,64,16,8,adam,401,0.0001,simple_BC,0,0.24267394896069283,0.17002248764038086,0.0797605053747168,0.2816593051486279,16,0.16291344358597604,,401,401
100,64,16,8,adam,401,0.0001,simple_BC,16,0.2429342003865817,0.20136094093322754,0.0797605053747168,0.2816593051486279,16,0.1631736950118649,,401,401
100,64,16,8,adam,401,0.0001,simple_BC,32,0.24279761640351735,0.21155118942260742,0.0797605053747168,0.2816593051486279,16,0.16303711102880056,,401,401
100,64,16,8,adam,401,0.0001,BC_with_evidence,0,0.24268471647780127,34.33257174491882,0.0797605053747168,0.2816593051486279,16,0.16292421110308447,-0.5074059963226318,401,401
