,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.4464,0.003599999999999992,1.0,5,44.3991494178772,0.45,0.6,100,100,8,1,200
1,0.12860000000000002,0.0013999999999999846,0.1,10,37.737672328948975,0.13,0.19999999999999998,100,100,1,1,200
2,0.14020000000000002,0.010200000000000015,0.1,5,40.39408206939697,0.13,0.8399999999999999,100,100,8,1,200
3,0.10880000000000001,0.09880000000000001,1.0,20,34.749431133270264,0.01,0.12,100,100,1,1,200
4,0.2371,0.1071,1.0,40,32.6382155418396,0.13,0.12,100,100,1,1,200
5,0.2523,0.12230000000000002,1.0,10,39.17813324928284,0.13,0.04,100,100,16,1,200
6,0.1524,0.05760000000000001,0.1,20,33.704320430755615,0.21000000000000002,0.6799999999999999,100,100,4,1,200
7,0.20670000000000002,0.04329999999999998,0.1,5,38.32000374794006,0.25,0.6,100,100,16,1,200
8,0.1514,0.021400000000000002,0.1,40,39.743889570236206,0.13,0.12,100,100,1,1,200
9,0.2782,0.05180000000000001,10.0,5,41.36487555503845,0.33,0.4399999999999999,100,100,8,1,200
10,0.0066,0.0034000000000000002,1.0,10,32.00681471824646,0.01,0.9199999999999999,100,100,1,1,200
11,0.3544,0.015600000000000003,0.1,10,40.43805718421936,0.37,0.4399999999999999,100,100,8,1,200
12,0.4485,0.0015000000000000013,10.0,5,39.90827202796936,0.45,0.6,100,100,4,1,200
13,0.11560000000000001,0.09440000000000001,1.0,20,40.60464549064636,0.21000000000000002,0.4399999999999999,100,100,4,1,200
14,0.3018,0.09179999999999999,1.0,5,40.22693347930908,0.21000000000000002,0.19999999999999998,100,100,16,1,200
15,0.38070000000000004,0.029299999999999993,0.1,10,37.90542387962341,0.41000000000000003,0.6,100,100,4,1,200
16,0.0969,0.07310000000000001,10.0,40,41.90520524978638,0.17,0.04,100,100,4,1,200
17,0.4269,0.1769,10.0,40,38.09611415863037,0.25,0.4399999999999999,100,100,16,1,200
18,0.2268,0.2168,1.0,20,36.69727683067322,0.01,0.6,100,100,16,1,200
19,0.2932,0.0031999999999999806,1.0,10,40.2790424823761,0.29000000000000004,0.9199999999999999,100,100,4,1,200
20,0.045000000000000005,0.0049999999999999975,10.0,40,39.28334355354309,0.05,0.5199999999999999,100,100,4,1,200
21,0.136,0.04600000000000001,0.1,40,38.34526348114014,0.09,0.19999999999999998,100,100,16,1,200
22,0.23920000000000002,0.09079999999999999,1.0,40,38.20718502998352,0.33,0.12,100,100,8,1,200
23,0.19440000000000002,0.024400000000000005,10.0,5,37.58554649353027,0.17,0.9199999999999999,100,100,1,1,200
24,0.2376,0.012399999999999994,10.0,20,36.7394015789032,0.25,0.6,100,100,1,1,200
25,0.1457,0.06430000000000002,1.0,40,43.54207396507263,0.21000000000000002,0.6799999999999999,100,100,8,1,200
26,0.3957,0.10569999999999996,10.0,10,31.821373224258423,0.29000000000000004,0.27999999999999997,100,100,1,1,200
27,0.11910000000000001,0.09090000000000001,1.0,40,37.954636335372925,0.21000000000000002,0.8399999999999999,100,100,16,1,200
28,0.2232,0.1332,0.1,20,44.133808612823486,0.09,0.6,100,100,16,1,200
29,0.47390000000000004,0.023900000000000032,10.0,40,37.06421661376953,0.45,0.7599999999999999,100,100,8,1,200
30,0.2456,0.004399999999999987,0.1,5,40.05075407028198,0.25,0.19999999999999998,100,100,8,1,200
31,0.4436,0.006400000000000017,0.1,5,40.85479545593262,0.45,0.6,100,100,16,1,200
32,0.1534,0.023400000000000004,1.0,20,32.674943685531616,0.13,0.8399999999999999,100,100,1,1,200
33,0.1719,0.0819,0.1,5,40.16995573043823,0.09,0.8399999999999999,100,100,8,1,200
34,0.40140000000000003,0.04859999999999998,1.0,20,34.508530378341675,0.45,0.7599999999999999,100,100,8,1,200
35,0.0046,0.0054,1.0,5,31.353000164031982,0.01,0.27999999999999997,100,100,1,1,200
36,0.2642,0.025800000000000045,0.1,20,43.335355281829834,0.29000000000000004,0.6,100,100,4,1,200
37,0.0658,0.10420000000000001,1.0,5,35.15759992599487,0.17,0.35999999999999993,100,100,16,1,200
38,0.32280000000000003,0.07280000000000003,0.1,10,38.86659073829651,0.25,0.6,100,100,4,1,200
39,0.3755,0.03450000000000003,0.1,5,42.7107093334198,0.41000000000000003,0.27999999999999997,100,100,16,1,200
40,0.1784,0.0716,10.0,20,45.20333957672119,0.25,0.27999999999999997,100,100,16,1,200
41,0.2571,0.2071,10.0,40,36.923107385635376,0.05,0.6799999999999999,100,100,16,1,200
42,0.0606,0.029399999999999996,1.0,10,40.171120166778564,0.09,0.27999999999999997,100,100,16,1,200
43,0.2901,9.999999999998899e-05,0.1,5,35.65256214141846,0.29000000000000004,0.6799999999999999,100,100,8,1,200
44,0.042800000000000005,0.007199999999999998,0.1,10,40.78458523750305,0.05,0.7599999999999999,100,100,8,1,200
45,0.0045000000000000005,0.0055,1.0,5,37.6064453125,0.01,0.35999999999999993,100,100,8,1,200
46,0.0076,0.0024000000000000002,0.1,10,35.563382387161255,0.01,0.27999999999999997,100,100,1,1,200
47,0.4404,0.009599999999999997,10.0,20,41.788833141326904,0.45,0.9199999999999999,100,100,8,1,200
48,0.0253,0.0153,10.0,5,38.72435283660889,0.01,0.12,100,100,1,1,200
49,0.1953,0.02529999999999999,1.0,20,43.846922397613525,0.17,0.5199999999999999,100,100,16,1,200
50,0.051500000000000004,0.03849999999999999,0.1,20,44.04248261451721,0.09,0.27999999999999997,100,100,16,1,200
51,0.42700000000000005,0.017000000000000015,1.0,5,40.99558091163635,0.41000000000000003,0.19999999999999998,100,100,8,1,200
52,0.4041,0.005900000000000016,10.0,40,36.92962956428528,0.41000000000000003,0.27999999999999997,100,100,8,1,200
53,0.32430000000000003,0.12569999999999998,0.1,40,38.131338119506836,0.45,0.35999999999999993,100,100,4,1,200
54,0.07060000000000001,0.019399999999999987,1.0,40,37.25325393676758,0.09,0.04,100,100,16,1,200
55,0.34090000000000004,0.02909999999999996,10.0,20,40.149553298950195,0.37,0.27999999999999997,100,100,8,1,200
56,0.3718,0.03820000000000001,0.1,5,33.315980434417725,0.41000000000000003,0.5199999999999999,100,100,1,1,200
57,0.052000000000000005,0.078,1.0,40,36.29405903816223,0.13,0.7599999999999999,100,100,8,1,200
