N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,minibatch_size,epsilon_estimated,time,num_epochs,X0_r2,real_epsilon,mu,rho,distance_epsilon
100,64,16,8,adam,5e-05,simple_BC,0,0.2496159641884357,0.02875375747680664,42,,0.11919349555181985,0.26624792544821185,16,0.13042246863661586
100,64,16,8,adam,5e-05,simple_BC,16,0.2496159641884357,0.029096364974975586,42,,0.11919349555181985,0.26624792544821185,16,0.13042246863661586
100,64,16,8,adam,5e-05,simple_BC,32,0.2496159641884357,0.027730703353881836,42,,0.11919349555181985,0.26624792544821185,16,0.13042246863661586
100,64,16,8,adam,5e-05,simple_BC,64,0.2496159641884357,0.02684760093688965,42,,0.11919349555181985,0.26624792544821185,16,0.13042246863661586
100,64,16,8,adam,5e-05,BC_with_evidence,0,0.24961596281346762,11.437397718429565,42,-1.2924697399139404,0.11919349555181985,0.26624792544821185,16,0.13042246726164777
100,64,16,8,adam,5e-05,BC_with_evidence,16,0.24966005762378385,11.934442520141602,42,-1.0819671154022217,0.11919349555181985,0.26624792544821185,16,0.130466562071964
100,64,16,8,adam,5e-05,BC_with_evidence,32,0.2496450255627167,13.140591382980347,42,-0.5789071321487427,0.11919349555181985,0.26624792544821185,16,0.13045153001089685
100,64,16,8,adam,5e-05,BC_with_evidence,64,0.24961599742147855,10.049795627593994,42,-1.1238393783569336,0.11919349555181985,0.26624792544821185,16,0.1304225018696587
100,64,16,8,adam,5e-05,BC_observed_positive,0,0.24961535321160422,0.3640108108520508,42,,0.11919349555181985,0.26624792544821185,16,0.13042185765978437
100,64,16,8,adam,5e-05,BC_observed_positive,16,0.2496148431109475,0.37161898612976074,42,,0.11919349555181985,0.26624792544821185,16,0.13042134755912765
100,64,16,8,adam,5e-05,BC_observed_positive,32,0.24961537868591097,0.3695671558380127,42,,0.11919349555181985,0.26624792544821185,16,0.13042188313409112
100,64,16,8,adam,5e-05,BC_observed_positive,64,0.24961549278426104,0.39283251762390137,42,,0.11919349555181985,0.26624792544821185,16,0.1304219972324412
100,64,16,8,adam,0.0001,simple_BC,0,0.23573239209454183,0.4505612850189209,801,,0.11919349555181985,0.26624792544821185,16,0.11653889654272198
100,64,16,8,adam,0.0001,simple_BC,16,0.23573239209454183,0.4597489833831787,801,,0.11919349555181985,0.26624792544821185,16,0.11653889654272198
100,64,16,8,adam,0.0001,simple_BC,32,0.23573239209454183,0.45972156524658203,801,,0.11919349555181985,0.26624792544821185,16,0.11653889654272198
100,64,16,8,adam,0.0001,simple_BC,64,0.23573239209454183,0.4434638023376465,801,,0.11919349555181985,0.26624792544821185,16,0.11653889654272198
100,64,16,8,adam,0.0001,BC_with_evidence,0,0.23573641341413498,204.03602242469788,801,-1.273442029953003,0.11919349555181985,0.26624792544821185,16,0.11654291786231513
100,64,16,8,adam,0.0001,BC_with_evidence,16,0.2371246493363362,204.94831085205078,801,-1.7546484470367432,0.11919349555181985,0.26624792544821185,16,0.11793115378451635
100,64,16,8,adam,0.0001,BC_with_evidence,32,0.23633867089308544,97.54314160346985,801,-1.2471261024475098,0.11919349555181985,0.26624792544821185,16,0.11714517534126559
100,64,16,8,adam,0.0001,BC_with_evidence,64,0.2357660684251554,69.11593556404114,801,-1.1939842700958252,0.11919349555181985,0.26624792544821185,16,0.11657257287333556
100,64,16,8,adam,0.0001,BC_observed_positive,0,0.23559490084133675,5.457167148590088,801,,0.11919349555181985,0.26624792544821185,16,0.1164014052895169
100,64,16,8,adam,0.0001,BC_observed_positive,16,0.23560718734998587,5.425411939620972,801,,0.11919349555181985,0.26624792544821185,16,0.11641369179816602
100,64,16,8,adam,0.0001,BC_observed_positive,32,0.23561274193736512,5.377332925796509,801,,0.11919349555181985,0.26624792544821185,16,0.11641924638554527
100,64,16,8,adam,0.0001,BC_observed_positive,64,0.23563406412424254,5.497958660125732,801,,0.11919349555181985,0.26624792544821185,16,0.11644056857242269
100,64,16,8,adam,0.0005,simple_BC,0,0.1916486729376981,0.3130040168762207,801,,0.11919349555181985,0.26624792544821185,16,0.07245517738587826
100,64,16,8,adam,0.0005,simple_BC,16,0.1916486729376981,0.3137946128845215,801,,0.11919349555181985,0.26624792544821185,16,0.07245517738587826
100,64,16,8,adam,0.0005,simple_BC,32,0.1916486729376981,0.3101534843444824,801,,0.11919349555181985,0.26624792544821185,16,0.07245517738587826
100,64,16,8,adam,0.0005,simple_BC,64,0.1916486729376981,0.3168494701385498,801,,0.11919349555181985,0.26624792544821185,16,0.07245517738587826
100,64,16,8,adam,0.0005,BC_with_evidence,0,0.19154597582273658,67.65278339385986,801,-1.8086025714874268,0.11919349555181985,0.26624792544821185,16,0.07235248027091673
100,64,16,8,adam,0.0005,BC_with_evidence,16,0.19764935509065118,64.33175992965698,801,-1.7251403331756592,0.11919349555181985,0.26624792544821185,16,0.07845585953883133
100,64,16,8,adam,0.0005,BC_with_evidence,32,0.19595407123014646,70.93414115905762,801,-1.1965696811676025,0.11919349555181985,0.26624792544821185,16,0.07676057567832661
100,64,16,8,adam,0.0005,BC_with_evidence,64,0.19541994033311558,65.69998383522034,801,-0.9652600288391113,0.11919349555181985,0.26624792544821185,16,0.07622644478129573
100,64,16,8,adam,0.0005,BC_observed_positive,0,0.1896399045566794,5.526912450790405,801,,0.11919349555181985,0.26624792544821185,16,0.07044640900485954
100,64,16,8,adam,0.0005,BC_observed_positive,16,0.18958947992213968,5.480321168899536,801,,0.11919349555181985,0.26624792544821185,16,0.07039598437031983
100,64,16,8,adam,0.0005,BC_observed_positive,32,0.18961783105346897,7.158493995666504,801,,0.11919349555181985,0.26624792544821185,16,0.07042433550164912
100,64,16,8,adam,0.0005,BC_observed_positive,64,0.1896557819669661,7.375043153762817,801,,0.11919349555181985,0.26624792544821185,16,0.07046228641514626
100,64,16,8,adam,0.001,simple_BC,0,0.15808852838809076,0.47475671768188477,801,,0.11919349555181985,0.26624792544821185,16,0.03889503283627091
100,64,16,8,adam,0.001,simple_BC,16,0.15808852838809076,0.4490368366241455,801,,0.11919349555181985,0.26624792544821185,16,0.03889503283627091
100,64,16,8,adam,0.001,simple_BC,32,0.15808852838809076,0.4783754348754883,801,,0.11919349555181985,0.26624792544821185,16,0.03889503283627091
100,64,16,8,adam,0.001,simple_BC,64,0.15808852838809076,0.4772605895996094,801,,0.11919349555181985,0.26624792544821185,16,0.03889503283627091
100,64,16,8,adam,0.001,BC_with_evidence,0,0.1575560161301342,119.18441534042358,801,-0.3377797603607178,0.11919349555181985,0.26624792544821185,16,0.03836252057831435
100,64,16,8,adam,0.001,BC_with_evidence,16,0.17299615065536808,73.32176899909973,801,-1.4357075691223145,0.11919349555181985,0.26624792544821185,16,0.05380265510354823
100,64,16,8,adam,0.001,BC_with_evidence,32,0.1750731317663168,74.57779836654663,801,-1.0696499347686768,0.11919349555181985,0.26624792544821185,16,0.05587963621449696
100,64,16,8,adam,0.001,BC_with_evidence,64,0.17655642857202802,69.2262704372406,801,-1.2451503276824951,0.11919349555181985,0.26624792544821185,16,0.05736293302020817
100,64,16,8,adam,0.001,BC_observed_positive,0,0.15381527661295388,5.476272821426392,801,,0.11919349555181985,0.26624792544821185,16,0.03462178106113403
100,64,16,8,adam,0.001,BC_observed_positive,16,0.15391948686628826,5.462087392807007,801,,0.11919349555181985,0.26624792544821185,16,0.03472599131446841
